"","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume","SCHW.Adjusted"
"2007-01-03",19.2,19.82,19.18,19.76,7944200,17.07
"2007-01-04",19.83,19.84,19.33,19.61,5287200,16.94
"2007-01-05",19.6,19.69,19.08,19.2,5390400,16.59
"2007-01-08",19.09,19.57,19.01,19.44,4168200,16.8
"2007-01-09",19.6,19.84,19.58,19.75,6722900,17.06
"2007-01-10",19.51,20.04,19.5,19.97,10301800,17.25
"2007-01-11",20.03,20.36,19.88,20.28,10159400,17.52
"2007-01-12",20.34,20.57,20.1,20.35,9677000,17.58
"2007-01-16",20.22,20.86,20.13,20.18,9616200,17.43
"2007-01-17",20.2,20.38,19.53,19.69,11294500,17.01
"2007-01-18",19.54,19.68,19.07,19.19,8976200,16.58
"2007-01-19",19.12,19.32,18.97,19.05,6359000,16.46
"2007-01-22",19.1,19.16,18.57,18.9,5307600,16.33
"2007-01-23",18.9,19.02,18.49,18.84,9607700,16.28
"2007-01-24",18.87,19.01,18.77,18.91,9234900,16.34
"2007-01-25",19.05,19.05,18.32,18.35,8245300,15.85
"2007-01-26",18.35,18.9,18.33,18.78,8976400,16.23
"2007-01-29",18.81,18.86,17.99,18.05,13625100,15.59
"2007-01-30",18.16,18.5,18.06,18.43,8809300,15.92
"2007-01-31",18.45,19.01,18.34,18.92,11253800,16.35
"2007-02-01",19.15,19.37,19.03,19.24,8847100,16.62
"2007-02-02",19.21,19.46,19.21,19.33,6573600,16.7
"2007-02-05",19.27,19.55,19.26,19.4,6500700,16.76
"2007-02-06",19.45,19.57,19.14,19.19,5433300,16.58
"2007-02-07",19.19,19.53,19.18,19.37,4593600,16.78
"2007-02-08",19.42,19.43,19.14,19.35,4576300,16.76
"2007-02-09",19.34,19.42,18.63,18.7,8690200,16.2
"2007-02-12",18.73,18.8,18.66,18.79,4408600,16.28
"2007-02-13",18.9,18.92,18.53,18.79,10685500,16.28
"2007-02-14",18.91,19.39,18.89,19.3,8925500,16.72
"2007-02-15",19.21,19.75,19.21,19.53,9197700,16.92
"2007-02-16",19.57,19.68,19.32,19.53,4961000,16.92
"2007-02-20",19.46,19.74,19.34,19.56,6159600,16.94
"2007-02-21",19.42,19.83,19.42,19.69,6662800,17.06
"2007-02-22",19.74,19.97,19.65,19.75,8279400,17.11
"2007-02-23",19.68,19.7,19.22,19.23,6830300,16.66
"2007-02-26",19.37,19.37,18.76,18.87,4888800,16.35
"2007-02-27",18.76,18.76,17.95,18.36,11464300,15.9
"2007-02-28",18.48,18.73,18.27,18.48,8721900,16.01
"2007-03-01",18.03,18.55,17.99,18.27,9102500,15.83
"2007-03-02",18.17,18.4,18.1,18.11,6402300,15.69
"2007-03-05",18,18.3,17.74,17.76,8385800,15.38
"2007-03-06",17.89,18.12,17.86,18.04,8310300,15.63
"2007-03-07",17.97,18.13,17.9,17.99,5810000,15.58
"2007-03-08",18.13,18.43,18.05,18.18,7536400,15.75
"2007-03-09",18.61,18.61,18.22,18.4,10209800,15.94
"2007-03-12",18.38,18.58,18.06,18.46,8899100,15.99
"2007-03-13",18.2,18.48,17.89,17.92,8234800,15.52
"2007-03-14",18.04,18.23,17.52,18.19,9318800,15.76
"2007-03-15",18.21,18.28,17.9,18.11,6048200,15.69
"2007-03-16",18.07,18.18,17.91,17.97,10675700,15.57
"2007-03-19",18.05,18.46,18.01,18.41,9211900,15.95
"2007-03-20",18.42,18.49,18.18,18.25,4211300,15.81
"2007-03-21",18.23,18.76,18.15,18.7,6597600,16.2
"2007-03-22",18.73,18.91,18.58,18.6,8235200,16.11
"2007-03-23",18.67,19.19,18.6,19,8063700,16.46
"2007-03-26",19,19.04,18.54,18.79,6233700,16.28
"2007-03-27",18.7,18.75,18.5,18.6,4481100,16.11
"2007-03-28",18.54,18.63,18.39,18.41,6559600,15.95
"2007-03-29",18.55,18.59,18.09,18.36,5886400,15.9
"2007-03-30",18.35,18.57,18.08,18.29,5542700,15.84
"2007-04-02",18.25,18.61,18.22,18.55,4527300,16.07
"2007-04-03",18.64,19.06,18.6,19.02,5653100,16.48
"2007-04-04",19.27,19.29,18.99,19.06,3841300,16.51
"2007-04-05",19.06,19.25,18.97,19.13,3084400,16.57
"2007-04-09",19.2,19.35,19.16,19.19,4491900,16.62
"2007-04-10",19.07,19.3,18.96,19.11,4319300,16.55
"2007-04-11",19.16,19.18,18.86,18.86,5226400,16.34
"2007-04-12",18.88,18.96,18.72,18.9,8648000,16.37
"2007-04-13",18.87,19.06,18.75,19.01,6676200,16.47
