"","SE.Open","SE.High","SE.Low","SE.Close","SE.Volume","SE.Adjusted"
"2007-01-03",28.25,30,28,28.62,5806500,21.06
"2007-01-04",28.8,29.6,28.75,29.05,6470700,21.37
"2007-01-05",29.35,29.39,28.31,28.86,3876800,21.23
"2007-01-08",28.4,28.68,27.55,27.78,4953300,20.44
"2007-01-09",27.34,28.24,27.34,27.76,3590900,20.42
"2007-01-10",27.76,27.76,26.55,26.72,3981300,19.66
"2007-01-11",26.6,27.07,26.27,26.42,3416000,19.44
"2007-01-12",25.85,26.35,25.11,26.05,4642000,19.16
"2007-01-16",25.41,26.05,25.25,25.85,3851300,19.02
"2007-01-17",25.95,27.02,25.5,26.8,4508900,19.72
"2007-01-18",26.75,27,26.19,26.85,2667000,19.75
"2007-01-19",27.2,27.35,26.68,26.8,3000600,19.72
"2007-01-22",26.35,26.9,26.3,26.69,2277000,19.64
"2007-01-23",26.55,27.09,26.5,26.92,3080500,19.8
"2007-01-24",26.8,26.95,26.71,26.85,3021100,19.75
"2007-01-25",26.69,26.84,26.07,26.21,2263500,19.28
"2007-01-26",26.18,26.2,25.5,25.75,4014900,18.94
"2007-01-29",25.9,26.04,25.68,25.82,2768900,19
"2007-01-30",26,26.59,25.92,26.14,2099100,19.23
"2007-01-31",25.75,26.35,25.6,26.12,2450200,19.22
"2007-02-01",26.13,26.18,25.74,25.95,2418700,19.09
"2007-02-02",25.86,26.4,25.8,25.99,2512300,19.12
"2007-02-05",25.95,26.77,25.95,26.5,2672300,19.5
"2007-02-06",26.7,26.97,26.6,26.82,2774300,19.73
"2007-02-07",26.88,27.11,26.8,26.9,1748400,19.79
"2007-02-08",26.78,26.89,26.39,26.82,1676400,19.73
"2007-02-09",26.8,27.13,25.94,25.95,2816000,19.09
"2007-02-12",25.8,26.01,25.56,25.77,2636200,18.96
"2007-02-13",25.77,26.2,25.65,25.88,2353800,19.04
"2007-02-14",25.76,26.26,25.75,26.16,2036300,19.41
"2007-02-15",26.16,26.35,25.85,26.12,1868100,19.38
"2007-02-16",25.97,26.08,25.81,25.93,2262700,19.24
"2007-02-20",25.78,25.9,25.54,25.65,1998700,19.03
"2007-02-21",25.5,25.75,25.05,25.52,1882500,18.94
"2007-02-22",25.4,25.68,25.3,25.38,2399500,18.83
"2007-02-23",25.3,25.5,25.16,25.32,1395100,18.79
"2007-02-26",25.35,26.1,25.32,26.06,3002000,19.34
"2007-02-27",26.08,26.36,25.42,25.64,3429900,19.02
"2007-02-28",25.3,25.85,25.27,25.73,2833700,19.09
"2007-03-01",25.43,26.13,25.3,25.99,2340500,19.28
"2007-03-02",25.55,25.74,25.27,25.31,2372700,18.78
"2007-03-05",25,25.27,24.56,24.68,2567200,18.31
"2007-03-06",24.78,25.19,24.75,25.14,1629500,18.65
"2007-03-07",25.01,25.4,25,25.02,2893900,18.56
"2007-03-08",25.08,25.15,24.61,24.77,2915100,18.38
"2007-03-09",24.87,25.16,24.72,24.98,1840200,18.54
"2007-03-12",24.83,24.95,24.39,24.59,3809400,18.25
"2007-03-13",24.4,24.77,23.93,24.02,3473000,17.82
"2007-03-14",24.25,24.34,24,24.32,1930000,18.05
"2007-03-15",24.42,24.42,24.09,24.17,2251400,17.93
"2007-03-16",24.17,24.32,23.9,23.98,3654300,17.79
"2007-03-19",23.99,24.51,23.55,23.83,3536900,17.68
"2007-03-20",23.88,24.14,23.7,24.1,2057300,17.88
"2007-03-21",24.07,25.25,24.02,24.9,4999300,18.48
"2007-03-22",25,25.42,24.95,25.21,2131000,18.71
"2007-03-23",25.45,25.78,25.35,25.58,2417200,18.98
"2007-03-26",25.05,25.55,25.01,25.52,1930700,18.94
"2007-03-27",25.53,25.73,25.39,25.56,1889500,18.97
"2007-03-28",25.56,26,25.49,25.76,2449200,19.11
"2007-03-29",26.1,26.2,25.7,25.96,2183200,19.26
"2007-03-30",26.15,26.62,25.79,26.27,2827200,19.49
"2007-04-02",26.27,26.4,26,26.32,1531800,19.53
"2007-04-03",26.5,26.6,26.06,26.2,1570400,19.44
"2007-04-04",26.22,26.36,25.93,25.97,1302800,19.27
"2007-04-05",25.98,26.13,25.55,25.86,1314300,19.19
"2007-04-09",25.86,26.28,25.77,26.03,1489000,19.31
"2007-04-10",26.12,26.5,26.06,26.25,1597100,19.48
"2007-04-11",26.26,26.61,26,26.04,2111800,19.32
"2007-04-12",26.06,26.18,25.71,25.79,2374000,19.14
"2007-04-13",26.59,26.85,25.49,25.72,2704100,19.08
"2007-04-16",26.52,26.52,25.9,26.13,1875100,19.39
"2007-04-17",26.08,26.61,26.06,26.5,1814800,19.66
"2007-04-18",26.5,26.75,25.91,25.97,1884900,19.27
"2007-04-19",26.03,26.21,25.87,26.14,2284200,19.4
"2007-04-20",27,27.01,26.36,27.01,3798700,20.04
"2007-04-23",27.34,27.34,26.54,26.71,1746600,19.82
"2007-04-24",26.68,27.05,26.59,26.62,2307400,19.75
"2007-04-25",26.7,27.16,26.66,27.12,1511200,20.12
"2007-04-26",26.9,27,26.39,26.6,1645100,19.74
"2007-04-27",26.45,26.83,26.13,26.42,1283900,19.6
"2007-04-30",26.4,26.65,26.02,26.1,1428000,19.37
"2007-05-01",26.07,26.42,25.86,26.42,1743600,19.6
"2007-05-02",26.37,26.75,26,26.63,1417900,19.76
"2007-05-03",26.73,26.91,26.36,26.47,1538300,19.64
"2007-05-04",26.5,26.99,26.32,26.64,1437300,19.77
"2007-05-07",26.5,26.77,26.34,26.53,1232400,19.69
"2007-05-08",26.3,26.72,25.38,26.14,3056100,19.4
"2007-05-09",26.05,26.25,25.52,26.13,2233300,19.55
"2007-05-10",26.1,26.29,25.9,25.91,1960500,19.39
"2007-05-11",25.91,26.17,25.76,26.17,1552700,19.58
"2007-05-14",26.13,26.49,25.94,26.02,1281900,19.47
"2007-05-15",26.02,26.34,25.85,25.88,1841500,19.37
"2007-05-16",26.05,26.35,25.96,26.32,1836400,19.7
"2007-05-17",26.25,26.5,26.21,26.4,1459100,19.76
"2007-05-18",26.59,27,26.39,26.8,3229100,20.05
"2007-05-21",26.6,27.07,26.5,26.84,2389000,20.08
"2007-05-22",26.79,26.96,26.35,26.51,2476000,19.84
"2007-05-23",26.75,26.8,26.2,26.25,2512600,19.64
"2007-05-24",26.11,26.37,26,26.01,2514400,19.46
"2007-05-25",26.08,26.44,25.95,26.08,1622100,19.52
"2007-05-29",26.01,26.81,26,26.4,2172600,19.76
"2007-05-30",26.31,26.79,26.15,26.76,2188600,20.02
"2007-05-31",26.62,26.83,26.52,26.63,3044100,19.93
"2007-06-01",26.87,26.88,26.31,26.7,1673700,19.98
"2007-06-04",26.48,26.7,26.01,26.16,2460800,19.58
"2007-06-05",26.05,26.34,25.81,26.1,3061300,19.53
"2007-06-06",25.87,25.9,25.29,25.37,3780500,18.98
"2007-06-07",25.2,25.52,25.05,25.45,6031900,19.04
"2007-06-08",25.06,25.54,24.89,25.53,3555300,19.1
"2007-06-11",25.55,26.13,25.51,25.86,2821100,19.35
"2007-06-12",25.84,26.01,25.54,25.7,5504900,19.23
"2007-06-13",25.69,26.35,25.68,26.32,2830000,19.7
"2007-06-14",26.5,26.5,26.23,26.28,1731900,19.67
"2007-06-15",26.42,26.58,26.09,26.53,3784500,19.85
"2007-06-18",26.12,26.74,26.12,26.49,1667900,19.82
"2007-06-19",26.5,26.74,26.41,26.63,1406200,19.93
"2007-06-20",26.69,27.06,25.95,25.96,2612500,19.43
"2007-06-21",25.85,26.34,25.57,26.32,1894700,19.7
"2007-06-22",26.21,26.41,25.81,26.41,4697600,19.76
"2007-06-25",26.25,26.53,25.75,26.16,3468400,19.58
"2007-06-26",26.2,26.43,25.87,25.9,3318500,19.38
"2007-06-27",25.65,26.17,25.6,26.03,3360000,19.48
"2007-06-28",25.97,26.25,25.78,25.81,2174400,19.31
"2007-06-29",25.82,26.03,25.65,25.96,2014700,19.43
"2007-07-02",26.2,26.42,26.15,26.33,2052100,19.7
"2007-07-03",26.76,26.77,26.34,26.44,1085300,19.79
"2007-07-05",25.69,26.6,25.68,26.41,2827000,19.76
"2007-07-06",26.35,26.64,26.2,26.53,1503500,19.85
"2007-07-09",26.59,26.73,26.25,26.41,1948400,19.76
"2007-07-10",26.36,26.41,25.9,26.03,2547200,19.48
"2007-07-11",25.98,26.38,25.95,26.31,2014100,19.69
"2007-07-12",26.5,26.5,26,26.38,1987000,19.74
"2007-07-13",26.4,26.92,26.26,26.72,1900200,19.99
"2007-07-16",26.6,26.68,26.12,26.23,2155500,19.63
"2007-07-17",26.27,26.49,26.08,26.23,1791500,19.63
"2007-07-18",26.08,26.42,26.07,26.37,2064800,19.73
"2007-07-19",26.45,27.46,26.4,27.37,3966000,20.48
"2007-07-20",26.59,27.73,26.59,27.03,3231100,20.23
"2007-07-23",27.1,27.47,26.61,27.42,2326200,20.52
"2007-07-24",27.18,27.48,26.49,26.64,3857400,19.93
"2007-07-25",26.8,26.96,26.25,26.67,2177000,19.96
"2007-07-26",26,26.82,25.32,25.83,2942500,19.33
"2007-07-27",25.68,26.24,25.02,25.14,2783100,18.81
"2007-07-30",25.07,25.64,24.68,25.48,2488100,19.07
"2007-07-31",25.63,26,25.38,25.47,2492000,19.06
"2007-08-01",25.45,25.72,24.99,25.61,3021500,19.16
"2007-08-02",25.61,25.78,25.25,25.36,2413500,18.98
"2007-08-03",25.36,25.49,24.78,24.78,2647000,18.54
"2007-08-06",24.66,24.75,22.05,24.44,5686200,18.29
"2007-08-07",24.1,24.39,23.92,24.18,5071100,18.09
"2007-08-08",24.33,24.84,23.94,24.45,2391800,18.3
"2007-08-09",24.49,25,23.84,23.88,3253800,17.87
"2007-08-10",23.47,24.07,22.68,23.88,3347500,17.87
"2007-08-13",24.2,24.36,23.77,24.03,2266000,17.98
"2007-08-14",24.01,24.06,23.15,23.24,2090700,17.39
"2007-08-15",23.21,23.58,22.59,22.7,2764600,17.15
"2007-08-16",22.02,22.48,21.24,22.12,5674000,16.71
"2007-08-17",22.52,23.06,21.99,22.37,4249100,16.9
"2007-08-20",22.5,22.65,22.11,22.18,3313000,16.76
"2007-08-21",22.05,22.33,21.81,21.92,3033800,16.56
"2007-08-22",21.93,22.62,21.88,22.59,2988300,17.07
"2007-08-23",22.57,23.21,22.57,23.03,2533900,17.4
"2007-08-24",22.94,23.25,22.84,23.18,2131200,17.51
"2007-08-27",23.15,23.15,22.61,22.63,1865500,17.1
"2007-08-28",22.47,22.67,22.19,22.32,2441200,16.86
"2007-08-29",22.45,23.26,22.4,23.18,2942300,17.51
"2007-08-30",23.18,23.32,22.82,23.03,2239100,17.4
"2007-08-31",23.27,23.68,23.11,23.25,1963600,17.56
"2007-09-04",23.28,23.74,23.15,23.57,2153800,17.81
"2007-09-05",23.35,23.49,23.03,23.31,1906400,17.61
"2007-09-06",23.16,23.72,23.01,23.71,2406700,17.91
"2007-09-07",23.35,23.76,23.31,23.59,2565500,17.82
"2007-09-10",23.51,23.87,23.33,23.73,1720200,17.93
"2007-09-11",23.93,24.45,23.78,24.15,2816000,18.24
"2007-09-12",24.21,24.25,23.93,24.1,2149600,18.21
"2007-09-13",24.2,24.28,24.04,24.16,1298400,18.25
"2007-09-14",24.06,24.2,23.94,24.05,1732700,18.17
"2007-09-17",24.04,24.35,23.88,24,2446000,18.13
"2007-09-18",24.22,24.94,24.1,24.84,2629000,18.77
"2007-09-19",24.9,25.29,24.78,25.24,3315600,19.07
"2007-09-20",25.12,25.77,25.12,25.64,2899600,19.37
"2007-09-21",25.8,26.39,25.47,25.72,3876100,19.43
"2007-09-24",25.6,25.75,25.43,25.54,2651300,19.29
"2007-09-25",25.39,25.6,25.13,25.15,2530800,19
"2007-09-26",25.3,25.39,24.51,24.97,2695100,18.86
"2007-09-27",25.32,25.32,24.82,24.93,1495100,18.83
"2007-09-28",24.25,24.86,24.25,24.48,1909600,18.49
"2007-10-01",24.8,25.18,24.55,25.07,1840600,18.94
"2007-10-02",25.03,25.15,24.58,24.79,1561900,18.73
"2007-10-03",24.62,24.93,24.6,24.72,1490700,18.67
"2007-10-04",24.72,25.19,24.56,25.07,1940400,18.94
"2007-10-05",25.32,25.32,24.78,24.9,1604900,18.81
"2007-10-08",24.61,24.9,24.55,24.64,1057900,18.61
"2007-10-09",24.7,25.34,24.7,25.31,1377500,19.12
"2007-10-10",25.17,25.6,25.1,25.44,1495700,19.22
"2007-10-11",25.62,25.95,25.41,25.57,2374700,19.32
"2007-10-12",25.59,26.1,25.59,25.89,2027200,19.56
"2007-10-15",26,26.04,25.57,25.76,1999800,19.46
"2007-10-16",25.73,25.91,25.59,25.77,2132200,19.47
"2007-10-17",25.9,26.15,25.79,25.92,2087500,19.58
"2007-10-18",25.64,25.9,25.57,25.84,1343300,19.52
"2007-10-19",25.65,25.85,24.93,24.97,2792400,18.86
"2007-10-22",24.79,25.27,24.58,25.21,1723500,19.04
"2007-10-23",25.18,25.52,24.74,25.21,1145800,19.04
"2007-10-24",25.21,25.6,24.99,25.51,1635600,19.27
"2007-10-25",25.51,25.96,25.44,25.91,1654600,19.57
"2007-10-26",26,26.22,25.75,25.94,1575200,19.6
"2007-10-29",25.99,26.05,25.75,25.83,1177100,19.51
"2007-10-30",25.75,25.76,25.01,25.01,2105300,18.89
"2007-10-31",25.14,26.15,25.07,25.98,2589900,19.63
"2007-11-01",25.81,25.86,24.92,24.99,3008300,18.88
"2007-11-02",25.44,25.45,24.77,25.29,3654600,19.11
"2007-11-05",24.97,26.11,24.91,25.88,2323000,19.55
"2007-11-06",25.85,26.34,25.18,25.39,1860700,19.18
"2007-11-07",25.03,25.51,24.84,24.85,2247400,18.77
"2007-11-08",25,25.67,24.48,25.26,2686700,19.08
"2007-11-09",24.98,25.22,24.71,24.77,1844100,18.71
"2007-11-12",24.68,24.95,24.14,24.16,2360700,18.25
"2007-11-13",24.38,24.69,24.05,24.66,2702800,18.63
"2007-11-14",24.76,24.97,24.3,24.36,2312300,18.57
"2007-11-15",24.31,24.77,24.28,24.62,1847900,18.77
"2007-11-16",24.74,25.06,24.62,24.97,2171000,19.03
"2007-11-19",24.86,24.9,24.49,24.73,2385400,18.85
"2007-11-20",24.72,25.2,24.67,25.08,1947900,19.12
"2007-11-21",24.92,25.1,24.44,24.5,2098900,18.68
"2007-11-23",24.61,24.65,24.27,24.48,993300,18.66
"2007-11-26",24.43,24.97,24.2,24.24,2650900,18.48
"2007-11-27",24.3,24.55,23.98,24.49,3044800,18.67
"2007-11-28",24.62,24.88,24.12,24.8,2768700,18.9
"2007-11-29",24.72,24.8,24.48,24.63,3118500,18.77
"2007-11-30",24.88,25.1,24.48,24.64,2815100,18.78
"2007-12-03",24.52,25.3,24.52,25.2,2982700,19.21
"2007-12-04",25,25.33,24.83,25.2,2575300,19.21
"2007-12-05",25.38,25.67,25.3,25.54,3633900,19.47
"2007-12-06",25.43,25.54,24.81,24.85,3471900,18.94
"2007-12-07",24.95,24.95,24.5,24.67,2544800,18.8
"2007-12-10",24.69,24.73,24.34,24.53,1865700,18.7
"2007-12-11",24.52,24.91,24.26,24.35,2941900,18.56
"2007-12-12",24.85,25.23,24.58,24.99,3265200,19.05
"2007-12-13",24.92,25,24.53,24.93,2406000,19
"2007-12-14",24.89,25.04,24.63,24.65,2928000,18.79
"2007-12-17",24.56,24.82,24.54,24.62,3253300,18.77
"2007-12-18",24.57,24.98,24.5,24.9,2185000,18.98
"2007-12-19",24.85,25.29,24.77,25.06,2796300,19.1
"2007-12-20",25.19,25.26,24.88,25.25,2444300,19.25
"2007-12-21",25.49,25.94,25.46,25.74,4313300,19.62
"2007-12-24",25.74,25.82,25.58,25.74,594700,19.62
"2007-12-26",25.8,25.85,25.58,25.76,1047000,19.64
"2007-12-27",25.86,25.93,25.65,25.69,1991700,19.58
"2007-12-28",25.72,26.18,25.72,25.98,2648200,19.8
"2007-12-31",25.86,26.1,25.77,25.82,1581200,19.68
"2008-01-02",25.76,26.08,25.39,25.57,2079100,19.49
"2008-01-03",25.6,26.26,25.6,25.95,3242300,19.78
"2008-01-04",25.78,26.08,25.32,25.48,2727100,19.42
"2008-01-07",25.67,25.68,25.15,25.47,1950300,19.41
"2008-01-08",25.55,25.92,25.12,25.25,3608700,19.25
"2008-01-09",25.26,25.6,25.05,25.5,2406200,19.44
"2008-01-10",25.27,26.05,25.19,25.97,2537600,19.8
"2008-01-11",25.69,25.76,25.08,25.24,4672100,19.24
"2008-01-14",25.39,25.87,25.37,25.71,2386700,19.6
"2008-01-15",25.51,25.79,25.3,25.45,2987500,19.4
"2008-01-16",25.29,25.84,25.25,25.28,3249300,19.27
"2008-01-17",25.3,25.5,24.37,24.43,3542400,18.62
"2008-01-18",24.64,25.04,23.79,24.13,4409200,18.39
"2008-01-22",22.53,23.03,21.84,22.79,6720500,17.37
"2008-01-23",22.23,23.15,21.41,22.99,4313100,17.52
"2008-01-24",23.09,23.27,22.32,22.51,5176000,17.16
"2008-01-25",22.76,23.03,22.28,22.42,4440100,17.09
"2008-01-28",22.41,22.7,21.91,22.64,3030600,17.26
"2008-01-29",22.74,23,22.45,22.54,2113200,17.18
"2008-01-30",22.56,23,22.43,22.51,6252800,17.16
"2008-01-31",22.23,23,22.21,22.84,6469700,17.41
"2008-02-01",22.74,22.97,22.57,22.95,4679100,17.49
"2008-02-04",22.96,23.46,22.87,23.32,1866700,17.78
"2008-02-05",23.25,23.25,22.62,22.67,2727600,17.28
"2008-02-06",23.39,23.41,22.71,23.25,3182600,17.72
"2008-02-07",22.86,23.49,22.86,23.05,3108400,17.57
"2008-02-08",22.92,23.26,22.91,23.14,2206000,17.64
"2008-02-11",23.09,23.42,23.03,23.35,2340100,17.8
"2008-02-12",23.46,23.86,23.11,23.36,2338200,17.81
"2008-02-13",23.49,23.9,23.15,23.25,2437900,17.9
"2008-02-14",23.26,23.76,23.21,23.38,2140800,18
"2008-02-15",23.35,23.38,22.86,23.13,2479400,17.81
"2008-02-19",23.2,23.65,23.13,23.56,2588800,18.14
"2008-02-20",23.39,24.04,22.97,23.89,4081000,18.39
"2008-02-21",23.94,24.27,23.91,24.05,4656500,18.51
"2008-02-22",24.14,24.18,23.48,23.84,3595200,18.35
"2008-02-25",23.81,24.34,23.72,24.2,2218500,18.63
"2008-02-26",24.04,24.47,23.93,24.33,2929600,18.73
"2008-02-27",24.2,24.4,23.77,24.03,2119700,18.5
"2008-02-28",23.9,24.19,23.8,24.1,1576900,18.55
"2008-02-29",23.94,23.98,23,23.11,3180700,17.79
"2008-03-03",23.04,23.59,23.02,23.5,2762800,18.09
"2008-03-04",23.33,23.48,22.78,23.19,3920800,17.85
"2008-03-05",23.01,23.66,23,23.6,2930400,18.17
"2008-03-06",23.44,23.78,23.38,23.51,3131000,18.1
"2008-03-07",23.29,23.59,23.06,23.32,2545400,17.95
"2008-03-10",23.29,23.68,22.99,23.28,2502300,17.92
"2008-03-11",23.75,24.34,23.52,24.33,4506400,18.73
"2008-03-12",24.34,24.62,23.94,24.01,3014600,18.48
"2008-03-13",23.66,24.18,23.66,24.07,2475300,18.53
"2008-03-14",24.14,24.23,23.09,23.41,3340500,18.02
"2008-03-17",23.1,23.51,22.8,23.33,4384200,17.96
"2008-03-18",23.73,23.95,23.26,23.91,3879100,18.41
"2008-03-19",23.91,24.24,23.15,23.21,3202300,17.87
"2008-03-20",23.24,23.24,22.5,22.92,4428700,17.64
"2008-03-24",22.98,23.06,22.75,22.85,3309300,17.59
"2008-03-25",22.9,22.94,22.55,22.69,2949500,17.47
"2008-03-26",22.62,23.07,22.53,22.97,1910000,17.68
"2008-03-27",23.07,23.5,22.74,22.75,3122000,17.51
"2008-03-28",22.9,23.17,22.54,22.65,2363100,17.44
"2008-03-31",22.64,24.91,22.52,22.75,3389300,17.51
"2008-04-01",22.93,23.05,22.67,22.96,3697800,17.68
"2008-04-02",22.94,23.32,22.76,23.12,5941700,17.8
"2008-04-03",23.11,23.36,22.98,23.27,2940300,17.91
"2008-04-04",23.26,23.87,23.26,23.64,2508200,18.2
"2008-04-07",23.69,23.95,23.54,23.58,1714000,18.15
"2008-04-08",23.5,23.88,23.27,23.74,1316900,18.28
"2008-04-09",23.61,24.05,23.61,23.87,1558400,18.38
