"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"2007-01-03",65.45,66.05,64.46,65.2,798800,27.47
"2007-01-04",65.2,65.38,64.34,64.74,446400,27.27
"2007-01-05",64.74,64.85,63.6,63.89,462600,26.91
"2007-01-08",63.75,64.15,63.02,64.03,851600,26.97
"2007-01-09",64.06,64.25,63.68,64.09,476400,27
"2007-01-10",63.9,64.45,63.71,64.3,333400,27.09
"2007-01-11",64.4,65.3,64.4,65.12,398200,27.43
"2007-01-12",64.95,65.54,64.9,65.34,636000,27.52
"2007-01-16",65.48,65.67,65.02,65.16,278400,27.45
"2007-01-17",65.05,65.48,64.92,65.09,711400,27.42
"2007-01-18",65.3,65.3,64.87,65.11,673800,27.43
"2007-01-19",65.41,65.76,64.84,65.7,551800,27.68
"2007-01-22",65.71,65.8,65.1,65.27,614400,27.5
"2007-01-23",65.4,65.85,65.3,65.54,580600,27.61
"2007-01-24",65.75,66.12,65.34,65.39,770200,27.55
"2007-01-25",65.39,65.39,63.5,64.01,1347400,26.96
"2007-01-26",64.1,64.3,63.2,64.14,776200,27.02
"2007-01-29",64.25,65.3,64.14,65.24,703200,27.48
"2007-01-30",65.24,65.43,64.99,65.04,602600,27.4
"2007-01-31",65.22,66.32,64.68,65.9,871200,27.76
"2007-02-01",65.91,66.49,65.18,65.46,857600,27.58
"2007-02-02",65.71,66,65.18,65.79,427200,27.71
"2007-02-05",65.54,65.64,64.9,64.98,448000,27.37
"2007-02-06",64.99,65.11,64.65,64.75,635400,27.28
"2007-02-07",64.8,65.01,64.32,64.87,521400,27.33
"2007-02-08",64.87,64.92,64.37,64.74,285000,27.27
"2007-02-09",64.8,65.17,63.94,64.08,784400,26.99
"2007-02-12",64.09,64.62,64.09,64.2,253200,27.04
"2007-02-13",64.44,65.2,64.44,65.05,571800,27.4
"2007-02-14",65.06,66,65.06,65.74,483400,27.69
"2007-02-15",65.74,66.15,65.47,66.08,391000,27.84
"2007-02-16",65.83,66.29,65.56,66.25,608200,27.91
"2007-02-20",66.3,67.11,66.29,67,755600,28.22
"2007-02-21",66.85,67.67,66.65,67.44,617200,28.41
"2007-02-22",67.64,67.64,66.64,67.14,347400,28.28
"2007-02-23",66.9,66.98,66.25,66.82,348800,28.15
"2007-02-26",66.83,67.74,66.35,66.38,773600,27.96
"2007-02-27",66.35,66.35,63.56,64.37,1289600,27.12
"2007-02-28",64.32,65.08,63.75,64.43,718600,27.23
"2007-03-01",63.44,64.4,62.26,64.08,1067600,27.08
"2007-03-02",64.08,64.08,63.01,63.04,511000,26.64
"2007-03-05",62.94,63.18,61.86,61.86,1028600,26.14
"2007-03-06",62.25,62.73,61.71,62.2,914000,26.28
"2007-03-07",62.03,62.57,61.68,61.89,702000,26.15
"2007-03-08",62.15,63.05,62.01,62.63,440400,26.47
"2007-03-09",62.88,63,62.31,62.61,349800,26.46
"2007-03-12",62.45,63.65,62.36,63.37,433200,26.78
"2007-03-13",63.17,63.4,62.03,62.12,769400,26.25
"2007-03-14",62.2,63.02,61.48,62.94,707400,26.6
"2007-03-15",62.98,64.09,62.93,63.42,508800,26.8
"2007-03-16",63.55,63.67,62.92,63.33,1107200,26.76
"2007-03-19",31.66,32.08,31.56,32.02,658900,27.06
"2007-03-20",32.02,32.55,31.9,32.34,861400,27.33
"2007-03-21",32.32,32.8,31.87,32.67,730400,27.61
"2007-03-22",33.52,33.52,32.36,32.57,559600,27.53
"2007-03-23",32.58,32.76,32.44,32.55,675400,27.51
"2007-03-26",32.53,32.79,32.12,32.75,465000,27.68
