"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2007-01-03",63.1,64.18,62.83,63.37,894600,55.37
"2007-01-04",63.41,63.58,62.69,63.05,670500,55.09
"2007-01-05",62.8,62.82,61.69,61.96,1049000,54.14
"2007-01-08",62.03,62.04,61.28,61.7,1043800,53.91
"2007-01-09",62,62.8,61.94,62.3,924700,54.44
"2007-01-10",62,63.2,61.95,63.03,677700,55.07
"2007-01-11",63.28,64.1,63.23,63.9,754700,55.83
"2007-01-12",63,64,63,63.84,783800,55.78
"2007-01-16",63.84,64,63.31,63.35,695700,55.35
"2007-01-17",63.25,64.15,63.24,63.91,787400,55.84
"2007-01-18",63.77,64.1,63.6,63.66,618300,55.62
"2007-01-19",63.66,64.62,63.46,64.29,885400,56.18
"2007-01-22",64.26,64.4,63.8,64.31,729000,56.19
"2007-01-23",64.2,65.65,64.12,65.37,755400,57.12
"2007-01-24",64.91,65.5,64.46,65.41,640500,57.15
"2007-01-25",66.5,68.71,66.25,67.7,1410100,59.15
"2007-01-26",67.33,67.39,66.28,66.71,1208100,58.29
"2007-01-29",66.84,67.5,66.66,67.05,911700,58.59
"2007-01-30",64.84,67.72,64.84,67.61,1047100,59.08
"2007-01-31",67.5,69.27,67.03,69.1,1309500,60.38
"2007-02-01",69.01,69.64,68.84,69.42,905000,60.66
"2007-02-02",69.3,69.3,68.28,68.39,1072400,59.76
"2007-02-05",68.49,68.79,68.06,68.7,575000,60.03
"2007-02-06",68.99,69.1,68.45,68.94,569100,60.24
"2007-02-07",69,69.85,68.77,69.82,584800,61.01
"2007-02-08",69.95,70.43,69.14,70.29,1070900,61.42
"2007-02-09",70,70.17,69.6,69.77,867600,60.96
"2007-02-12",69.77,69.78,68.9,69.2,861200,60.47
"2007-02-13",69,69.5,68.81,68.95,876300,60.25
"2007-02-14",69,69.47,68.58,68.9,834600,60.2
"2007-02-15",69,69.33,68.92,69.23,754600,60.49
"2007-02-16",68.96,69.19,68.34,68.67,754200,60
"2007-02-20",68.57,71.11,68.36,70.95,997900,61.99
"2007-02-21",70.35,70.67,69.88,70,1189400,61.16
"2007-02-22",70,70.13,68.69,68.98,1258100,60.27
"2007-02-23",69.1,70.32,68.62,69.99,1191600,61.16
"2007-02-26",70.1,70.23,65.4,67.77,3919500,59.22
"2007-02-27",66.9,67.49,64.65,66.15,1880300,57.8
"2007-02-28",65.88,66.94,64.88,66.55,1525300,58.43
"2007-03-01",67.38,67.38,63.9,65.49,1486400,57.5
"2007-03-02",65.49,66.02,64.75,64.87,1134400,56.95
"2007-03-05",65.75,65.75,63.53,63.74,1187200,55.96
"2007-03-06",64.3,65.2,64.04,64.75,932800,56.85
"2007-03-07",64.51,65.32,64.34,64.8,653100,56.89
"2007-03-08",65.45,66.24,65.29,65.69,785900,57.67
"2007-03-09",66.75,66.75,65.55,66.43,708900,58.32
"2007-03-12",66.6,68.52,66.51,68.04,1805900,59.74
"2007-03-13",67.69,67.7,66.53,66.62,1438700,58.49
"2007-03-14",66.5,66.96,64.2,65.64,1558100,57.63
"2007-03-15",65.52,66.38,64.91,65.68,971700,57.66
"2007-03-16",65.8,66.29,65.29,65.71,831500,57.69
"2007-03-19",66.3,66.77,66,66.65,765200,58.52
"2007-03-20",66.45,67.39,66.25,67.2,709900,59
"2007-03-21",67.05,68.08,66.71,68.01,793500,59.71
"2007-03-22",67.94,68.4,67.36,67.92,707100,59.63
"2007-03-23",68.02,68.5,67.8,68.21,660900,59.89
"2007-03-26",68.09,68.09,66.71,67.81,841700,59.53
"2007-03-27",67.47,67.47,66.12,66.34,1187500,58.24
"2007-03-28",66.15,66.33,65.11,65.56,1098800,57.56
"2007-03-29",66.22,66.24,65.15,65.66,774500,57.65
"2007-03-30",65.57,66.1,65.3,66.04,1141100,57.98
"2007-04-02",66.17,66.3,65.52,66.18,995100,58.1
"2007-04-03",66.4,67.14,66.1,66.97,1274500,58.8
"2007-04-04",66.67,66.67,65.71,65.76,969200,57.73
"2007-04-05",65.76,66.14,65.32,65.82,965200,57.79
"2007-04-09",66.03,66.55,65.85,66.36,670000,58.26
"2007-04-10",65.5,65.6,64.61,64.9,1698800,56.98
"2007-04-11",65.12,65.43,64.54,65.16,1507000,57.21
"2007-04-12",64.97,65.5,64.42,65.27,869300,57.3
"2007-04-13",65.27,65.45,64.55,64.92,699800,57
"2007-04-16",65.44,65.77,64.55,65.45,579100,57.46
"2007-04-17",65.45,65.69,64.5,64.86,1222600,56.94
"2007-04-18",64.4,65.27,64.3,65.06,993500,57.12
