"","SIAL.Open","SIAL.High","SIAL.Low","SIAL.Close","SIAL.Volume","SIAL.Adjusted"
"2007-01-03",39.21,40,38.44,38.89,1002700,35.9
"2007-01-04",38.87,38.98,38.04,38.41,1429600,35.45
"2007-01-05",38.68,38.75,37.72,38,1112400,35.07
"2007-01-08",37.92,38.04,37.55,37.77,768800,34.86
"2007-01-09",37.89,38.07,37.58,37.84,832700,34.93
"2007-01-10",37.62,37.91,37.4,37.84,478600,34.93
"2007-01-11",37.98,38.49,37.82,38.31,718000,35.36
"2007-01-12",38.22,38.8,38.04,38.59,516200,35.62
"2007-01-16",38.6,38.98,38.51,38.53,537400,35.56
"2007-01-17",38.42,38.79,38.34,38.68,732600,35.7
"2007-01-18",38.79,38.98,38.53,38.61,560400,35.64
"2007-01-19",38.44,39,38.2,38.76,666500,35.78
"2007-01-22",38.67,38.86,38.18,38.34,574000,35.39
"2007-01-23",38.34,38.53,38.11,38.17,876900,35.23
"2007-01-24",38.28,38.59,38.19,38.36,764800,35.41
"2007-01-25",38.18,38.25,37.66,37.8,818100,34.89
"2007-01-26",37.81,38,37.5,37.89,493900,34.97
"2007-01-29",37.87,38.04,37.68,37.91,610500,34.99
"2007-01-30",37.91,38.09,37.74,37.93,530400,35.01
"2007-01-31",38.07,38.19,37.8,37.95,713600,35.03
"2007-02-01",37.91,38.14,37.73,37.91,774800,34.99
"2007-02-02",37.93,38.14,37.68,37.92,676600,35
"2007-02-05",37.85,38.09,37.79,37.9,854300,34.98
"2007-02-06",37.9,38.13,37.65,37.96,691900,35.04
"2007-02-07",38.06,38.28,37.9,38.28,770900,35.33
"2007-02-08",38.27,38.34,38.01,38.29,561500,35.34
"2007-02-09",38.34,38.36,38.04,38.15,669900,35.21
"2007-02-12",38.2,38.49,38.01,38.37,647000,35.42
"2007-02-13",38.37,38.95,38.37,38.93,837200,35.93
"2007-02-14",39.8,39.98,39.43,39.74,1849100,36.68
"2007-02-15",39.62,40.4,39.54,40.36,1256900,37.25
"2007-02-16",40.55,42.11,40.28,41.62,1821500,38.42
"2007-02-20",41.5,42.33,41.5,42.3,1281700,39.04
"2007-02-21",42.15,42.7,41.96,42.66,1116400,39.37
"2007-02-22",42.6,42.69,42.35,42.67,1155200,39.38
"2007-02-23",42.77,42.84,42.46,42.47,1014300,39.2
"2007-02-26",42.62,42.91,42.06,42.12,790600,38.88
"2007-02-27",41.7,42.07,40.5,41.35,1438200,38.27
"2007-02-28",40.69,41.27,40.38,41,998000,37.95
"2007-03-01",40.23,41.12,39.92,40.7,1034200,37.67
"2007-03-02",40.68,40.94,40.23,40.37,891400,37.36
"2007-03-05",40.22,40.54,39.92,40.1,995200,37.11
"2007-03-06",40.17,40.65,40.11,40.45,839800,37.44
"2007-03-07",40.29,40.85,40.14,40.73,879700,37.7
"2007-03-08",41.01,41.05,40.46,40.77,750000,37.73
"2007-03-09",41.04,41.15,40.66,40.97,534900,37.92
"2007-03-12",40.83,41.25,40.83,41.15,498700,38.09
"2007-03-13",40.8,41,39.99,40.01,966900,37.03
"2007-03-14",40.16,40.25,39.63,40.14,1022000,37.15
"2007-03-15",40.26,40.31,39.92,40.2,1013800,37.21
"2007-03-16",39.91,40.27,39.91,39.99,1024400,37.01
"2007-03-19",40.2,40.9,40.2,40.9,687400,37.85
"2007-03-20",40.91,41.43,40.7,41.38,1017900,38.3
"2007-03-21",41.38,41.98,40.97,41.97,803300,38.84
"2007-03-22",42,42.06,41.65,41.94,711100,38.82
"2007-03-23",42.08,42.35,41.71,42.06,589000,38.93
"2007-03-26",42.43,42.43,41.5,42.09,543400,38.96
"2007-03-27",41.89,41.99,41.69,41.76,640800,38.65
"2007-03-28",41.72,41.72,41.2,41.27,609400,38.2
"2007-03-29",41.37,41.64,41.09,41.64,713700,38.54
"2007-03-30",41.72,42.01,41.21,41.52,692000,38.43
"2007-04-02",41.42,41.66,41.3,41.6,462700,38.5
"2007-04-03",41.79,42.28,41.64,42.11,517200,38.97
"2007-04-04",41.95,42.15,41.71,42.01,332600,38.88
"2007-04-05",42.11,42.18,41.8,41.95,255600,38.83
"2007-04-09",41.85,42.51,41.85,42.32,505800,39.17
"2007-04-10",42.46,42.46,42.15,42.19,469600,39.05
"2007-04-11",42.07,42.22,41.29,41.33,673300,38.25
"2007-04-12",41.37,41.68,41.28,41.65,682900,38.55
"2007-04-13",41.5,41.61,41.14,41.37,395900,38.29
"2007-04-16",41.4,41.87,41.32,41.85,392300,38.73
"2007-04-17",41.95,41.97,41.5,41.66,293300,38.56
"2007-04-18",41.69,41.69,41.25,41.54,345700,38.45
"2007-04-19",41.12,41.45,41,41.36,478200,38.28
"2007-04-20",41.97,42.2,41.15,42,717300,38.87
"2007-04-23",41.87,42.27,41.57,41.74,441600,38.63
"2007-04-24",41.76,41.99,41.16,41.51,475400,38.42
"2007-04-25",41.87,42.39,41.16,42.34,765600,39.19
"2007-04-26",41.69,42.58,41.69,42.45,790500,39.29
"2007-04-27",42.17,42.78,41.98,42.76,746500,39.58
"2007-04-30",42.83,42.85,42.06,42.08,686400,38.95
"2007-05-01",42.09,42.36,41.95,42.27,889400,39.12
"2007-05-02",42.47,42.8,42.25,42.74,616800,39.56
"2007-05-03",42.82,43.11,42.6,43.01,578500,39.81
"2007-05-04",43.25,43.27,42.71,43.24,779400,40.02
"2007-05-07",43.38,43.69,42.88,42.97,922600,39.77
"2007-05-08",42.64,42.88,42.38,42.81,775100,39.62
"2007-05-09",42.77,43.42,42.7,43.41,707200,40.18
"2007-05-10",43.21,43.21,42.29,42.41,948100,39.25
"2007-05-11",42.61,42.91,42.21,42.84,522800,39.65
"2007-05-14",43.07,43.07,42.34,42.7,491500,39.52
"2007-05-15",42.82,43.08,42.33,42.46,628900,39.3
"2007-05-16",42.69,42.81,42.11,42.8,611200,39.61
"2007-05-17",42.71,42.91,42.46,42.56,413400,39.39
"2007-05-18",42.58,43.05,42.46,42.91,712700,39.71
"2007-05-21",42.92,43.59,42.88,43.47,798700,40.23
"2007-05-22",43.33,43.73,43.24,43.54,699900,40.3
"2007-05-23",43.53,43.82,43.42,43.51,674400,40.27
"2007-05-24",43.64,43.79,43.3,43.4,968300,40.17
"2007-05-25",43.31,43.62,43.25,43.47,512300,40.23
"2007-05-29",43.3,43.4,42.89,43.02,515000,39.82
"2007-05-30",42.92,43.29,42.65,43.29,531300,40.17
"2007-05-31",43.29,43.62,43.06,43.28,706800,40.16
"2007-06-01",43.57,43.62,42.99,43.08,591200,39.98
"2007-06-04",43,43.27,42.68,43.05,529900,39.95
"2007-06-05",43.05,43.08,42.65,43.01,806900,39.91
"2007-06-06",43.03,43.03,42.35,42.35,562300,39.3
"2007-06-07",42.13,42.27,41.2,41.29,1075500,38.32
"2007-06-08",41.24,41.77,40.87,41.77,788500,38.76
"2007-06-11",41.77,42.13,41.55,42.01,753200,38.99
"2007-06-12",41.7,41.95,41.12,41.12,967600,38.16
"2007-06-13",41.24,42.22,41.14,42.18,666500,39.14
"2007-06-14",42.18,42.8,42,42.2,742900,39.16
"2007-06-15",42.74,43.11,42.32,42.68,1149500,39.61
"2007-06-18",42.61,42.66,42.21,42.27,773700,39.23
