"","SLM.Open","SLM.High","SLM.Low","SLM.Close","SLM.Volume","SLM.Adjusted"
"2007-01-03",48.8,48.86,47.53,47.72,3413600,43.52
"2007-01-04",47.77,49.53,47.61,49.5,6781700,45.14
"2007-01-05",49.25,49.96,49.18,49.66,3019400,45.29
"2007-01-08",49.61,49.68,49.11,49.56,1883000,45.19
"2007-01-09",49.71,49.95,49.41,49.61,2775000,45.24
"2007-01-10",49.26,49.3,47.01,48.67,7188700,44.38
"2007-01-11",48.75,49,48.09,48.95,2608000,44.64
"2007-01-12",48.72,48.97,48.16,48.78,2546200,44.48
"2007-01-16",48.75,48.76,48.25,48.4,1498000,44.14
"2007-01-17",48.65,48.74,47.67,48,3366100,43.77
"2007-01-18",47.75,47.79,45.3,45.47,13615300,41.46
"2007-01-19",45.45,46.19,44.18,45.44,9933300,41.44
"2007-01-22",45.69,45.95,45,45.23,5542100,41.25
"2007-01-23",45.15,45.16,44.69,44.98,4695700,41.02
"2007-01-24",45.23,46.25,44.81,46.11,5250200,42.05
"2007-01-25",45.75,46.01,45.34,45.41,3023000,41.41
"2007-01-26",45.25,45.46,43.97,45.41,5024600,41.41
"2007-01-29",45.46,45.85,45.29,45.79,3844100,41.76
"2007-01-30",45.81,46.03,45.4,45.74,2601100,41.71
"2007-01-31",45.84,46.13,45.29,45.96,2292600,41.91
"2007-02-01",45.9,46.64,45.62,45.66,3514900,41.64
"2007-02-02",45.8,46.63,45.52,46.46,4165100,42.37
"2007-02-05",46.4,46.46,41.57,42.37,30729700,38.64
"2007-02-06",42.45,42.7,40.3,41.96,24858700,38.26
"2007-02-07",42,43.12,41.9,42.8,10601500,39.03
"2007-02-08",42.65,42.77,42.33,42.73,4967500,38.97
"2007-02-09",42.73,43.31,42.48,42.55,4740700,38.8
"2007-02-12",42.54,42.75,42.33,42.5,4012600,38.76
"2007-02-13",42.42,42.75,42.18,42.42,4932200,38.68
"2007-02-14",42.49,42.77,42.41,42.61,3094400,38.86
"2007-02-15",42.61,43.11,42.6,43,5664100,39.21
"2007-02-16",43.01,43.95,42.96,43.93,5557700,40.06
"2007-02-20",43.93,43.93,43.4,43.67,2401400,39.82
"2007-02-21",43.95,44.22,43.7,44.11,4203800,40.22
"2007-02-22",44.11,44.27,43.95,44.04,2427600,40.16
"2007-02-23",44.06,44.06,43.51,43.55,2021600,39.71
"2007-02-26",43.6,43.77,42.96,43.3,2626100,39.49
"2007-02-27",43.39,43.4,41.9,42.44,6229900,38.7
"2007-02-28",42.7,43.14,42.49,42.65,4333300,39.12
"2007-03-01",42.02,42.94,42,42.72,2837100,39.19
"2007-03-02",42.52,42.69,42.18,42.18,2684500,38.69
"2007-03-05",42.02,42.27,41.82,41.82,3794700,38.36
"2007-03-06",42.02,42.57,41.9,42.57,2788900,39.05
"2007-03-07",42.35,42.82,41.92,42.02,5128200,38.55
"2007-03-08",42.15,42.37,41.84,41.94,5063100,38.47
"2007-03-09",42.05,42.25,41.85,42.11,3707700,38.63
"2007-03-12",41.97,42.02,41.46,41.74,3612600,38.29
"2007-03-13",41.48,42.25,41.18,41.22,5046700,37.81
"2007-03-14",41,41.29,40.5,41.22,6767300,37.81
"2007-03-15",41.18,41.74,41.05,41.55,3635400,38.11
"2007-03-16",41.55,42.1,41.38,41.51,4206300,38.08
"2007-03-19",41.85,42,41.31,41.54,2092900,38.11
"2007-03-20",41.44,42.07,41.44,41.95,2030400,38.48
"2007-03-21",41.83,42.9,41.63,42.73,3501100,39.2
"2007-03-22",41.9,42.97,40.81,42,11858100,38.53
"2007-03-23",41.9,42.15,41.22,41.55,4367600,38.11
"2007-03-26",41.56,41.65,40.91,41.34,2406200,37.92
"2007-03-27",41.14,41.61,41,41.28,2860100,37.87
"2007-03-28",41.09,41.14,40.72,40.88,2751500,37.5
"2007-03-29",41.05,41.38,40.43,40.78,3057300,37.41
"2007-03-30",40.78,41.05,40.48,40.9,3341200,37.52
"2007-04-02",40.91,41.52,40.74,41.27,2700200,37.86
"2007-04-03",41.28,41.74,41.23,41.57,1727100,38.13
"2007-04-04",41.63,41.67,41.08,41.19,1738000,37.78
"2007-04-05",41.1,41.5,41.1,41.44,1447600,38.01
"2007-04-09",41.52,41.98,41.3,41.57,2469800,38.13
"2007-04-10",41.6,41.99,41.52,41.93,1863200,38.46
"2007-04-11",41.7,42.27,41.06,41.26,5221700,37.85
"2007-04-12",41.03,41.17,40.6,40.75,4224000,37.38
"2007-04-13",45.3,47,45.1,46.76,36287000,42.89
"2007-04-16",55.3,55.5,54.8,55.05,71988900,50.5
"2007-04-17",55.5,56.13,55.25,56,29491300,51.37
"2007-04-18",55.85,56,55.2,55.31,23159300,50.74
"2007-04-19",55.55,55.55,54.78,54.97,10937700,50.42
"2007-04-20",54.97,55.04,53.39,54,27400700,49.53
"2007-04-23",54,54.55,53.76,54.35,7138200,49.86
"2007-04-24",54.23,54.53,53.67,53.74,4377600,49.3
"2007-04-25",53.7,54.25,53.49,54.02,8447100,49.55
"2007-04-26",54.03,54.15,53.41,53.88,7161700,49.42
"2007-04-27",53.76,54.47,53.76,54.23,6554900,49.75
"2007-04-30",54.2,54.44,53.83,53.83,8358200,49.38
"2007-05-01",53.9,54.1,53.24,53.5,7953100,49.08
"2007-05-02",53.98,54.37,53.58,54.19,8198000,49.71
"2007-05-03",54.01,54.66,54,54.48,5098300,49.98
"2007-05-04",54.23,54.94,54.23,54.78,7578400,50.25
"2007-05-07",54.95,54.95,54.15,54.3,3151000,49.81
"2007-05-08",54.15,54.45,53.79,54.02,4594900,49.55
"2007-05-09",54.02,54.35,53.9,54.18,4108700,49.7
"2007-05-10",53.93,54.1,53.26,53.8,5277500,49.35
"2007-05-11",53.65,54.33,53.29,54.15,6777400,49.67
"2007-05-14",54,54.33,53.99,54.14,2810900,49.66
"2007-05-15",53.93,54.8,53.93,54.07,5655100,49.6
"2007-05-16",53.99,55,53.91,54.75,6631600,50.22
"2007-05-17",54.7,55.36,54.41,55.36,10160300,50.78
"2007-05-18",55.36,55.4,54.88,55.4,4004400,50.82
"2007-05-21",55.3,55.51,55.21,55.3,3210800,50.73
"2007-05-22",55.3,55.47,55.25,55.36,2056500,50.78
"2007-05-23",55.75,55.85,55.55,55.64,2982700,51.04
"2007-05-24",55.6,56.08,55.53,55.86,6680100,51.24
"2007-05-25",56,56.23,55.9,56.02,3085100,51.39
"2007-05-29",56.05,56.32,56.04,56.25,3465200,51.6
"2007-05-30",56.27,56.36,56.2,56.33,2159900,51.67
"2007-05-31",56.15,56.37,56.09,56.21,3216400,51.56
"2007-06-01",56.26,56.35,56.15,56.22,2520800,51.57
"2007-06-04",56.15,56.5,56.15,56.29,2003500,51.64
"2007-06-05",56.2,56.55,56,56.2,3055800,51.55
"2007-06-06",56.2,56.33,55.85,56.23,3320200,51.58
"2007-06-07",56.15,56.3,55.91,56.07,5283600,51.43
"2007-06-08",56.04,56.3,56.04,56.16,1997100,51.52
"2007-06-11",56.05,56.22,55.95,56.15,2324600,51.51
"2007-06-12",56.2,57.06,56.15,56.61,5277900,51.93
"2007-06-13",56.67,57.23,56.63,57.2,5266900,52.47
"2007-06-14",57.01,57.24,56.9,57,4650300,52.29
"2007-06-15",57.13,57.26,56.87,57.03,4460900,52.31
"2007-06-18",57.08,57.12,56.9,57.11,2603000,52.39
"2007-06-19",57.7,57.96,57.63,57.72,15695300,52.95
"2007-06-20",57.72,57.82,57.62,57.69,5128200,52.92
"2007-06-21",57.64,57.89,57.6,57.72,3011900,52.95
"2007-06-22",57.67,57.75,57.41,57.54,4668600,52.78
"2007-06-25",57.54,57.68,56.97,57.35,3725200,52.61
"2007-06-26",57.35,57.59,57.25,57.5,5418100,52.75
"2007-06-27",57.2,57.68,57.05,57.56,5323600,52.8
"2007-06-28",57.56,57.72,57.45,57.52,5493000,52.76
"2007-06-29",57.52,57.64,57.5,57.58,12059400,52.82
"2007-07-02",57.73,57.8,57.61,57.8,6589300,53.02
"2007-07-03",57.81,57.95,57.75,57.92,1220500,53.13
"2007-07-05",57.92,57.95,57.8,57.85,1433300,53.07
"2007-07-06",57.85,57.95,57.7,57.9,1459000,53.11
"2007-07-09",57.85,58,57.85,57.98,2264100,53.19
"2007-07-10",57.92,57.98,57.77,57.8,2991000,53.02
"2007-07-11",57.75,57.87,49.5,52.15,33776200,47.84
"2007-07-12",53.15,54.67,52.15,53.7,17467800,49.26
"2007-07-13",53.72,54.29,53.25,53.64,7171200,49.2
"2007-07-16",53.63,53.93,52.95,52.95,4396500,48.57
"2007-07-17",52.1,52.87,51.52,51.71,10856400,47.43
"2007-07-18",51.7,52.13,50.34,51.1,10666600,46.87
"2007-07-19",51.1,52,50.57,51.51,8572100,47.25
"2007-07-20",50.52,51.6,50.25,50.92,3669300,46.71
"2007-07-23",51.03,51.23,50.51,50.93,2850100,46.72
"2007-07-24",50.75,52.8,50.63,52.8,5961500,48.43
"2007-07-25",52.65,52.71,50.63,51.14,4465900,46.91
"2007-07-26",50.94,50.95,48.75,50.1,6113400,45.96
"2007-07-27",50.1,50.5,49.28,49.4,4413500,45.32
"2007-07-30",49.4,50.1,48.84,49.56,5264300,45.46
