"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2007-01-03",47.81,48.21,47.46,47.84,356000,40.06
"2007-01-04",47.75,47.81,47.32,47.75,282800,39.98
"2007-01-05",47.54,47.6,46.82,46.97,337300,39.33
"2007-01-08",46.97,46.99,46.46,46.85,404500,39.23
"2007-01-09",46.95,47.4,46.78,47.33,201900,39.63
"2007-01-10",47.22,47.41,47,47.34,177000,39.64
"2007-01-11",47.52,48.03,47.52,47.72,249400,39.96
"2007-01-12",47.56,48.08,47.56,47.72,293100,39.96
"2007-01-16",47.85,48.01,47.71,47.96,251600,40.16
"2007-01-17",47.8,48.02,47.62,47.73,244100,39.97
"2007-01-18",47.75,47.96,47.54,47.61,156600,39.87
"2007-01-19",47.76,48.09,47.46,47.74,160700,39.97
"2007-01-22",47.64,47.75,47.21,47.36,168300,39.66
"2007-01-23",47.44,48.08,47.29,48.04,255800,40.23
"2007-01-24",47.99,48.39,47.76,48.35,223800,40.49
"2007-01-25",48.42,48.42,47.82,47.88,238700,40.09
"2007-01-26",48.06,48.06,47.49,47.67,189400,39.92
"2007-01-29",47.68,48.21,47.32,47.69,310700,39.93
"2007-01-30",47.82,48.15,47.77,47.9,253000,40.11
"2007-01-31",47.9,48.4,47.31,48.21,394700,40.37
"2007-02-01",49.4,51.32,48.5,50.88,2087800,42.6
"2007-02-02",50.96,51.55,50.16,50.51,717500,42.29
"2007-02-05",50.76,50.76,49.44,49.68,834100,41.6
"2007-02-06",49.74,50.69,49.31,49.87,954600,41.76
"2007-02-07",50.05,50.23,49.57,49.98,561700,41.85
"2007-02-08",50,50.39,49.76,50.03,689800,41.89
"2007-02-09",50.02,50.3,49.71,49.71,476000,41.62
"2007-02-12",49.64,49.98,49.17,49.25,309600,41.24
"2007-02-13",49.25,49.5,49.08,49.21,426900,41.21
"2007-02-14",49.21,49.51,48.92,49.45,551200,41.41
"2007-02-15",49.46,50.25,49.37,50.22,607100,42.05
"2007-02-16",50.03,50.09,49.64,49.9,448700,41.78
"2007-02-20",49.95,50.51,49.37,50.46,440100,42.25
"2007-02-21",50.4,51.03,50.04,50.92,727800,42.64
