"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume","SO.Adjusted"
"2007-01-03",36.8,37.25,36.78,36.98,2796800,26.25
"2007-01-04",36.85,37.15,36.79,37,2183600,26.27
"2007-01-05",36.9,36.95,36.38,36.44,3776400,25.87
"2007-01-08",36.46,36.68,36.3,36.54,3054600,25.94
"2007-01-09",36.55,36.8,36.45,36.64,2978200,26.01
"2007-01-10",36.61,36.74,36.45,36.57,2247200,25.96
"2007-01-11",36.62,36.86,36.57,36.72,2831600,26.07
"2007-01-12",36.72,36.83,36.14,36.25,3254300,25.73
"2007-01-16",36.31,36.67,36.27,36.47,3195800,25.89
"2007-01-17",36.56,36.72,36.42,36.71,1903600,26.06
"2007-01-18",36.75,36.75,36.61,36.63,1950100,26
"2007-01-19",36.74,36.84,36.61,36.73,3220300,26.07
"2007-01-22",36.81,36.84,36.62,36.64,4734900,26.01
"2007-01-23",36.63,36.75,36.52,36.72,1941700,26.07
"2007-01-24",36.64,36.84,36.62,36.76,2632500,26.1
"2007-01-25",36.6,36.98,36.6,36.75,3407200,26.09
"2007-01-26",36.6,36.65,36.11,36.39,4397200,25.83
"2007-01-29",36.3,36.41,36.1,36.25,3546800,25.73
"2007-01-30",36.35,36.39,36.15,36.22,2171100,25.71
"2007-01-31",36.26,36.61,36.14,36.53,3648800,25.93
"2007-02-01",36.26,36.52,36.15,36.33,3438200,26.07
"2007-02-02",36.52,36.52,36.09,36.3,1765500,26.05
"2007-02-05",36.3,36.58,36.2,36.41,5306300,26.12
"2007-02-06",36.42,36.59,36.35,36.58,3211800,26.25
"2007-02-07",36.43,36.61,36.36,36.5,2130600,26.19
"2007-02-08",36.5,36.63,36.34,36.36,2450900,26.09
"2007-02-09",36.44,36.7,36.14,36.39,3494400,26.11
"2007-02-12",36.39,36.56,36.2,36.26,2134400,26.02
"2007-02-13",36.32,36.52,36.29,36.52,1637000,26.2
"2007-02-14",36.46,36.7,36.45,36.54,1895400,26.22
"2007-02-15",36.52,36.7,36.3,36.35,2646600,26.08
"2007-02-16",36.21,36.44,36.11,36.42,2146600,26.13
"2007-02-20",36.47,36.63,36.42,36.58,1858700,26.25
"2007-02-21",36.39,36.57,36.18,36.35,1778400,26.08
"2007-02-22",36.36,36.44,36.19,36.32,1412200,26.06
"2007-02-23",36.22,36.49,36.15,36.21,4700200,25.98
"2007-02-26",36.89,36.95,36.27,36.4,4091200,26.12
"2007-02-27",36.24,36.5,35.11,35.48,4319900,25.46
"2007-02-28",35.5,36.15,35.44,35.8,4891300,25.69
"2007-03-01",35.7,36.14,35.2,35.91,3599500,25.77
"2007-03-02",35.8,35.96,35.36,35.4,2660200,25.4
"2007-03-05",35.35,35.42,35,35.04,3822800,25.14
"2007-03-06",35.31,35.6,35.1,35.49,3360800,25.46
"2007-03-07",35.36,35.6,35.26,35.36,2220700,25.37
"2007-03-08",35.59,35.59,35.34,35.58,1808300,25.53
"2007-03-09",35.74,35.78,35.21,35.25,2951900,25.29
"2007-03-12",35.28,35.47,35.14,35.45,2694700,25.44
"2007-03-13",35.29,35.49,35.03,35.04,3437300,25.14
"2007-03-14",35.15,35.44,34.85,35.32,3556900,25.34
"2007-03-15",35.24,35.7,35.21,35.67,2747500,25.59
"2007-03-16",35.72,35.81,35.39,35.39,4234100,25.39
"2007-03-19",35.46,35.97,35.45,35.82,2619700,25.7
"2007-03-20",35.82,36.28,35.69,36.28,2535600,26.03
"2007-03-21",36.21,36.84,36.01,36.76,3147900,26.38
"2007-03-22",36.99,37.05,36.45,36.68,2399700,26.32
"2007-03-23",35.98,37.05,35.96,36.85,2237300,26.44
"2007-03-26",36.8,37.09,36.65,37.04,3085800,26.58
"2007-03-27",36.88,36.98,36.65,36.8,1696400,26.4
"2007-03-28",36.68,37.04,36.64,36.64,3110400,26.29
"2007-03-29",36.8,36.95,36.57,36.91,2464600,26.48
"2007-03-30",36.91,37.09,36.22,36.65,3464800,26.3
"2007-04-02",36.66,37.23,36.58,37.08,3493400,26.61
"2007-04-03",37.11,37.24,36.95,37.19,2350600,26.68
"2007-04-04",37.1,37.29,36.98,37.1,1642600,26.62
"2007-04-05",37,37.26,36.93,37.2,1972200,26.69
"2007-04-09",37.22,37.5,37.2,37.31,2614400,26.77
"2007-04-10",37.29,37.49,37.23,37.42,1702500,26.85
"2007-04-11",37.4,37.5,37.16,37.39,3359500,26.83
"2007-04-12",37.75,37.75,37,37.37,2225500,26.81
"2007-04-13",37.49,37.5,37.25,37.45,2272100,26.87
"2007-04-16",37.48,37.5,37.34,37.42,2232200,26.85
"2007-04-17",37.4,37.82,37.4,37.73,4129900,27.07
"2007-04-18",38.45,38.45,37.58,37.94,2780900,27.22
"2007-04-19",37.77,37.92,37.56,37.79,3006000,27.11
"2007-04-20",38.25,38.25,37.73,38.18,3978100,27.39
"2007-04-23",38.88,38.88,37.94,38,2334800,27.27
"2007-04-24",38,38.33,37.95,38.31,2623700,27.49
"2007-04-25",38.5,38.8,38.44,38.65,2809000,27.73
"2007-04-26",38.9,38.9,38.4,38.49,3656900,27.62
"2007-04-27",37.99,38.38,37.85,38.17,3658400,27.39
"2007-04-30",38.1,38.26,37.73,37.79,3415900,27.11
"2007-05-01",38.46,38.46,37.63,38.01,3556000,27.27
"2007-05-02",38.14,38.24,38.03,38.06,2816200,27.31
"2007-05-03",37.77,37.86,37.42,37.65,2624200,27.3
"2007-05-04",37.79,37.8,37.51,37.61,1632600,27.27
"2007-05-07",37.68,37.81,37.54,37.78,1656600,27.4
"2007-05-08",37.65,38.06,37.47,37.69,2871700,27.33
"2007-05-09",37.67,37.78,37.38,37.56,2119500,27.24
