"","SPLS.Open","SPLS.High","SPLS.Low","SPLS.Close","SPLS.Volume","SPLS.Adjusted"
"2007-01-03",26.51,27.25,26.05,26.4,5852000,22.73
"2007-01-04",26.33,26.47,25.88,26.24,6052700,22.59
"2007-01-05",26.27,26.5,25.77,26.02,5102900,22.4
"2007-01-08",25.9,25.99,25.56,25.74,6326000,22.16
"2007-01-09",25.93,26.5,25.82,26.4,6607600,22.73
"2007-01-10",26.08,26.43,25.99,26.43,4756800,22.76
"2007-01-11",26.52,26.79,26.34,26.6,5138600,22.9
"2007-01-12",26.52,26.71,26.33,26.68,5648200,22.97
"2007-01-16",26.63,27.06,26.55,27.02,4086200,23.26
"2007-01-17",26.89,27.02,26.67,26.95,4343600,23.2
"2007-01-18",27.26,27.62,27.14,27.22,6322800,23.44
"2007-01-19",27.33,27.33,26.86,27.02,4898400,23.26
"2007-01-22",26.97,27,26.31,26.47,5296300,22.79
"2007-01-23",26.46,26.65,26.36,26.5,4659900,22.82
"2007-01-24",26.62,26.75,26.32,26.54,5432300,22.85
"2007-01-25",26.39,26.43,25.78,25.96,6392000,22.35
"2007-01-26",25.96,25.97,25.5,25.66,6892000,22.09
"2007-01-29",25.57,25.78,25.29,25.51,7210600,21.96
"2007-01-30",25.7,25.7,25.32,25.49,5087400,21.95
"2007-01-31",25.59,25.81,25.5,25.72,6221500,22.15
"2007-02-01",25.67,26.19,25.6,25.96,6645800,22.35
"2007-02-02",26.07,26.56,25.9,26.45,6787800,22.77
"2007-02-05",26.48,26.7,26.09,26.26,5243500,22.61
"2007-02-06",26.27,26.37,25.93,26.31,6122700,22.65
"2007-02-07",26.18,26.72,26.18,26.45,4384000,22.77
"2007-02-08",26.47,26.69,26.29,26.59,3471200,22.89
"2007-02-09",26.75,26.97,26.5,26.7,5761800,22.99
"2007-02-12",26.74,26.82,26.42,26.63,5577800,22.93
"2007-02-13",26.67,27.04,26.61,26.9,5154800,23.16
"2007-02-14",26.92,27.28,26.7,27.25,5080700,23.46
"2007-02-15",27.28,27.32,26.95,27.26,2355000,23.47
"2007-02-16",27.19,27.4,26.7,26.85,5966700,23.12
"2007-02-20",26.76,27.56,26.75,27.55,4139300,23.72
"2007-02-21",27.37,27.48,27.12,27.37,5756000,23.57
"2007-02-22",27.32,27.6,27.13,27.5,4052900,23.68
"2007-02-23",27.54,27.66,27.13,27.19,3485700,23.41
"2007-02-26",27.21,27.44,26.35,27.13,4314700,23.36
"2007-02-27",26.91,26.92,25.88,25.99,5384100,22.38
"2007-02-28",25.94,26.4,25.9,26.02,6535500,22.4
"2007-03-01",25.28,25.75,24.74,25.35,9250900,21.83
"2007-03-02",25.03,25.71,24.9,25.45,6710300,21.91
"2007-03-05",25.44,25.63,25.01,25.03,5670500,21.55
"2007-03-06",25.23,25.26,24.88,25.17,9558900,21.67
"2007-03-07",24.93,25.97,24.84,25.89,9816500,22.29
"2007-03-08",26.19,26.3,26.02,26.12,7621100,22.49
