"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume","SRE.Adjusted"
"2007-01-03",55.95,57.12,55.94,56.77,1430400,45.78
"2007-01-04",56.61,57.06,56.24,56.27,810600,45.37
"2007-01-05",56.27,56.27,55.08,55.19,1222300,44.5
"2007-01-08",54.98,55.3,54.73,54.99,2000600,44.34
"2007-01-09",55.2,55.75,54.98,55.63,1290100,44.86
"2007-01-10",55.33,55.79,55.3,55.63,954700,44.86
"2007-01-11",55.73,56.06,55.63,55.79,666200,44.99
"2007-01-12",55.89,55.9,55.31,55.48,732200,44.74
"2007-01-16",55.65,56.49,55.51,56.23,855700,45.34
"2007-01-17",56.24,56.26,55.76,55.9,1261300,45.08
"2007-01-18",56.12,56.22,55.65,55.73,564900,44.94
"2007-01-19",55.93,56.03,55.56,55.95,862800,45.12
"2007-01-22",55.83,56.42,55.58,56.38,1641000,45.46
"2007-01-23",56.5,57.4,56.3,57.35,1371400,46.24
"2007-01-24",57.4,58.01,57.26,58,818400,46.77
"2007-01-25",57.9,58,57.35,57.35,707000,46.24
"2007-01-26",57.34,57.34,56.63,57.3,1338300,46.2
"2007-01-29",57.19,57.19,56.69,56.85,975200,45.84
"2007-01-30",56.86,57.11,56.78,57.03,756500,45.99
"2007-01-31",56.85,57.45,56.53,57.38,669700,46.27
"2007-02-01",57.38,57.87,57.25,57.71,871500,46.54
"2007-02-02",57.71,57.93,57.64,57.79,465400,46.6
"2007-02-05",57.71,58.37,57.6,58.21,587800,46.94
"2007-02-06",58.48,59.48,58.29,59.29,1121200,47.81
"2007-02-07",59.35,60.51,59.32,60.13,1296300,48.49
"2007-02-08",60.12,60.87,60.01,60.64,904100,48.9
"2007-02-09",60.66,61,60.07,60.37,610000,48.68
"2007-02-12",60.29,60.74,60.1,60.25,502600,48.58
"2007-02-13",60.45,60.74,60.31,60.7,739500,48.95
"2007-02-14",60.75,61.24,60.7,60.9,862800,49.11
"2007-02-15",60.81,60.93,60.4,60.45,883800,48.74
"2007-02-16",60.2,60.58,60.08,60.45,656600,48.74
"2007-02-20",60.45,60.63,60.16,60.62,897600,48.88
"2007-02-21",60.15,60.47,59.96,60.36,1344800,48.67
"2007-02-22",60.61,60.9,59.52,60.45,962500,48.74
"2007-02-23",61.45,61.45,60.51,60.6,1332400,48.87
"2007-02-26",60.81,61.96,60.8,61.55,2387000,49.63
"2007-02-27",61.44,62.53,60.3,60.4,3174000,48.7
