"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"2007-01-03",68.01,68.26,67.31,68.11,2753000,62.62
"2007-01-04",68.1,68.71,67.55,68.61,1581700,63.08
"2007-01-05",68.54,68.56,68.07,68.4,1992800,62.88
"2007-01-08",68.48,69.16,68.07,69.12,1978000,63.54
"2007-01-09",69.12,69.34,68.27,68.85,2003200,63.3
"2007-01-10",68.47,69.56,68.32,69.43,1574600,63.83
"2007-01-11",69.85,70.81,69.62,70.69,2030100,64.99
"2007-01-12",70.69,71.29,70.44,71.15,2163800,65.41
"2007-01-16",71.25,71.39,70.62,71.02,1977400,65.29
"2007-01-17",71.22,72.82,70.49,72.06,3966700,66.25
"2007-01-18",71.22,72.28,71.22,71.58,2116200,65.81
"2007-01-19",71.83,71.92,70.96,71.54,1296500,65.77
"2007-01-22",71.45,71.45,70.24,70.6,1912900,64.9
"2007-01-23",70.6,71.33,70.5,70.79,1640000,65.08
"2007-01-24",70.01,71.71,70.01,71.71,1277500,65.93
"2007-01-25",71.61,71.67,70.15,70.22,1242200,64.56
"2007-01-26",70.4,70.6,69.58,70.07,1808500,64.42
"2007-01-29",69.95,70.05,69.38,69.64,1393900,64.02
"2007-01-30",69.74,70.42,69.32,70.24,1308500,64.57
"2007-01-31",69.95,71.3,69.69,71.05,1479400,65.32
"2007-02-01",71.71,72.14,71.3,71.77,1831500,65.98
"2007-02-02",72.02,72.06,71.21,71.75,1169400,65.96
"2007-02-05",67.91,68.69,66.64,67.08,17862800,61.67
"2007-02-06",67.38,68.65,67.38,68.17,8211700,62.67
"2007-02-07",68.51,68.82,68.2,68.67,3591600,63.13
"2007-02-08",68.46,68.59,67.82,68.23,3210400,62.73
"2007-02-09",68.45,68.74,67.98,68.35,4450100,62.84
"2007-02-12",68.5,68.59,68.1,68.33,2140000,62.82
"2007-02-13",68.49,69.06,68.27,68.9,2053200,63.34
"2007-02-14",69.1,70.19,68.8,70.08,2697600,64.43
"2007-02-15",70.07,70.72,69.66,70.59,1982100,64.9
"2007-02-16",70.56,70.87,69.94,70.17,1898300,64.51
"2007-02-20",70.87,70.97,69.8,70.65,1135700,64.95
"2007-02-21",70.26,70.26,69.48,70.1,1721500,64.45
"2007-02-22",69.84,70.16,69.42,70.11,1581600,64.45
"2007-02-23",70.18,70.18,68.79,69.22,2120600,63.64
"2007-02-26",69.28,69.75,67.91,68.4,1852400,62.88
"2007-02-27",67.71,67.8,64.86,65.2,4180600,59.94
"2007-02-28",65.3,66.35,64.78,65.51,3511500,60.23
"2007-03-01",64.6,66.15,63.97,65.83,4060200,60.52
"2007-03-02",65.69,66.59,65.04,65.08,2968600,59.83
"2007-03-05",65.97,65.97,63.44,64.39,2595800,59.2
"2007-03-06",65.05,65.93,64.72,65.88,3010200,60.57
"2007-03-07",65.66,65.97,65.22,65.24,1967700,59.98
"2007-03-08",65.56,66.26,65.13,65.53,1804700,60.24
"2007-03-09",66.1,66.3,64.91,65.32,2068300,60.05
"2007-03-12",65.1,65.5,64.57,64.62,2767800,59.41
"2007-03-13",64.15,64.66,62.27,62.28,3369100,57.26
"2007-03-14",62.51,63.53,61.7,63.11,3645100,58.02
"2007-03-15",63.11,63.81,63.02,63.6,3701900,58.47
"2007-03-16",63.8,63.9,63.02,63.26,3483800,58.16
"2007-03-19",63.6,64.48,63.24,63.41,2258400,58.29
"2007-03-20",63.18,63.67,63.12,63.27,2514600,58.17
"2007-03-21",63.38,65.52,63.12,65.3,2981000,60.03
"2007-03-22",65.15,65.35,64.6,64.94,1828400,59.7
"2007-03-23",66.05,67.14,65.7,66.04,2687200,60.71
"2007-03-26",65.92,65.98,65,65.72,2713400,60.42
"2007-03-27",65.27,65.42,64.8,64.98,2800700,59.74
"2007-03-28",64.48,65.04,64.21,65.04,3383800,59.79
"2007-03-29",65.42,65.86,64.53,65.07,3468700,60.01
"2007-03-30",65.21,65.46,64.26,64.75,1616600,59.72
"2007-04-02",64.27,64.99,64.21,64.66,1834100,59.64
"2007-04-03",65.06,66.01,65.06,66.01,2103700,60.88
"2007-04-04",66,66.31,65.5,65.86,1385100,60.74
"2007-04-05",65.88,66.91,65.67,66.86,1802000,61.67
"2007-04-09",66.93,67.26,66.79,66.99,2019300,61.79
"2007-04-10",66.91,67.21,66.6,66.87,1231500,61.67
"2007-04-11",66.7,66.83,66.05,66.16,2017400,61.02
"2007-04-12",66.11,66.12,65.67,66.11,3266400,60.97
"2007-04-13",66.97,66.97,65.24,66.59,1775800,61.42
"2007-04-16",67.14,68.34,67.12,67.92,3439500,62.64
"2007-04-17",69.01,69.26,68.18,68.71,2649300,63.37
"2007-04-18",68.9,69.72,68.78,68.93,1574600,63.57
