"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"2007-01-03",25.75,26.21,25.7,26.07,6390900,21.72
"2007-01-04",25.82,26.48,25.63,26.4,5827400,21.99
"2007-01-05",26.2,26.25,25.71,26.01,7942400,21.67
"2007-01-08",26.04,26.1,25.69,25.86,7234000,21.54
"2007-01-09",25.98,26.95,25.9,26.68,9921500,22.23
"2007-01-10",26.68,27.28,26.51,26.81,9854800,22.34
"2007-01-11",26.6,27.32,26.57,26.81,6449000,22.34
"2007-01-12",26.75,26.93,26.63,26.82,4890400,22.34
"2007-01-16",26.74,27.17,26.74,26.97,5875500,22.47
"2007-01-17",27.14,27.5,26.9,27.38,6293200,22.81
"2007-01-18",27.01,27.02,26.19,26.29,9520000,21.9
"2007-01-19",26,26.42,25.85,25.95,6398200,21.62
"2007-01-22",26.06,26.6,25.71,26.48,6028900,22.06
"2007-01-23",26.49,26.77,25.97,26.18,8228200,21.81
"2007-01-24",27.42,28.49,27.31,28.35,15901200,23.62
"2007-01-25",28.38,28.51,27.54,27.71,7679800,23.09
"2007-01-26",27.07,27.62,27,27.35,9010900,22.79
"2007-01-29",27.79,27.79,27.17,27.46,5326200,22.88
"2007-01-30",27.68,27.77,27.39,27.61,3648800,23
"2007-01-31",27.02,27.21,26.87,27.09,5398700,22.65
"2007-02-01",27.11,27.29,26.65,26.75,5659800,22.37
"2007-02-02",26.62,26.88,26.14,26.34,8359100,22.02
"2007-02-05",26.17,26.72,25.98,26.4,5855100,22.07
"2007-02-06",26.1,26.25,25.73,26.08,4629600,21.81
"2007-02-07",26.12,26.46,26.04,26.34,4933900,22.02
"2007-02-08",26.3,26.5,26.14,26.33,2714200,22.02
"2007-02-09",26.33,26.7,26.04,26.06,3778800,21.79
"2007-02-12",25.95,26.29,25.85,26.03,1829400,21.76
"2007-02-13",26.1,26.19,25.69,26.07,4252900,21.8
"2007-02-14",26.05,26.76,25.64,26.6,5176200,22.24
"2007-02-15",26.68,26.8,26.47,26.66,2543700,22.29
"2007-02-16",26.5,26.77,26.4,26.54,5742700,22.19
"2007-02-20",26.35,26.94,25.91,26.83,4059500,22.43
"2007-02-21",26.7,27.14,26.59,27.04,4732900,22.61
"2007-02-22",27.47,27.79,27.19,27.53,9034800,23.02
"2007-02-23",27.6,28.14,27.42,28,5895000,23.41
"2007-02-26",28,28.22,27.78,28.16,6487200,23.55
"2007-02-27",27.88,27.88,26.4,26.61,7339000,22.25
"2007-02-28",26.88,27.19,26.25,26.9,7576000,22.49
"2007-03-01",26.2,26.91,25.8,26.43,7888900,22.1
"2007-03-02",26.43,26.43,24.53,24.64,15056700,20.6
"2007-03-05",24.75,25.25,24.62,24.63,9396800,20.59
"2007-03-06",25.06,25.25,24.55,24.79,7794900,20.73
"2007-03-07",24.76,25.11,24.51,24.7,4882200,20.65
"2007-03-08",24.99,25.12,24.18,24.3,6565700,20.32
"2007-03-09",24.48,24.5,23.9,24.26,8848700,20.28
"2007-03-12",24.08,24.72,24.02,24.64,4311500,20.6
"2007-03-13",24.25,24.46,23.84,24.05,3846700,20.11
"2007-03-14",23.87,24.36,23.72,24.32,4457400,20.33
