"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2007-01-03",50.45,50.8,50.05,50.78,666400,41.87
"2007-01-04",50.75,51.29,50.26,51.1,753200,42.13
"2007-01-05",51,51.19,50.59,50.9,1146400,41.97
"2007-01-08",50.7,50.86,49.95,50.71,750800,41.81
"2007-01-09",50.96,51.73,50.68,51.63,1000100,42.57
"2007-01-10",51.55,52.27,51.39,52.23,630600,43.06
"2007-01-11",52.48,52.99,52.24,52.97,461800,43.67
"2007-01-12",52.72,53.28,52.55,53.22,490800,43.88
"2007-01-16",53.13,53.5,52.95,53.26,434800,43.91
"2007-01-17",53.1,53.97,53.1,53.52,789800,44.13
"2007-01-18",52.73,54.85,52.73,54.06,918600,44.57
"2007-01-19",52.5,53.28,52.44,53.09,1044400,43.77
"2007-01-22",53.09,53.38,52.52,53.26,571700,43.91
"2007-01-23",53.13,53.7,53.02,53.48,481400,44.1
"2007-01-24",53.38,53.99,53.16,53.88,436800,44.43
"2007-01-25",54,54.1,52.68,52.85,785000,43.58
"2007-01-26",54.25,56.25,54.22,55.57,4553300,45.82
"2007-01-29",55.3,56,55.09,55.54,1443000,45.79
"2007-01-30",55.25,56.5,55.25,56.11,1305900,46.26
"2007-01-31",56.11,57.54,55.78,57.26,1189200,47.21
"2007-02-01",57.5,58.51,57.49,58.14,1650700,47.94
"2007-02-02",58.3,58.99,58.07,58.95,1043400,48.61
"2007-02-05",58.62,58.83,57.55,57.7,870500,47.57
"2007-02-06",57.75,58.17,57.33,58.17,698100,47.96
"2007-02-07",58.35,58.41,57.66,58.09,482000,47.9
"2007-02-08",58.09,58.09,57.39,57.85,539000,47.7
"2007-02-09",58.05,58.05,56.77,57,685600,47
"2007-02-12",57.1,57.22,56.27,56.48,487000,46.57
"2007-02-13",56.71,56.84,56.32,56.71,858400,46.76
"2007-02-14",56.91,57.58,56.45,57.38,494900,47.31
"2007-02-15",57.53,57.69,57.29,57.59,277800,47.48
"2007-02-16",57.34,57.5,56.93,57.05,440700,47.04
"2007-02-20",56.99,57.61,56.81,57.53,514000,47.43
"2007-02-21",57.45,58.02,57.24,57.91,486200,47.75
"2007-02-22",58.08,58.16,57.06,57.63,445200,47.52
"2007-02-23",57.64,57.82,57.15,57.62,303800,47.51
"2007-02-26",57.82,58.11,57.36,57.72,431700,47.59
"2007-02-27",57.2,57.2,55.25,55.41,709600,45.69
"2007-02-28",55.66,55.82,55.05,55.57,631000,45.82
"2007-03-01",55.06,55.97,54.5,55.51,614100,45.77
"2007-03-02",55.11,55.54,54.39,54.39,567200,44.85
"2007-03-05",53.89,54.23,52.97,53.05,728100,43.98
"2007-03-06",54.2,55.95,53.47,55.59,1285800,46.09
"2007-03-07",55.6,56.19,55.41,55.95,764400,46.39
"2007-03-08",56.3,56.85,56.29,56.59,414100,46.92
"2007-03-09",57,57.06,56.21,56.4,526400,46.76
"2007-03-12",57.44,57.6,56.42,56.6,1361200,46.93
"2007-03-13",55.83,56.3,55.56,55.56,991800,46.06
"2007-03-14",54.9,55.72,54.17,54.45,2266800,45.14
"2007-03-15",54.45,56.4,54.04,54.28,3441300,45
"2007-03-16",54.3,54.5,53.46,53.78,1590100,44.59
"2007-03-19",54.18,54.45,53.83,54.08,1140100,44.84
"2007-03-20",53.93,54.56,53.9,54.56,1095500,45.24
"2007-03-21",54.69,55.71,54.54,55.59,908000,46.09
"2007-03-22",54.74,55.78,54.74,55.62,501400,46.11
"2007-03-23",55.45,56.01,55.45,55.95,494300,46.39
"2007-03-26",55.75,55.87,54.86,55.4,618600,45.93
"2007-03-27",55.15,55.5,54.88,55.4,839500,45.93
"2007-03-28",54.56,55.6,54.56,55.17,588000,45.74
"2007-03-29",55.4,55.65,55.01,55.32,514300,45.87
"2007-03-30",55.46,55.7,54.87,55.36,619600,45.9
"2007-04-02",55.77,56.04,55.55,55.81,537200,46.27
"2007-04-03",56.25,56.6,55.98,56.53,1237200,46.87
"2007-04-04",56.5,56.68,56.2,56.55,545100,46.89
"2007-04-05",56.45,56.59,56.27,56.5,348100,46.84
"2007-04-09",56.58,56.79,56,56.12,456700,46.53
"2007-04-10",56.35,56.53,55.88,56,484300,46.43
"2007-04-11",56.01,56.1,55.09,55.18,608900,45.75
"2007-04-12",55.18,55.36,54.63,55.33,477200,45.87
"2007-04-13",55.28,55.71,55.04,55.71,593800,46.19
"2007-04-16",55.72,57.02,55.41,57.02,1152400,47.27
"2007-04-17",58.5,58.58,57.25,57.4,1295500,47.59
"2007-04-18",57.15,57.99,56.97,57.74,901800,47.87
"2007-04-19",57.49,58.08,57.24,57.91,730500,48.01
"2007-04-20",58.06,58.48,57.72,58.47,1103800,48.48
"2007-04-23",58.4,58.7,58.34,58.54,849400,48.54
"2007-04-24",58.61,59.94,58.02,59.45,1271100,49.29
"2007-04-25",59.5,61.26,59.04,61.01,1203100,50.58
