"","SYMC.Open","SYMC.High","SYMC.Low","SYMC.Close","SYMC.Volume","SYMC.Adjusted"
"2007-01-03",20.98,21.86,20.86,21.34,17988400,20.79
"2007-01-04",21.38,21.83,21.27,21.66,17884500,21.1
"2007-01-05",21.58,21.6,21.27,21.34,11815700,20.79
"2007-01-08",21.2,21.53,21.2,21.38,14239900,20.83
"2007-01-09",21.38,21.8,21.33,21.57,9016200,21.01
"2007-01-10",21.44,21.57,21.2,21.46,8692900,20.9
"2007-01-11",21.51,21.86,21.2,21.33,14797000,20.78
"2007-01-12",21.75,21.75,20.35,20.48,36673200,19.95
"2007-01-16",18.71,19.25,17.65,17.79,121704800,17.33
"2007-01-17",17.81,18.19,17.26,17.85,45726600,17.39
"2007-01-18",17.98,18.15,17.7,17.75,21043900,17.29
"2007-01-19",17.62,17.85,17.47,17.54,18084900,17.09
"2007-01-22",17.58,17.74,17.33,17.5,14873700,17.05
"2007-01-23",17.57,17.75,17.35,17.41,10082800,16.96
"2007-01-24",17.41,17.8,17.3,17.48,11057500,17.03
"2007-01-25",17.59,19.02,17.57,17.97,39354000,17.5
"2007-01-26",17.94,18.15,17.53,17.77,19826300,17.31
"2007-01-29",17.72,17.73,17.27,17.52,16851400,17.07
"2007-01-30",17.55,17.71,17.44,17.62,10620500,17.16
"2007-01-31",17.68,17.84,17.46,17.71,10843500,17.25
"2007-02-01",17.68,18.04,17.56,17.92,16894400,17.46
"2007-02-02",17.9,18.21,17.84,18.06,12866300,17.59
"2007-02-05",18,18.09,17.77,17.78,13157700,17.32
"2007-02-06",17.85,17.95,17.49,17.62,17169200,17.16
"2007-02-07",17.71,18.2,17.7,18.1,20272600,17.63
"2007-02-08",18.05,18.17,17.95,18,9459900,17.53
"2007-02-09",18,18.11,17.75,17.87,13861400,17.41
"2007-02-12",17.94,17.95,17.66,17.82,7541100,17.36
"2007-02-13",17.9,18.04,17.76,17.91,15665900,17.45
"2007-02-14",18,18.37,17.86,18.33,18274900,17.85
"2007-02-15",18.29,18.3,18.05,18.24,10355200,17.77
"2007-02-16",18.21,18.3,17.87,17.95,12194400,17.48
"2007-02-20",17.91,17.95,17.53,17.85,15826000,17.39
"2007-02-21",17.77,17.83,17.4,17.47,19585000,17.02
"2007-02-22",17.55,17.62,17.33,17.53,12402800,17.08
"2007-02-23",17.59,17.59,17.27,17.36,9771200,16.91
"2007-02-26",17.4,17.4,17.11,17.21,15902300,16.76
"2007-02-27",17.07,17.3,16.74,16.74,19549200,16.31
"2007-02-28",16.84,17.35,16.65,17.1,23195100,16.66
"2007-03-01",16.95,17.25,16.8,16.96,16339200,16.52
"2007-03-02",16.8,17.17,16.8,16.9,14184300,16.46
"2007-03-05",16.8,17.05,16.69,16.69,12158300,16.26
"2007-03-06",16.89,16.95,16.59,16.84,16352700,16.4
"2007-03-07",16.62,16.76,16.41,16.65,27190900,16.22
"2007-03-08",16.89,16.9,16.48,16.57,19391600,16.14
"2007-03-09",16.66,16.96,16.57,16.84,16226000,16.4
"2007-03-12",16.84,17.05,16.7,17.01,10204000,16.57
"2007-03-13",16.81,16.91,16.41,16.41,13370100,15.98
"2007-03-14",16.43,16.59,16.2,16.55,12252400,16.12
"2007-03-15",16.56,16.64,16.37,16.62,8751600,16.19
"2007-03-16",17.04,17.18,16.73,16.9,20070700,16.46
"2007-03-19",16.92,16.95,16.61,16.84,10240300,16.4
"2007-03-20",16.91,17.06,16.75,16.96,12108400,16.52
"2007-03-21",17,17.16,16.8,17.07,17437800,16.63
"2007-03-22",17.07,17.25,16.95,17.17,20316400,16.72
"2007-03-23",17.15,17.63,17.15,17.54,16400500,17.09
"2007-03-26",17.49,17.74,17.45,17.61,17605500,17.15
"2007-03-27",17.66,17.95,17.59,17.85,21571300,17.39
"2007-03-28",17.71,17.84,17.45,17.45,9426700,17
"2007-03-29",17.57,17.67,17.18,17.45,9294500,17
"2007-03-30",17.42,17.58,17.14,17.3,8454500,16.85
"2007-04-02",17.22,17.37,16.96,17.04,15789300,16.6
"2007-04-03",17.06,17.1,16.82,16.99,17202900,16.55
"2007-04-04",16.93,17.02,16.81,16.85,12689800,16.41
"2007-04-05",16.85,16.96,16.79,16.92,6747900,16.48
"2007-04-09",16.98,17.11,16.92,16.95,11480900,16.51
"2007-04-10",16.89,17.1,16.77,17.1,9898500,16.66
"2007-04-11",17.06,17.2,16.92,17.06,10005700,16.62
"2007-04-12",17.11,17.47,17.03,17.37,11013100,16.92
"2007-04-13",17.34,17.71,17.32,17.4,15411700,16.95
"2007-04-16",17.49,17.59,17.22,17.53,11093300,17.08
"2007-04-17",17.57,17.72,17.47,17.5,9774800,17.05
"2007-04-18",17.38,17.46,17.28,17.39,7786500,16.94
"2007-04-19",17.17,17.34,17.15,17.26,6333500,16.81
"2007-04-20",17.35,17.7,17.29,17.63,16282200,17.17
"2007-04-23",17.75,17.95,17.56,17.76,17469500,17.3
"2007-04-24",17.95,17.98,17.44,17.47,17069100,17.02
"2007-04-25",17.59,17.7,17.35,17.61,10921600,17.15
"2007-04-26",17.4,17.93,17.26,17.71,9961800,17.25
"2007-04-27",17.65,17.93,17.6,17.71,12551400,17.25
"2007-04-30",17.75,18,17.58,17.6,11542300,17.14
"2007-05-01",17.61,17.88,17.51,17.83,10791500,17.37
"2007-05-02",17.89,18.33,17.51,18.17,16944400,17.7
"2007-05-03",19.29,19.75,18.97,19.05,40898400,18.56
"2007-05-04",19.1,19.51,19.09,19.4,12667000,18.9
"2007-05-07",19.47,19.72,19.33,19.51,15939200,19
"2007-05-08",19.42,19.78,19.4,19.73,15945600,19.22
"2007-05-09",19.67,19.82,19.62,19.77,13226600,19.26
"2007-05-10",19.65,19.79,19.38,19.48,13344700,18.97
