"","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted"
"2007-01-03",35.67,35.78,34.78,34.95,33694300,23.81
"2007-01-04",34.95,35.24,34.07,34.5,44285400,23.5
"2007-01-05",34.4,34.54,33.95,33.96,36561800,23.13
"2007-01-08",33.4,34.01,33.21,33.81,40237400,23.28
"2007-01-09",33.85,34.41,33.66,33.94,40082600,23.37
"2007-01-10",34.2,35,31.94,34.03,29964300,23.43
"2007-01-11",34.09,34.52,33.6,34.49,24335100,23.74
"2007-01-12",34.6,34.91,34.42,34.73,20216700,23.91
"2007-01-16",34.94,34.95,34.44,34.63,16349700,23.84
"2007-01-17",34.6,34.66,34.31,34.49,17907600,23.74
"2007-01-18",34.65,35.81,34.4,35.02,27959700,24.11
"2007-01-19",35.3,35.35,34.87,35.07,21667700,24.14
"2007-01-22",35.24,35.53,35,35.27,21407700,24.28
"2007-01-23",35.14,35.74,34.99,35.36,17772400,24.34
"2007-01-24",36.06,36.95,35.85,36.63,34047400,25.22
"2007-01-25",37.3,37.7,36.48,36.79,31644000,25.33
"2007-01-26",36.37,36.79,36,36.4,24425400,25.06
"2007-01-29",36.35,36.94,36.29,36.51,19843900,25.13
"2007-01-30",36.62,37.19,36.57,37.09,19797900,25.53
"2007-01-31",37.08,37.88,37.08,37.63,28401000,25.91
"2007-02-01",37.7,37.81,37.47,37.75,19829500,25.99
"2007-02-02",37.75,38.18,37.61,38.12,20842400,26.24
"2007-02-05",37.67,38.1,37.65,37.79,25967600,26.02
"2007-02-06",37.7,37.96,37.44,37.51,22771000,25.82
"2007-02-07",37.44,37.61,36.88,37.16,34762800,25.58
"2007-02-08",37.08,37.5,36.94,37.38,16408500,25.73
"2007-02-09",37.49,37.72,36.83,36.9,20594500,25.4
"2007-02-12",36.75,37.15,36.69,36.96,13338200,25.44
"2007-02-13",36.9,37.37,36.84,37.19,13865300,25.6
"2007-02-14",37.25,37.56,37.08,37.19,21634700,25.6
"2007-02-15",37.31,37.37,37.03,37.23,14170000,25.63
"2007-02-16",37.02,37.49,36.87,37.48,16460800,25.8
"2007-02-20",37.51,37.75,37.35,37.36,17002300,25.72
"2007-02-21",37.5,37.5,37.18,37.21,16159800,25.62
"2007-02-22",37.16,37.4,36.89,37.05,14782000,25.51
"2007-02-23",36.98,37.17,36.8,37,12230000,25.47
"2007-02-26",37,37.57,36.98,37.5,20111100,25.82
"2007-02-27",37.32,37.72,35.19,36.15,33856700,24.89
"2007-02-28",36.7,36.89,36.21,36.8,28719400,25.33
"2007-03-01",36.17,36.98,35.75,36.71,25318800,25.27
"2007-03-02",36.65,36.99,36.36,36.44,20460100,25.09
"2007-03-05",36.04,36.79,35.6,35.72,23101300,24.59
"2007-03-06",36.05,36.18,35.66,36,23282700,24.78
"2007-03-07",35.78,36.03,35.28,35.43,27808600,24.39
"2007-03-08",35.94,36.71,35.8,36.51,20621900,25.13
"2007-03-09",36.89,36.89,36.35,36.55,14731500,25.16
"2007-03-12",36.38,37.44,36.35,37.06,21851700,25.51
"2007-03-13",36.73,37.48,36.65,37.26,28152200,25.65
"2007-03-14",37.26,37.33,36.45,37.21,26124000,25.62
"2007-03-15",37.12,37.2,36.68,36.94,17396200,25.43
"2007-03-16",37.11,37.31,36.75,36.98,28287800,25.46
"2007-03-19",37.17,37.8,37.13,37.58,21328700,25.87
"2007-03-20",37.49,38.04,37.37,37.91,16990000,26.1
"2007-03-21",37.71,39.08,37.1,38.86,32962100,26.75
"2007-03-22",38.57,39.44,38.56,39.11,26769600,26.92
"2007-03-23",39.33,39.33,38.75,38.88,20745900,26.77
"2007-03-26",39,39.35,38.65,39.31,22727000,27.06
"2007-03-27",39.1,39.86,39.09,39.44,28358200,27.15
"2007-03-28",39.51,39.51,38.77,38.95,24869900,26.81
"2007-03-29",39.28,39.32,38.76,39.17,17314300,26.97
"2007-03-30",39.27,39.54,39.11,39.43,22285500,27.14
"2007-04-02",39.72,39.79,39.06,39.46,39047100,27.17
"2007-04-03",39.7,39.9,39.59,39.74,24036400,27.36
"2007-04-04",39.74,39.76,39.22,39.23,20512700,27.01
"2007-04-05",38.9,39.35,38.7,39.27,14726200,27.28
"2007-04-09",39.45,39.66,39.15,39.33,13828200,27.32
"2007-04-10",39.32,39.51,39.01,39.45,13939900,27.41
"2007-04-11",39.44,39.44,38.83,38.94,14870000,27.05
"2007-04-12",38.94,38.94,38.48,38.66,16976700,26.86
"2007-04-13",38.75,39,38.38,38.84,15172900,26.98
"2007-04-16",39.27,39.4,39.05,39.26,13673400,27.27
"2007-04-17",39.15,39.25,38.96,39.19,15665600,27.23
"2007-04-18",39.2,39.21,38.83,38.97,13636800,27.07
"2007-04-19",38.97,39.46,38.92,39.31,16605600,27.31
"2007-04-20",39.44,39.9,39.44,39.87,23587300,27.7
"2007-04-23",39.94,40.14,39.35,39.77,23786300,27.63
"2007-04-24",39.95,39.96,38.92,39.1,23942100,27.16
"2007-04-25",39.37,39.6,38.98,39.14,25321700,27.19
"2007-04-26",39.38,39.46,38.79,38.96,26442300,27.07
"2007-04-27",38.83,39.12,38.52,38.64,21214900,26.84
"2007-04-30",38.84,39.49,38.5,38.72,24832400,26.9
"2007-05-01",38.93,39.17,38.7,38.84,25942700,26.98
"2007-05-02",38.84,39.21,38.61,38.68,24278100,26.87
"2007-05-03",38.89,38.98,38.44,38.9,26183900,27.02
"2007-05-04",39.1,39.65,38.82,39.48,23780900,27.43
"2007-05-07",39.5,39.92,39.45,39.6,15703700,27.51
"2007-05-08",39.31,39.36,39.08,39.27,18632500,27.28
"2007-05-09",39.33,39.75,39.18,39.47,16290500,27.42
"2007-05-10",39.44,39.6,38.9,38.91,16649400,27.03
"2007-05-11",39.06,39.7,39.06,39.59,17101800,27.5
"2007-05-14",39.65,40.11,39.64,40.03,22050600,27.81
"2007-05-15",40.18,40.69,40.1,40.39,20072900,28.06
"2007-05-16",40.41,41.22,40.39,41.14,36275000,28.58
"2007-05-17",41.12,41.49,40.95,41.26,22669500,28.66
"2007-05-18",41.32,41.5,40.88,41.1,26335000,28.55
"2007-05-21",41.1,41.3,40.43,40.55,25807200,28.17
"2007-05-22",40.6,40.71,40.22,40.44,15461000,28.09
"2007-05-23",40.56,40.7,40.28,40.41,14960500,28.07
"2007-05-24",40.4,40.8,40.15,40.42,18927800,28.08
"2007-05-25",40.47,40.97,40.43,40.76,13637100,28.32
"2007-05-29",40.8,40.97,40.43,40.49,14919500,28.13
"2007-05-30",40.25,41,40.23,40.98,20337400,28.47
"2007-05-31",41,41.36,40.96,41.34,19411500,28.72
"2007-06-01",41.4,41.45,40.23,40.53,22890400,28.16
"2007-06-04",40.55,41,40.39,40.9,12936900,28.41
"2007-06-05",40.69,40.86,40.15,40.49,18075800,28.13
"2007-06-06",40.25,40.73,40.2,40.38,16999000,28.05
"2007-06-07",40.2,40.5,39.09,39.52,31399600,27.46
"2007-06-08",39.7,40.29,39.48,40.26,23533300,27.97
"2007-06-11",40.2,40.47,39.88,40.12,18260200,27.87
"2007-06-12",39.93,40.11,39.01,39.08,23233000,27.15
"2007-06-13",39.39,40.01,39.03,39.98,22716700,27.77
"2007-06-14",40.1,40.93,40.1,40.56,25410600,28.18
"2007-06-15",40.92,40.92,40.24,40.28,36397600,27.98
"2007-06-18",40.3,40.58,40,40.01,22332800,27.8
"2007-06-19",40,40.4,39.85,40.24,14886700,27.96
"2007-06-20",40.36,40.59,39.5,39.53,23672400,27.46
"2007-06-21",39.7,39.91,39.31,39.59,18998400,27.5
"2007-06-22",39.6,39.74,38.7,38.85,36963300,26.99
"2007-06-25",39.1,39.87,38.85,39.08,24200500,27.15
"2007-06-26",39.3,39.86,39.1,39.29,23753200,27.3
"2007-06-27",39.19,40.08,39,39.98,22611800,27.77
"2007-06-28",40.18,41.5,40.07,40.74,26984200,28.3
"2007-06-29",40.95,41.54,40.84,41.5,37579100,28.83
"2007-07-02",41.44,41.93,41.07,41.85,35968500,29.07
"2007-07-03",41.8,41.84,41.22,41.5,14675200,28.83
"2007-07-05",41.44,41.45,40.89,40.96,21173200,28.46
"2007-07-06",40.8,40.98,40.34,40.66,19119700,28.49
"2007-07-09",40.9,40.9,40.25,40.49,17170300,28.37
