"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"2007-01-03",77,78.27,75.78,78.02,1982800,32.99
"2007-01-04",78.02,78.03,76.39,76.51,1552400,32.35
"2007-01-05",76.51,76.51,75.37,75.44,1028000,31.9
"2007-01-08",75.3,76.39,75.11,76.17,1150400,32.21
"2007-01-09",76.15,76.2,75.4,75.59,935200,31.96
"2007-01-10",75.7,77.02,75.6,76.73,2099200,32.44
"2007-01-11",76.73,77.24,76.45,76.94,837800,32.53
"2007-01-12",76.48,77.14,76.22,76.86,1170200,32.5
"2007-01-16",77.15,77.38,76.54,76.94,1028600,32.53
"2007-01-17",77.17,78.19,76.68,77.84,1319000,32.91
"2007-01-18",77.84,78.01,77.52,77.81,801400,32.9
"2007-01-19",77.8,78.01,77.5,77.96,1475800,32.96
"2007-01-22",77.96,78.53,77.14,78.1,1596000,33.02
"2007-01-23",78.1,79.56,77.7,78.95,2267000,33.38
"2007-01-24",79.2,80,78.93,79.75,1029600,33.72
"2007-01-25",79.8,80.25,79.75,79.92,2251000,33.79
"2007-01-26",80,80.54,79.87,80.51,1679200,34.04
"2007-01-29",81.01,81.01,80,80.36,1703400,33.98
"2007-01-30",81,81.3,80.29,80.85,1660400,34.19
"2007-01-31",81.1,81.1,80.35,80.8,1370400,34.17
"2007-02-01",80.3,81.43,80.3,81.18,1858800,34.33
"2007-02-02",81,81.19,80.62,80.85,1254400,34.19
"2007-02-05",80.6,81.3,80.52,80.97,1183800,34.24
"2007-02-06",81.09,81.44,80.68,81.36,2758200,34.4
"2007-02-07",81.36,81.36,80.44,80.59,1174000,34.08
"2007-02-08",80.8,81.38,80.61,81.34,930400,34.39
"2007-02-09",81.35,82.3,81.3,81.9,1293600,34.63
"2007-02-12",82,82.3,81.77,81.84,1278800,34.61
"2007-02-13",81.84,82.92,81.84,82.6,725400,34.93
"2007-02-14",82.75,83.6,82.41,82.47,1131000,34.87
"2007-02-15",84.5,88.06,84,87.03,4313000,36.8
"2007-02-16",87.03,87.04,81.25,86.61,6591000,36.62
"2007-02-20",86,86.35,83.8,86.1,3160200,36.41
"2007-02-21",86.06,86.82,85.34,86.57,1335600,36.61
"2007-02-22",85.84,86.45,85.66,85.92,1496000,36.33
"2007-02-23",85.47,86,85.01,85.1,798400,35.98
"2007-02-26",85,86.63,84.9,86.61,1427200,36.76
"2007-02-27",86.21,86.92,85.25,86.02,2439800,36.51
"2007-02-28",86,86.1,84.21,84.44,2360200,35.84
"2007-03-01",83.5,84.25,82.57,83.93,1875000,35.62
"2007-03-02",83.75,84.13,82.82,82.83,966800,35.16
"2007-03-05",83.15,84.44,83.01,83.43,1603600,35.41
"2007-03-06",86.33,86.84,83.32,86.68,3650600,36.79
"2007-03-07",86.5,86.96,85.25,85.35,2374200,36.23
"2007-03-08",83.65,86.18,83.65,85.58,1468800,36.32
"2007-03-09",85.6,86.48,85.51,86.35,1033800,36.65
"2007-03-12",86.29,87.05,85.92,86.73,1312800,36.81
"2007-03-13",86.57,86.57,85.47,85.93,1495400,36.47
"2007-03-14",85.89,87.88,85.72,87.7,2484600,37.22
"2007-03-15",86.84,88.02,86.84,87.85,1210000,37.29
"2007-03-16",89,89.67,88.5,88.83,2767800,37.7
"2007-03-19",89.74,90.08,88.82,90.03,1251000,38.21
"2007-03-20",90.07,90.92,89.75,90.83,1121400,38.55
"2007-03-21",91,91,89.78,90.75,1924800,38.52
"2007-03-22",90.8,91.15,90.56,91.03,1911400,38.64
"2007-03-23",91,92.96,90.97,92.88,1911200,39.42
"2007-03-26",92.88,93.37,92.26,93.26,990600,39.58
"2007-03-27",93.01,93.9,92.37,93.52,2036600,39.69
"2007-03-28",93.53,94.6,93.26,94,2263000,39.9
"2007-03-29",94.4,95,93.43,93.98,1452400,39.89
"2007-03-30",94.11,95.12,93.39,94.62,1333400,40.16
