"","TEG.Open","TEG.High","TEG.Low","TEG.Close","TEG.Volume","TEG.Adjusted"
"2007-01-03",53.18,55.47,53.18,54.74,431700,36.52
"2007-01-04",54.74,54.98,54.47,54.97,272900,36.67
"2007-01-05",54.42,55.22,53.83,54.05,235900,36.06
"2007-01-08",54.09,54.34,53.76,54.22,390000,36.17
"2007-01-09",54.23,54.51,54.02,54.41,214200,36.3
"2007-01-10",54.35,54.42,54.25,54.37,269800,36.27
"2007-01-11",54.52,54.82,54.19,54.5,233700,36.36
"2007-01-12",54.45,54.65,54,54.11,248000,36.1
"2007-01-16",54.18,54.53,53.74,53.83,230000,35.91
"2007-01-17",53.83,53.88,53.47,53.64,254000,35.78
"2007-01-18",53.67,53.7,53.12,53.15,161600,35.46
"2007-01-19",53.07,53.56,52.81,53.5,177500,35.69
"2007-01-22",53.5,53.55,53.12,53.24,2e+05,35.52
"2007-01-23",53.27,53.79,53.16,53.48,162700,35.68
"2007-01-24",53.43,53.98,53.43,53.71,160900,35.83
"2007-01-25",53.7,54.94,53.01,53.16,253900,35.46
"2007-01-26",54.02,54.02,52.72,53.07,327500,35.4
"2007-01-29",53.07,53.3,52.73,53.15,403000,35.46
"2007-01-30",53.23,53.52,53.07,53.31,237300,35.56
"2007-01-31",53.25,53.44,52.94,53.05,320800,35.39
"2007-02-01",53.1,53.98,53.05,53.57,399200,35.74
"2007-02-02",53.6,53.83,53.27,53.5,460400,35.69
"2007-02-05",53.5,54.08,53.4,53.96,379500,36
"2007-02-06",54.09,54.31,53.88,54.15,370700,36.12
"2007-02-07",54.4,54.87,54.2,54.68,884400,36.48
"2007-02-08",54.75,56.19,54.75,55.98,714000,37.35
"2007-02-09",55.98,55.99,55.57,55.97,576000,37.34
"2007-02-12",56.05,56.31,55.99,56.29,266500,37.55
"2007-02-13",56.31,56.55,56.09,56.55,255900,37.73
"2007-02-14",56.56,57.09,56.56,56.77,297400,37.87
"2007-02-15",56.82,56.84,56.51,56.68,246500,37.81
"2007-02-16",56.69,56.95,56.25,56.92,306800,37.97
"2007-02-20",56.82,57.57,56.68,57.53,445300,38.38
"2007-02-21",57.6,58.04,57.2,57.26,5810300,38.2
"2007-02-22",56.8,57.3,56.25,56.91,560900,38.32
"2007-02-23",56.91,57.39,56.59,57.25,824100,38.55
"2007-02-26",57.2,58.02,56.91,57.59,794300,38.81
"2007-02-27",57.6,57.6,55.68,55.7,628900,37.54
"2007-02-28",55.55,56.3,54.44,55.74,706800,37.57
"2007-03-01",55.6,55.88,55.12,55.49,594000,37.4
"2007-03-02",55.3,55.43,54.64,54.71,512800,36.87
"2007-03-05",54.2,54.3,53.42,53.42,514600,36
"2007-03-06",53.58,53.77,53.4,53.45,613500,36.02
"2007-03-07",53.1,53.51,52.94,53.13,525300,35.81
"2007-03-08",53.33,53.57,53.2,53.36,356800,35.96
"2007-03-09",53.45,53.45,53.13,53.22,312500,35.87
"2007-03-12",53.17,53.81,53.06,53.78,232800,36.25
"2007-03-13",53.7,54.09,53.3,53.3,501900,35.92
"2007-03-14",53.3,54.05,52.96,53.65,399200,36.16
"2007-03-15",53.65,54.26,53.57,54.08,334400,36.45
"2007-03-16",54.18,54.23,53.18,53.54,453500,36.08
"2007-03-19",53.6,54.18,53.6,54.09,305000,36.46
"2007-03-20",54.15,54.61,54.01,54.54,242700,36.76
"2007-03-21",54.55,55.37,54.17,55.22,329400,37.22
"2007-03-22",55,55.35,54.79,55.23,444900,37.22
"2007-03-23",55.4,55.71,55.19,55.7,265900,37.54
"2007-03-26",55.45,55.77,55.31,55.77,319500,37.59
"2007-03-27",55.75,55.82,55.33,55.53,236500,37.43
"2007-03-28",55.47,55.75,55.37,55.55,268000,37.44
"2007-03-29",55.73,55.9,55.4,55.85,229700,37.64
"2007-03-30",55.9,56,54.91,55.51,338100,37.41
"2007-04-02",55.31,55.82,55.31,55.75,390300,37.57
"2007-04-03",55.65,55.72,55.43,55.48,418500,37.39
"2007-04-04",55.6,55.64,55.14,55.38,319900,37.33
"2007-04-05",54.4,55.36,54.39,55.27,253300,37.25
"2007-04-09",55.42,55.58,55.35,55.45,267200,37.37
"2007-04-10",55.55,55.78,55.41,55.65,329600,37.51
"2007-04-11",55.65,55.92,55.41,55.6,318200,37.47
"2007-04-12",55.7,56.16,54.97,55.77,473400,37.59
"2007-04-13",55.82,55.88,55.56,55.82,218900,37.62
"2007-04-16",55.95,55.98,55.7,55.83,154100,37.63
"2007-04-17",55.83,56.01,55.71,55.98,291600,37.73
"2007-04-18",55.85,56.18,55.52,56.03,461700,37.76
"2007-04-19",57.25,57.25,55.49,55.65,265300,37.51
"2007-04-20",56.1,56.34,55.61,56,417500,37.74
"2007-04-23",55.85,56.33,55.5,56.23,329100,37.9
"2007-04-24",56.4,56.92,56.04,56.89,497400,38.34
"2007-04-25",56.99,57.31,56.79,56.89,556300,38.34
"2007-04-26",56.89,57.16,56.79,56.85,318700,38.32
"2007-04-27",56.82,56.82,56.3,56.44,249700,38.04
"2007-04-30",56.5,56.87,56.05,56.1,507900,37.81
"2007-05-01",56.25,57.29,56.14,57.15,393900,38.52
"2007-05-02",57.16,58.15,57,57.85,451700,38.99
"2007-05-03",57.88,58.01,57.45,58.01,361000,39.1
"2007-05-04",58.1,58.12,57.77,58.01,347200,39.1
"2007-05-07",59.95,60,59.25,59.45,589100,40.07
"2007-05-08",59.35,59.72,59.06,59.46,517600,40.07
"2007-05-09",59.47,60.63,59.2,60.21,878700,40.58
"2007-05-10",59.5,60.14,59.32,59.35,612200,40
"2007-05-11",59.35,59.66,59.13,59.35,440400,40
"2007-05-14",59.36,59.36,59.06,59.29,374900,39.96
"2007-05-15",59.33,59.84,58.72,58.95,301200,39.73
"2007-05-16",58.95,59.25,58.71,59.07,390200,39.81
"2007-05-17",59.07,59.2,58.57,58.65,280200,39.53
"2007-05-18",58.7,58.97,58.48,58.6,394400,39.5
"2007-05-21",58.59,58.59,58.03,58.28,453300,39.28
"2007-05-22",57.95,58.35,57.94,57.97,441500,39.07
"2007-05-23",57.98,58.2,57.08,57.16,484800,38.52
"2007-05-24",57.2,57.24,56.1,56.3,700400,37.95
"2007-05-25",56.35,56.85,55.73,56.23,564700,37.9
"2007-05-29",55.7,56.07,55.4,55.64,540300,37.95
"2007-05-30",55.5,56.13,54.48,56.05,668200,38.23
"2007-05-31",56.05,56.54,55.58,55.9,339500,38.12
"2007-06-01",55.9,56.26,55.48,55.84,338200,38.08
"2007-06-04",55.84,55.84,55.27,55.49,464100,37.84
"2007-06-05",55.49,55.49,54.24,54.41,536600,37.11
