"","TJX.Open","TJX.High","TJX.Low","TJX.Close","TJX.Volume","TJX.Adjusted"
"2007-01-03",28.9,29.48,28.43,28.67,9954600,13.07
"2007-01-04",28.7,29.81,27.81,29.72,9461600,13.55
"2007-01-05",29.55,29.75,28.89,29.08,6605400,13.26
"2007-01-08",29.03,29.25,28.77,28.89,5951800,13.17
"2007-01-09",28.92,29.5,28.91,29.27,4249800,13.34
"2007-01-10",29.17,29.61,28.97,29.49,3465400,13.45
"2007-01-11",29.5,29.98,29.5,29.94,5144400,13.65
"2007-01-12",29.69,30.16,29.6,29.94,8114600,13.65
"2007-01-16",29.94,30,29.31,29.85,5419200,13.61
"2007-01-17",29.73,30.1,28.85,29.63,10623600,13.51
"2007-01-18",29.55,29.59,29,29.5,10393600,13.45
"2007-01-19",29.83,30.07,29.19,30.03,8911200,13.69
"2007-01-22",29.97,30.04,29.52,29.95,9647400,13.65
"2007-01-23",29.95,30.08,29.63,29.84,5872400,13.6
"2007-01-24",29.87,30.24,29.82,30.04,4592800,13.7
"2007-01-25",30.01,30.04,29.71,29.79,6459800,13.58
"2007-01-26",29.81,29.88,29.31,29.5,6914200,13.45
"2007-01-29",29.5,29.64,29.35,29.39,6435400,13.4
"2007-01-30",29.47,29.74,29.28,29.47,5697800,13.44
"2007-01-31",29.47,29.7,29.23,29.57,5529600,13.48
"2007-02-01",29,29.43,28.37,28.49,21291400,12.99
"2007-02-02",28.49,28.77,28.34,28.69,11785800,13.08
"2007-02-05",28.77,28.77,27.8,28.11,9023400,12.82
"2007-02-06",28.08,28.37,27.99,28.35,4100800,12.96
"2007-02-07",28.37,28.4,27.93,28.18,3895400,12.88
"2007-02-08",28.13,28.63,28.1,28.6,5110200,13.07
"2007-02-09",28.53,28.71,27.99,28.09,7089800,12.84
"2007-02-12",28.06,28.17,27.93,28.05,4160200,12.82
"2007-02-13",28.1,28.25,27.93,28.1,5459800,12.84
"2007-02-14",28.26,28.71,28.11,28.62,7722600,13.08
"2007-02-15",28.57,28.79,28.36,28.72,3900000,13.13
"2007-02-16",28.65,28.72,28.36,28.47,4166200,13.01
"2007-02-20",28.5,28.77,28.15,28.62,5561600,13.08
"2007-02-21",28.37,28.5,27.83,28.18,12314400,12.88
"2007-02-22",28.24,28.81,28.24,28.64,10794600,13.09
"2007-02-23",28.65,28.76,28.24,28.47,5563000,13.01
"2007-02-26",28.52,28.65,28,28.25,6469800,12.91
"2007-02-27",28.18,28.26,27.23,27.54,11748200,12.59
"2007-02-28",27.55,27.84,27.22,27.5,9235000,12.57
