"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"2007-01-03",45.15,45.86,44.97,45.17,3780000,44.39
"2007-01-04",45.16,45.72,45.06,45.64,3602100,44.85
"2007-01-05",45.5,45.6,44.82,45.01,1955700,44.23
"2007-01-08",44.97,45.24,44.54,44.93,2385800,44.15
"2007-01-09",45.9,46.58,45.61,46.2,5614000,45.4
"2007-01-10",46.2,47.34,45.8,47.19,4502800,46.37
"2007-01-11",47.4,48.75,46.97,48.71,5475200,47.87
"2007-01-12",48.61,49.04,48.05,48.38,3154000,47.54
"2007-01-16",48.5,48.67,47.88,48.04,1769200,47.21
"2007-01-17",48.25,49.43,48,48.82,6154600,47.97
"2007-01-18",48.88,49.06,48.61,48.69,5549100,47.85
"2007-01-19",48.8,49.08,48.33,49.05,3038500,48.2
"2007-01-22",49.12,49.3,47.9,48.09,2915200,47.26
"2007-01-23",48.09,48.53,47.86,48.02,2616900,47.19
"2007-01-24",48.17,48.54,48,48.42,3859500,47.58
"2007-01-25",48.48,48.56,47.62,47.69,2740100,46.86
"2007-01-26",47.69,48,47.61,47.82,2769500,46.99
"2007-01-29",47.83,47.95,47.2,47.33,3806100,46.51
"2007-01-30",47.65,47.8,47.17,47.39,3198200,46.57
"2007-01-31",47.43,47.98,47.2,47.85,2618200,47.02
"2007-02-01",48.2,49.04,48.06,48.88,3766100,48.03
"2007-02-02",48.72,49.53,48.72,49.39,3609500,48.53
"2007-02-05",49.3,49.5,48.72,49.05,1961200,48.2
"2007-02-06",49.4,49.7,49.13,49.3,2074400,48.45
"2007-02-07",49.05,49.78,49.05,49.71,2866900,48.85
"2007-02-08",49.65,49.9,48.5,48.93,5046400,48.08
"2007-02-09",49.27,49.48,48.42,48.69,2471000,47.85
"2007-02-12",48.55,48.85,47.33,47.5,3650300,46.68
"2007-02-13",47.75,47.94,46.55,46.92,4618400,46.11
"2007-02-14",47,47.73,47,47.6,3081400,46.78
"2007-02-15",47.68,48.22,47.68,48.02,2218700,47.19
"2007-02-16",47.75,47.76,47.25,47.63,2172400,46.81
"2007-02-20",47.53,48.02,47.24,47.95,2098900,47.12
"2007-02-21",47.95,48.08,47.66,47.7,1914200,46.87
"2007-02-22",47.85,48.04,47.16,47.24,1911700,46.42
"2007-02-23",47.24,47.52,46.78,47.44,1867900,46.62
"2007-02-26",48,48,46.66,46.84,1793600,46.03
"2007-02-27",46.26,46.46,44.56,45.5,4384800,44.71
"2007-02-28",45.5,45.96,45,45.26,4782100,44.48
"2007-03-01",45,45.75,43.74,45.56,6815700,44.77
"2007-03-02",45.5,45.56,44.24,44.27,4365500,43.5
"2007-03-05",43.8,44.61,43.6,44.16,4231700,43.4
"2007-03-06",45,45.27,44.5,44.83,3565400,44.05
"2007-03-07",44.83,45.5,44.71,45.33,4397600,44.54
"2007-03-08",45.55,46.38,45.39,45.89,3045200,45.1
