"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume","TSN.Adjusted"
"2007-01-03",16.46,16.62,16.34,16.35,2580000,15.09
"2007-01-04",16.35,16.37,16.23,16.28,2723800,15.02
"2007-01-05",16.2,16.55,16.13,16.5,1644100,15.23
"2007-01-08",16.45,16.45,16.21,16.28,2098000,15.02
"2007-01-09",16.57,16.57,15.81,16.32,1455400,15.06
"2007-01-10",16.23,16.64,16.22,16.6,1670500,15.32
"2007-01-11",16.61,16.91,16.58,16.75,2004600,15.46
"2007-01-12",16.63,16.84,16.51,16.73,1857700,15.44
"2007-01-16",16.52,16.67,16.29,16.3,1645200,15.04
"2007-01-17",16.23,16.23,15.87,15.91,4471400,14.68
"2007-01-18",15.91,15.95,15.67,15.73,2481500,14.52
"2007-01-19",15.75,15.95,15.73,15.83,2297400,14.61
"2007-01-22",15.9,16.08,15.72,15.91,1232500,14.68
"2007-01-23",15.85,16.04,15.79,15.95,1030500,14.72
"2007-01-24",15.96,16.41,15.92,16.36,2102100,15.1
"2007-01-25",16.32,16.63,16.2,16.4,1694900,15.13
"2007-01-26",16.4,16.83,16.28,16.69,3155500,15.4
"2007-01-29",17.42,17.94,17.09,17.28,6685800,15.95
"2007-01-30",17.2,17.4,16.91,17.36,2954700,16.02
"2007-01-31",17.43,17.9,17.34,17.75,8474500,16.38
"2007-02-01",17.62,17.98,17.55,17.88,2624000,16.5
"2007-02-02",17.84,18.15,17.76,18.12,2923700,16.72
"2007-02-05",18.05,18.23,17.81,18.16,3685800,16.76
"2007-02-06",18.12,18.38,18.05,18.27,3238900,16.86
"2007-02-07",18.23,18.4,18.11,18.15,2647200,16.75
"2007-02-08",18.12,18.3,18,18.25,2905700,16.84
"2007-02-09",18.25,18.49,18.12,18.12,2111000,16.72
"2007-02-12",18.21,18.47,18.09,18.35,3178100,16.93
"2007-02-13",18.34,18.83,18.13,18.76,4286500,17.31
"2007-02-14",18.75,18.8,18.47,18.62,3819100,17.18
"2007-02-15",18.61,18.99,18.61,18.9,2621700,17.44
"2007-02-16",18.9,19,18.79,18.94,2431100,17.48
"2007-02-20",18.75,19.16,18.75,19.13,1729600,17.65
"2007-02-21",19.06,19.2,18.91,18.94,1501900,17.48
"2007-02-22",18.99,19.05,18.59,18.65,2030000,17.21
"2007-02-23",18.88,18.88,18.31,18.55,1682900,17.12
"2007-02-26",18.52,18.62,18.48,18.55,1898900,17.12
"2007-02-27",18.5,18.51,18.02,18.02,1557100,16.66
"2007-02-28",18.02,18.45,17.9,18.25,2548000,16.88
"2007-03-01",17.93,18.23,17.81,18.05,2403400,16.69
"2007-03-02",18.06,18.18,17.79,17.79,1670500,16.45
"2007-03-05",17.64,18.02,17.64,17.75,2077300,16.42
"2007-03-06",17.92,17.98,17.73,17.9,2720200,16.55
"2007-03-07",17.93,18.14,17.89,17.98,2670300,16.63
"2007-03-08",18.05,18.14,18.01,18.05,1737300,16.69
"2007-03-09",18.13,18.16,17.92,17.99,2141400,16.64
"2007-03-12",17.99,18.35,17.99,18.34,2516000,16.96
"2007-03-13",18.23,18.25,17.85,17.85,1744200,16.51
"2007-03-14",17.9,18.05,17.73,18,3228400,16.65
"2007-03-15",18.01,18.3,17.97,18.28,1738800,16.91
"2007-03-16",18.23,18.35,18.12,18.23,2499000,16.86
"2007-03-19",18.3,18.39,18,18.1,3380200,16.74
"2007-03-20",18.17,18.33,18.04,18.32,1559800,16.94
"2007-03-21",18.25,18.44,18.13,18.42,2718300,17.03
"2007-03-22",18.48,19,18.44,18.96,2897700,17.53
"2007-03-23",19,19.19,18.92,19.03,1920900,17.6
"2007-03-26",19,19.12,18.86,19.09,1445600,17.65
"2007-03-27",18.52,19.12,18.52,19,1296000,17.57
"2007-03-28",18.88,19.23,18.83,19.19,2074000,17.75
"2007-03-29",18.71,19.27,18.69,18.96,3361600,17.53
"2007-03-30",19.22,19.56,19.2,19.41,3296900,17.95
"2007-04-02",19.51,19.83,19.32,19.69,8249900,18.21
"2007-04-03",19.71,20,19.6,19.85,4342900,18.36
"2007-04-04",19.87,19.94,19.75,19.87,2645400,18.38
"2007-04-05",19.87,19.95,19.6,19.68,2063800,18.2
"2007-04-09",19.68,19.72,19.49,19.63,2684500,18.15
"2007-04-10",19.58,19.69,19.49,19.62,2141300,18.14
"2007-04-11",20.45,20.45,19.48,19.93,5518200,18.43
"2007-04-12",19.88,20.24,19.84,20.18,1770100,18.66
"2007-04-13",20.28,20.71,20.21,20.45,4427900,18.91
"2007-04-16",20.76,20.92,20.4,20.9,3683900,19.33
"2007-04-17",20.87,21.13,20.4,20.44,5603100,18.9
"2007-04-18",21,21,20.43,20.48,2209000,18.94
"2007-04-19",20.75,20.8,20.35,20.78,2162900,19.22
"2007-04-20",21.61,21.61,20.75,20.81,3745100,19.24
"2007-04-23",20.73,21.21,20.73,21.2,3407300,19.61
"2007-04-24",20.36,21.22,20.36,21.07,2096100,19.49
"2007-04-25",21.14,21.43,21.02,21.4,3309800,19.79
"2007-04-26",21.4,21.49,21.14,21.2,2647100,19.61
"2007-04-27",21.1,21.25,20.95,21.2,2312800,19.61
"2007-04-30",21.49,22.46,20.93,20.96,5603500,19.38
"2007-05-01",20.63,21.24,20.63,21.15,4775100,19.56
"2007-05-02",21.25,21.35,21.16,21.19,2523100,19.6
