"","TSS.Open","TSS.High","TSS.Low","TSS.Close","TSS.Volume","TSS.Adjusted"
"2007-01-03",26.04,26.33,25.68,25.99,216900,20.87
"2007-01-04",25.88,26.43,25.67,26.39,191200,21.19
"2007-01-05",26.25,26.28,25.7,25.96,167800,20.85
"2007-01-08",25.89,26.2,25.48,26.2,221800,21.04
"2007-01-09",26.08,26.39,26.05,26.17,233100,21.02
"2007-01-10",26.05,26.55,25.96,26.45,221400,21.24
"2007-01-11",26.32,26.59,26.18,26.55,163400,21.32
"2007-01-12",26.45,27.1,26.45,27.1,298600,21.76
"2007-01-16",27.1,27.14,26.81,27.11,430200,21.77
"2007-01-17",30,30.75,28.85,29.89,1643900,24
"2007-01-18",29.88,29.92,28.91,29.6,600800,23.77
"2007-01-19",29.5,29.5,28.75,29.27,601200,23.51
"2007-01-22",29.3,29.77,29.21,29.49,587100,23.68
"2007-01-23",29.67,29.85,29.46,29.83,287500,23.96
"2007-01-24",29.72,30.19,29.63,30.15,238000,24.21
"2007-01-25",30.19,30.19,29.85,29.92,568200,24.03
"2007-01-26",29.79,29.9,29.44,29.81,373600,23.94
"2007-01-29",29.94,30.16,29.68,30.06,348500,24.14
"2007-01-30",30.24,30.68,30.06,30.68,477300,24.64
"2007-01-31",30.7,30.97,30.35,30.9,843800,24.81
"2007-02-01",30.95,31.45,30.91,31.27,712300,25.11
"2007-02-02",31.21,31.62,31.21,31.49,483200,25.29
"2007-02-05",31.61,31.63,31.25,31.46,404400,25.26
"2007-02-06",31.6,31.75,31.31,31.55,250300,25.34
"2007-02-07",31.59,31.89,31.55,31.77,291800,25.51
"2007-02-08",31.81,32,31.34,31.48,346100,25.28
"2007-02-09",31.38,31.68,31.14,31.32,178300,25.15
"2007-02-12",31.14,31.8,31.13,31.49,274900,25.29
"2007-02-13",31.39,31.49,30.91,31.12,275300,24.99
"2007-02-14",30.99,31.61,30.99,31.46,304800,25.26
"2007-02-15",31.45,31.94,31.43,31.83,309000,25.56
"2007-02-16",31.77,32.06,31.76,32,292400,25.7
"2007-02-20",31.94,32.45,31.86,32.42,394400,26.04
"2007-02-21",32.48,32.51,31.86,32.51,489900,26.11
"2007-02-22",32.61,33.09,32.32,32.45,328600,26.06
"2007-02-23",32.39,32.4,31.83,32.07,198600,25.75
"2007-02-26",32.12,32.68,32.12,32.65,696700,26.22
"2007-02-27",32.65,32.65,30.9,31.68,854300,25.44
"2007-02-28",31.68,31.68,30,31.18,580500,25.04
"2007-03-01",31.22,31.53,30.26,31.38,574800,25.2
"2007-03-02",31.38,31.52,30.72,30.81,349700,24.74
"2007-03-05",30.58,30.61,29,30.12,666800,24.19
"2007-03-06",29.22,30.64,29.22,30.5,369800,24.49
"2007-03-07",30.5,30.65,30.19,30.47,507300,24.47
"2007-03-08",30.62,31.12,30.51,30.91,343200,24.82
"2007-03-09",30.95,31.17,30.82,30.97,202700,24.87
"2007-03-12",30.88,31.44,30.86,31.29,288200,25.13
"2007-03-13",31.29,31.29,30.57,30.57,491200,24.55
"2007-03-14",30.42,30.71,30.13,30.59,572900,24.57
"2007-03-15",30.6,31.15,30.5,31.03,212400,24.92
"2007-03-16",31.01,31.29,30.73,30.73,304200,24.68
"2007-03-19",30.98,31.46,30.98,31.39,264300,25.21
"2007-03-20",31.42,31.49,31.16,31.44,168400,25.3
"2007-03-21",31.39,32.28,31.39,32.27,188000,25.97
"2007-03-22",32.39,32.42,32.1,32.39,281100,26.07
"2007-03-23",32.39,32.62,32.22,32.32,82200,26.01
"2007-03-26",32.5,32.5,31.87,32.33,140100,26.02
