"","TWC.Open","TWC.High","TWC.Low","TWC.Close","TWC.Volume","TWC.Adjusted"
"2007-01-10",41,41,40,40.75,164700,88.63
"2007-01-11",40.75,41.25,40.75,41,183300,89.18
"2007-01-12",41.5,42.5,41.48,42.5,610300,92.44
"2007-01-16",44,44,42.45,42.9,259700,93.31
"2007-01-17",43.5,43.75,42.75,42.75,364000,92.98
"2007-01-18",43.25,43.25,42.7,42.8,138500,93.09
"2007-01-19",43.03,43.05,42.9,42.9,108700,93.31
"2007-01-22",43,43,42.75,42.75,31400,92.98
"2007-01-23",42.75,42.75,42.5,42.75,62500,92.98
"2007-01-24",42.75,42.85,42.75,42.85,2900,93.2
"2007-01-25",43,43,42.25,42.52,115000,92.48
"2007-01-26",42.5,42.5,42,42,77200,91.35
"2007-01-29",42.05,42.05,41.4,42.03,124600,91.42
"2007-01-30",42,42,41.5,41.5,50900,90.26
"2007-01-31",41.75,42.25,41.5,42.25,77600,91.89
"2007-02-01",42.95,43.25,42.25,42.55,109000,92.55
"2007-02-02",42.75,42.75,42,42.25,545000,91.89
"2007-02-05",42.25,43.35,42.25,42.5,50800,92.44
"2007-02-06",42.38,42.38,41.95,42.1,148300,91.57
"2007-02-07",42.4,42.4,42,42.25,40900,91.89
"2007-02-08",42.25,42.25,41.2,41.75,56500,90.81
"2007-02-09",41.25,41.75,41,41.25,98900,89.72
"2007-02-12",41.53,41.53,40.75,41,128100,89.18
"2007-02-13",41,41,40.6,40.65,79300,88.41
"2007-02-14",41,41.75,40.97,41.6,510400,90.48
"2007-02-15",41.6,41.7,41.45,41.5,173000,90.26
"2007-02-16",41.55,41.65,41.45,41.65,453500,90.59
"2007-02-20",41.65,41.67,41.46,41.49,556000,90.24
"2007-02-21",41.48,41.48,40.55,41,157500,89.18
"2007-02-22",41,41.04,40.5,40.5,237600,88.09
"2007-02-23",40.52,41.05,40.45,41,408100,89.18
"2007-02-26",41,41,39.85,39.85,440600,86.67
"2007-02-27",39.75,39.75,37.8,37.8,325800,82.22
"2007-02-28",38.5,39.6,36.75,38.75,886600,84.28
"2007-03-01",38.4,38.96,38,38.93,653300,84.67
"2007-03-02",38.9,39.01,37.6,37.6,457600,81.78
"2007-03-05",37.67,37.67,35.93,36,339300,78.3
"2007-03-06",36.85,37.18,36.26,36.39,748400,79.15
"2007-03-07",36.5,37.3,36.45,36.9,797700,80.26
"2007-03-08",37.35,37.45,36.62,36.74,905200,79.91
"2007-03-09",36.95,37.1,36.69,36.8,580900,80.04
"2007-03-12",36.7,37.01,36.45,36.48,599400,79.34
"2007-03-13",36.55,36.85,36.2,36.46,805500,79.3
"2007-03-14",36.55,36.8,36.03,36.5,710400,79.39
"2007-03-15",36.44,36.9,36.4,36.78,1163000,80
"2007-03-16",36.86,37.91,36.81,37.65,1220000,81.89
"2007-03-19",38.45,38.45,37.71,38,416300,82.65
"2007-03-20",38.25,38.56,37.85,38.3,379200,83.3
"2007-03-21",38.34,38.54,38.14,38.26,307900,83.22
"2007-03-22",38.3,38.35,37.78,38.15,179900,82.98
"2007-03-23",38.05,38.88,38.01,38.2,170000,83.09
"2007-03-26",38.15,38.15,37.45,37.8,263800,82.22
"2007-03-27",37.7,37.74,37.16,37.44,171400,81.43
"2007-03-28",37.42,37.46,36.55,37.35,204700,81.24
"2007-03-29",37.5,37.57,36.79,37.05,252200,80.58
"2007-03-30",37,37.84,37,37.47,245400,81.5
"2007-04-02",37.4,37.47,36.9,37.05,231900,80.58
"2007-04-03",37.1,37.32,37.07,37.22,229800,80.95
"2007-04-04",37.22,37.23,36.7,37.1,220600,80.69
"2007-04-05",36.95,37.35,36.9,37,188500,80.48
"2007-04-09",37.14,37.22,36.65,36.95,97200,80.37
"2007-04-10",37,37.5,36.72,37.35,142800,81.24
"2007-04-11",37.48,38.34,37.48,38.04,374000,82.74
"2007-04-12",38.2,38.71,38,38.65,246500,84.06
"2007-04-13",38.75,40,38.3,39.32,270200,85.52
"2007-04-16",39.3,39.5,39.18,39.45,256400,85.8
"2007-04-17",39.35,39.53,38.62,38.69,177600,84.15
"2007-04-18",38.5,39.08,38.4,38.76,184000,84.3
"2007-04-19",38.8,38.8,38.51,38.53,252600,83.8
"2007-04-20",38.65,38.72,38.45,38.55,260800,83.85
"2007-04-23",38.4,38.4,37.7,37.87,159000,82.37
"2007-04-24",37.87,37.9,37.23,37.3,337800,81.13
"2007-04-25",37.45,37.53,37.04,37.19,385000,80.89
"2007-04-26",37.1,37.13,36.39,36.77,608800,79.98
"2007-04-27",36.64,36.95,36.4,36.52,192400,79.43
"2007-04-30",36.5,36.98,36.11,36.82,269200,80.08
"2007-05-01",36.82,36.83,36.1,36.22,383000,78.78
"2007-05-02",37.05,37.6,36.65,36.95,1175600,80.37
"2007-05-03",37,38.47,37,37.86,828400,82.35
"2007-05-04",38,38.28,37.7,37.78,283300,82.17
"2007-05-07",37.8,38.28,37.52,38,175900,82.65
"2007-05-08",37.9,37.92,37.26,37.35,254800,81.24
"2007-05-09",37.45,37.5,36.77,36.98,159000,80.43
"2007-05-10",36.97,37.29,36.68,36.85,349100,80.15
"2007-05-11",36.95,37.55,36.67,37.07,276300,80.63
"2007-05-14",37.11,37.28,36.57,36.68,240600,79.78
"2007-05-15",36.8,37.16,36.59,36.92,307300,80.3
"2007-05-16",37.31,37.95,37.3,37.59,342700,81.76
"2007-05-17",37.65,37.74,37.42,37.66,168200,81.91
"2007-05-18",37.75,38,37.48,37.9,250600,82.43
"2007-05-21",38.85,38.85,38.1,38.31,449400,83.33
"2007-05-22",38.5,38.65,38.29,38.52,251100,83.78
"2007-05-23",38.62,38.62,38.15,38.41,499800,83.54
"2007-05-24",38.41,38.6,38.15,38.24,545000,83.17
"2007-05-25",38.36,38.7,38.23,38.55,277900,83.85
"2007-05-29",38.49,39.63,38.49,38.78,763200,84.35
"2007-05-30",38.7,39.05,38.27,38.85,258200,84.5
"2007-05-31",39,39.12,38.28,38.41,167900,83.54
"2007-06-01",38.2,38.98,38.16,38.68,147600,84.13
"2007-06-04",38.69,38.69,38.18,38.45,154300,83.63
"2007-06-05",38.4,38.42,37.85,38.25,298800,83.19
"2007-06-06",37.9,38.22,37.87,38.14,248200,82.96
"2007-06-07",38,38.04,37.55,37.68,206700,81.95
"2007-06-08",37.68,38.21,37.55,38.13,314400,82.93
"2007-06-11",38,38.31,38,38.25,148600,83.19
"2007-06-12",38.17,38.22,37.39,37.62,530800,81.82
"2007-06-13",37.74,38.08,37.65,38.07,613700,82.8
"2007-06-14",38.01,38.3,37.71,38.19,601700,83.06
"2007-06-15",38.28,38.68,38.28,38.61,507100,83.98
"2007-06-18",38.85,39.22,38.61,39.1,419900,85.04
"2007-06-19",38.8,39.51,38.75,39.12,272900,85.09
"2007-06-20",39.95,40.03,39.24,39.3,889800,85.48
"2007-06-21",39.3,39.69,38.09,39.62,511400,86.17
"2007-06-22",39.7,39.7,39.06,39.5,1998400,85.91
"2007-06-25",39.2,39.54,39.04,39.4,566600,85.7
"2007-06-26",39.5,39.5,39.27,39.43,2012300,85.76
"2007-06-27",39.46,39.7,39.32,39.7,388100,86.35
"2007-06-28",39.61,39.65,39.39,39.57,460300,86.07
"2007-06-29",39.55,39.68,39.02,39.17,380400,85.2
"2007-07-02",39.18,40.12,39.07,39.75,294100,86.46
"2007-07-03",40,40.07,39.82,40.07,300800,87.15
"2007-07-05",40.27,40.45,39.9,40.11,316700,87.24
"2007-07-06",40.1,40.37,39.83,40.27,149800,87.59
"2007-07-09",40.36,40.38,39.93,40,133600,87
"2007-07-10",40,40.1,39.64,39.89,333600,86.76
"2007-07-11",39.72,39.98,39.61,39.8,256700,86.57
"2007-07-12",39.9,40.11,39.72,39.94,649300,86.87
"2007-07-13",40,40.15,39.82,40.13,288000,87.28
"2007-07-16",40.32,40.34,39.86,40.02,240200,87.04
"2007-07-17",39.99,40.58,39.94,40.45,437000,87.98
"2007-07-18",40.4,41.16,40.31,41.07,492600,89.33
"2007-07-19",41.25,42.01,41.1,41.65,485200,90.59
"2007-07-20",41.67,41.74,41.12,41.55,679300,90.37
"2007-07-23",41.65,42.11,41.37,41.85,425500,91.02
"2007-07-24",41.7,41.87,41.3,41.55,1218100,90.37
