"","TXN.Open","TXN.High","TXN.Low","TXN.Close","TXN.Volume","TXN.Adjusted"
"2007-01-03",29.12,29.22,28.35,28.56,20786800,24.72
"2007-01-04",28.5,29.11,28.41,29.1,20417600,25.18
"2007-01-05",28.58,28.94,28.58,28.76,21465900,24.89
"2007-01-08",28.71,29.1,28.54,28.9,17777900,25.01
"2007-01-09",28.9,29,28.42,28.84,17943500,24.96
"2007-01-10",28.82,29.48,28.73,29.33,15761300,25.38
"2007-01-11",29.02,29.78,28.95,29.03,19199700,25.12
"2007-01-12",28.93,29.21,28.82,29.06,11719300,25.15
"2007-01-16",28.97,29.08,28.73,28.88,14020600,24.99
"2007-01-17",28.73,29.21,28.72,29.13,13775400,25.21
"2007-01-18",28.82,28.9,28.24,28.32,25713000,24.51
"2007-01-19",28.64,28.8,28.25,28.39,18915900,24.57
"2007-01-22",28.51,28.85,28.3,28.59,24661400,24.74
"2007-01-23",29.79,30,29.44,29.6,46361400,25.62
"2007-01-24",29.87,30.3,29.6,30,19235600,25.96
"2007-01-25",30.4,31.17,30.37,30.47,31739600,26.37
"2007-01-26",30.65,31.21,30.44,31.02,23674700,26.85
"2007-01-29",31.02,31.34,30.84,30.94,21549100,26.81
"2007-01-30",31.04,31.2,30.69,30.84,18473400,26.73
"2007-01-31",30.83,31.32,30.6,31.19,15835900,27.03
"2007-02-01",31.33,31.7,31.21,31.37,14654600,27.18
"2007-02-02",31.54,31.69,31.33,31.39,14612100,27.2
"2007-02-05",31.51,31.94,31.38,31.59,16178000,27.38
"2007-02-06",31.54,31.66,31.02,31.22,19840800,27.05
"2007-02-07",31,31.18,30.6,31.04,25202100,26.9
"2007-02-08",30.9,31.25,30.8,31.08,14441900,26.93
"2007-02-09",31.49,31.98,30.76,30.92,22885100,26.79
"2007-02-12",30.99,31.08,30.2,30.51,15849000,26.44
"2007-02-13",30.56,30.81,29.91,30.27,22314600,26.23
"2007-02-14",30.45,31.18,30.45,30.95,14839500,26.82
"2007-02-15",30.75,31.21,30.65,31.16,14958200,27
"2007-02-16",31,31.2,30.63,30.78,13397800,26.67
"2007-02-20",30.7,31.11,30.36,31.05,11016300,26.91
"2007-02-21",30.88,31,30.68,30.98,9520000,26.85
"2007-02-22",31.6,32.13,31.46,32.09,31591200,27.81
"2007-02-23",32.03,32.57,32.01,32.21,17396900,27.91
"2007-02-26",32.31,32.35,31.62,31.77,14960600,27.53
"2007-02-27",31.11,31.75,30.28,30.67,19193200,26.58
"2007-02-28",30.85,31.27,30.6,30.96,20170600,26.83
"2007-03-01",30.55,31.01,29.9,30.79,21552000,26.68
"2007-03-02",30.6,30.98,30.45,30.76,19287100,26.66
"2007-03-05",30.48,31.29,30.4,30.9,16564800,26.78
"2007-03-06",31.6,31.74,31.19,31.35,20665600,27.17
"2007-03-07",31.35,31.59,31.05,31.14,9366000,26.99
"2007-03-08",31.39,31.92,31.25,31.7,14480000,27.47
"2007-03-09",32.5,32.73,32.18,32.46,20543900,28.13
"2007-03-12",32.46,32.93,32.44,32.59,19909500,28.24
"2007-03-13",32.1,32.19,31.51,31.74,23939700,27.51
"2007-03-14",31.79,31.87,31.33,31.67,15481500,27.44
"2007-03-15",31.58,31.76,31.46,31.57,11917000,27.36
"2007-03-16",31.68,31.68,31.1,31.28,20476600,27.11
"2007-03-19",31.74,31.74,31.05,31.22,10072400,27.05
"2007-03-20",31.37,31.69,31.15,31.35,10420900,27.17
