"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2007-01-03",94.36,95.56,92.98,95.25,2880000,44.51
"2007-01-04",94.55,94.79,93.66,94.35,2854800,44.09
"2007-01-05",94.1,94.8,93.75,94.22,2216800,44.03
"2007-01-08",94.4,94.4,93.22,94.21,1377000,44.02
"2007-01-09",94.46,94.48,93.5,93.9,1682200,43.88
"2007-01-10",93.5,94.17,93.25,93.94,2148600,43.9
"2007-01-11",94.22,96.61,94.16,95.75,2419000,44.74
"2007-01-12",95.2,96.3,94.92,96.18,1795000,44.94
"2007-01-16",96.6,97.56,95.98,97.29,2121800,45.46
"2007-01-17",97.29,98.39,96.2,98.2,2174800,45.89
"2007-01-18",98.2,98.8,97.65,97.9,1779600,45.75
"2007-01-19",97.29,97.29,92,95.15,9602200,44.46
"2007-01-22",94.9,95.31,94.33,94.83,3245400,44.31
"2007-01-23",94.7,95.98,94.5,95.85,2252400,44.79
"2007-01-24",96,96.71,95.15,96.58,2101600,45.13
"2007-01-25",92.38,94.39,91.96,93.15,8639400,43.53
"2007-01-26",93,93.16,91.58,92.1,4516200,43.04
"2007-01-29",92.1,93.55,91.46,93.3,3178000,43.6
"2007-01-30",92.99,93.13,91.03,91.35,4572200,42.68
"2007-01-31",91.2,93.47,90.78,93.17,4001600,43.54
"2007-02-01",93.6,94.41,93.29,94.15,3132800,43.99
"2007-02-02",94.7,94.81,93.55,93.65,2558200,43.76
"2007-02-05",93.18,94,93.13,93.85,1171200,43.85
"2007-02-06",94,95.76,93.74,95.01,3368200,44.39
"2007-02-07",95.46,96.5,95.25,96.35,3792000,45.02
"2007-02-08",96.4,96.9,95.93,96.51,1863200,45.1
"2007-02-09",96.65,97.41,96.03,96.36,2291400,45.03
"2007-02-12",96.1,96.74,95.83,96.53,1896400,45.11
"2007-02-13",97.16,97.81,96.45,97.76,1466400,45.68
"2007-02-14",97.95,98.43,97.25,97.74,1703600,45.67
"2007-02-15",97.37,97.85,97.19,97.71,1530600,45.66
"2007-02-16",97.4,97.69,96.91,97.3,1027200,45.47
"2007-02-20",97.15,98.25,96.98,98.07,1041600,45.82
"2007-02-21",97,98.27,96.75,97.8,1462000,45.7
"2007-02-22",97.15,97.81,95.93,96.3,2050400,45
"2007-02-23",95.31,96.42,94.73,96.16,1546400,44.93
"2007-02-26",96.25,96.4,94.8,95.16,2042600,44.47
"2007-02-27",93.08,94.34,89.52,90.83,4975600,42.44
"2007-02-28",91.55,92.87,90.44,92.27,2962400,43.11
"2007-03-01",90.5,92.6,89.62,91.7,2841800,42.85
"2007-03-02",91.05,91.3,89.56,89.57,2636600,41.85
"2007-03-05",88.75,89.65,88.42,88.47,2945600,41.34
"2007-03-06",89,90.42,88.56,89.96,2757800,42.04
"2007-03-07",89.47,89.95,88.87,88.89,1993200,41.72
"2007-03-08",90,91.17,89.5,90.57,1405200,42.5
"2007-03-09",91.3,91.4,89.8,89.94,1898000,42.21
"2007-03-12",89.8,90.06,89.16,89.82,1956600,42.15
"2007-03-13",89.43,90.37,88.04,88.16,1667000,41.37
"2007-03-14",88.5,89.56,87.19,89.3,1973400,41.91
"2007-03-15",89.15,89.76,88.92,89.52,1015200,42.01
"2007-03-16",89.79,90.23,88.75,89.95,2020000,42.21
"2007-03-19",91.31,92.63,91.31,91.75,1447400,43.06
"2007-03-20",91.73,92.44,91.35,92.14,1331400,43.24
"2007-03-21",92.35,93.49,91.3,93.43,2219800,43.85
"2007-03-22",93,93.3,90.85,91.39,4057200,42.89
"2007-03-23",91.55,93.5,91.21,92.92,2455800,43.61
"2007-03-26",92.6,92.99,90.94,91.71,1428400,43.04
"2007-03-27",91.45,91.55,90.25,90.41,1528000,42.43
"2007-03-28",90,90.03,89.15,89.33,1503200,41.92
"2007-03-29",89.64,90.31,89.46,90.09,2313800,42.28
"2007-03-30",90.31,91.02,89.08,89.8,1620000,42.14
"2007-04-02",90.23,90.7,89.71,90.69,1514600,42.56
"2007-04-03",91.43,92.62,91.05,92.57,1845600,43.44
"2007-04-04",92.25,92.74,92,92.66,1105000,43.48
"2007-04-05",92.27,92.69,91.92,92.62,765200,43.47
"2007-04-09",92.8,93,92.24,92.56,810200,43.44
"2007-04-10",92.56,92.68,91.09,91.32,1477600,42.86
"2007-04-11",91.52,91.52,90.31,91.1,1705000,42.75
"2007-04-12",91.23,92.57,90.2,92.38,1637400,43.35
"2007-04-13",92.55,94.63,92.04,94.34,2640600,44.27
"2007-04-16",94.38,96.2,94,96.2,2719400,45.15
"2007-04-17",95.99,96.5,95.63,96.12,1442800,45.11
"2007-04-18",95.89,96.26,95.54,95.77,1784800,44.94
"2007-04-19",98.67,102.89,98,100.57,10282200,47.2
"2007-04-20",102.27,102.95,101.16,101.74,3659600,47.75
"2007-04-23",101.05,102.81,100.97,101.92,1566000,47.83
"2007-04-24",101.43,101.51,100.43,100.77,2805600,47.29
"2007-04-25",101,103.18,100.76,103.11,1835000,48.39
"2007-04-26",103,103.25,102.22,102.67,1208000,48.18
"2007-04-27",101.65,103.95,101.49,103.71,1209400,48.67
"2007-04-30",103.7,104.14,101.67,101.67,1483600,47.71
"2007-05-01",102.05,102.82,101.31,101.83,1437000,47.79
"2007-05-02",101.83,103.26,101.75,102.48,989600,48.09
"2007-05-03",103.97,104.2,102.28,103.74,1568200,48.68
"2007-05-04",103.73,104.29,102.7,103.25,1437400,48.45
"2007-05-07",103.23,104.19,102.55,103.47,942000,48.56
"2007-05-08",103.12,103.12,102.16,102.68,987200,48.19
"2007-05-09",102.47,103.45,101.25,102.86,2458000,48.27
"2007-05-10",102.1,102.69,101.33,101.71,1818000,47.73
"2007-05-11",101.59,102.55,100.67,102.47,1512000,48.09
"2007-05-14",102.88,103.88,102.5,103.75,2028200,48.69
"2007-05-15",104.29,105,103.4,103.73,1781200,48.68
"2007-05-16",104.49,105,103.14,104.31,1375000,48.95
"2007-05-17",103.75,104.85,103.43,104.29,1011800,48.94
"2007-05-18",104.43,105.38,104.37,105.38,1424800,49.45
"2007-05-21",104.91,106.09,104.89,105.64,1879400,49.58
"2007-05-22",105.03,105.26,104.15,104.91,1236400,49.23
"2007-05-23",105.66,108.1,105.28,107.31,2848200,50.36
"2007-05-24",106.9,107.99,106.21,106.27,1841800,49.87
"2007-05-25",106.4,107.1,105.82,106.35,851000,49.91
"2007-05-29",106.57,106.99,105.72,106.43,1495000,49.95
"2007-05-30",105.18,106.99,104.83,106.99,943600,50.21
"2007-05-31",107,107.77,106.8,107.3,860200,50.35
"2007-06-01",107.3,108.3,107.12,108.17,1750600,50.76
"2007-06-04",107.93,108.57,107.5,108.18,2297000,50.77
"2007-06-05",107.99,108.3,107.57,107.8,1112000,50.59
"2007-06-06",106.87,107.1,106.09,106.26,1341400,49.87
"2007-06-07",105.65,106.06,104.56,104.58,1962800,49.08
"2007-06-08",104.33,106.6,104.33,106.58,1461200,50.02
"2007-06-11",106.58,106.86,105.91,106.05,955600,49.77
"2007-06-12",106,106.2,104.79,105.23,2525400,49.38
"2007-06-13",105.96,106.88,105.62,106.88,2187600,50.34
"2007-06-14",107.35,110.59,106.78,109.57,2282000,51.61
"2007-06-15",110.24,110.98,109.73,109.75,1608600,51.7
"2007-06-18",109.75,109.92,108.54,108.83,1101400,51.26
"2007-06-19",110.99,114.06,110.72,113.81,4579400,53.61
"2007-06-20",113.56,114.15,111.84,111.84,3121400,52.68
"2007-06-21",112.29,113.56,111.86,112.97,1534400,53.21
"2007-06-22",113.06,113.2,110.63,111.25,2434400,52.4
"2007-06-25",112.35,112.42,110.08,110.51,1510600,52.05
"2007-06-26",110.74,111.02,108.84,109,1516600,51.34
"2007-06-27",108.03,109.62,107.47,109.62,1321200,51.63
"2007-06-28",109.13,111.44,108.61,110.75,1211000,52.17
"2007-06-29",111.1,112.25,109.47,110.11,1260400,51.86
"2007-07-02",111.15,113.52,110.86,113.5,1633600,53.46
"2007-07-03",113.5,114.04,113.22,113.92,795800,53.66
"2007-07-05",113.53,114.18,113,113.91,1114600,53.65
"2007-07-06",114.3,116.06,113.58,115.98,1358400,54.63
"2007-07-09",115.41,115.69,113.79,114.05,1139000,53.72
"2007-07-10",113.78,113.97,111.94,111.94,1045200,52.73
"2007-07-11",112,113.23,110.84,111.7,1567600,52.61
"2007-07-12",112.4,114.2,111.7,114.2,1379600,53.79
"2007-07-13",113.93,115.3,113.49,114.79,950200,54.07
"2007-07-16",114.85,116.71,114.84,116.03,1092400,54.65
"2007-07-17",115.57,116.44,114.52,114.75,1545400,54.05
"2007-07-18",114.29,116.57,112.32,115.43,3529000,54.37
"2007-07-19",123,128,121,122.2,6529400,57.56
"2007-07-20",122.15,123.53,120.16,122.4,3123800,57.65
"2007-07-23",122.99,126.04,122.5,125.5,3520800,59.11
"2007-07-24",125,125.16,121.57,121.8,2967000,57.37
"2007-07-25",122.75,123.62,119.29,120.48,3153400,56.75
"2007-07-26",120,120.25,116.11,117.87,3587000,55.52
"2007-07-27",116.18,117.4,114.05,114.05,4033000,53.72
"2007-07-30",115,116.38,113.5,116.16,3804000,54.71
"2007-07-31",118.3,118.77,112.86,112.89,3944200,53.17
"2007-08-01",112.88,116.5,112.75,114.86,3288600,54.1
"2007-08-02",115.25,117.86,114.66,117.22,2778400,55.21
"2007-08-03",117.69,118.41,113.29,113.5,2698400,53.46
"2007-08-06",114.64,116.02,111.82,113.57,3849200,53.49
"2007-08-07",112.56,113.11,109.32,112.16,5172600,52.83
"2007-08-08",111.9,115.25,109,112.02,4849200,52.76
"2007-08-09",112.65,112.65,105.57,107.31,4880800,50.55
"2007-08-10",106.42,112.54,95.95,111.78,5422400,52.65
"2007-08-13",113.78,116.2,113.2,113.37,2526000,53.4
"2007-08-14",113.37,115.24,111.43,111.48,2503200,52.51
"2007-08-15",110.85,113.9,108.79,109.11,2517200,51.39
"2007-08-16",107.25,109.69,103,106.01,5623400,49.93
"2007-08-17",110.1,114,106.85,108.04,3380400,50.89
"2007-08-20",108.7,110.43,106.89,109.68,1580800,51.66
"2007-08-21",110.13,113,109.43,112.58,1549000,53.03
"2007-08-22",113.86,116.31,113.57,116.09,1936400,54.68
"2007-08-23",117,117.44,113.3,113.74,1358000,53.57
"2007-08-24",113.29,114.75,112.75,114.68,1792400,54.02
"2007-08-27",57.34,57.6,56.49,57.11,729000,53.8
"2007-08-28",56.89,56.99,54.7,54.75,1410500,51.58
"2007-08-29",55.13,56.79,55.13,56.79,933500,53.5
"2007-08-30",56.29,57.9,56.18,56.74,1295900,53.45
"2007-08-31",57.4,58.71,57.25,58.34,1321000,54.96
"2007-09-04",58.4,58.93,57.43,58.83,1408500,55.42
"2007-09-05",58.1,58.56,56.7,57.05,1318400,53.74
"2007-09-06",56.88,57.99,56.52,57.87,1467600,54.52
