"","TYC.Open","TYC.High","TYC.Low","TYC.Close","TYC.Volume","TYC.Adjusted"
"2007-01-03",30.5,31.1,30.34,30.45,5860200,44.53
"2007-01-04",30.46,30.91,30.15,30.79,3092500,45.03
"2007-01-05",30.66,30.71,30.1,30.35,2901000,44.39
"2007-01-08",30.75,30.9,29.28,30.87,5784600,45.15
"2007-01-09",30.87,31.15,30.8,31.08,3495700,45.45
"2007-01-10",30.97,31.56,30.97,31.46,4080900,46.01
"2007-01-11",31.44,32.32,31.44,32.15,6746700,47.02
"2007-01-12",32.18,32.27,31.42,31.62,5862400,46.24
"2007-01-16",31.58,31.69,31,31.61,2883500,46.23
"2007-01-17",31.71,31.75,31.3,31.5,3711900,46.07
"2007-01-18",31.43,31.68,31.23,31.28,4533900,45.75
"2007-01-19",31.28,31.56,30.65,30.74,5456400,44.96
"2007-01-22",30.75,30.96,30.51,30.56,3971800,44.69
"2007-01-23",30.55,30.97,30.5,30.85,4184700,45.12
"2007-01-24",31.1,31.25,30.94,31,5754000,45.34
"2007-01-25",31,31.28,30.67,30.74,5211000,44.96
"2007-01-26",30.86,31.05,30.69,30.94,3622000,45.25
"2007-01-29",30.87,31.18,30.85,30.96,3677300,45.28
"2007-01-30",30.99,31.59,30.95,31.59,5085300,46.2
"2007-01-31",31.51,31.98,31.41,31.88,4908300,46.62
"2007-02-01",31.88,32.97,31.88,32.86,8096000,48.06
"2007-02-02",32.77,33.04,32.59,33,5661400,48.26
"2007-02-05",32.83,33.29,32.78,33.21,5625600,48.57
"2007-02-06",33.2,33.2,32.49,32.59,6515600,47.66
"2007-02-07",32.34,32.34,31.65,31.97,8402100,46.75
"2007-02-08",31.85,31.9,31.6,31.8,3374200,46.51
"2007-02-09",31.8,31.81,31.41,31.48,3263100,46.04
"2007-02-12",31.49,31.88,31.46,31.86,3332300,46.59
"2007-02-13",31.8,32.05,31.67,31.8,4377000,46.51
"2007-02-14",31.93,32.05,31.84,31.96,3150900,46.74
"2007-02-15",31.86,32.18,31.67,32.09,3327900,46.93
"2007-02-16",32.22,32.32,31.85,32.05,3209000,46.87
"2007-02-20",32,32.1,31.62,31.97,3235600,46.75
"2007-02-21",31.9,31.93,31.68,31.77,2709300,46.46
"2007-02-22",31.79,31.85,31.43,31.61,2629900,46.23
"2007-02-23",31.51,31.56,31.25,31.4,2374000,45.92
"2007-02-26",31.6,32.12,31.5,32.04,3683200,46.86
"2007-02-27",31.68,31.7,30.53,30.74,5783500,44.96
"2007-02-28",30.66,31.14,30.5,30.83,4812700,45.09
"2007-03-01",30.35,31.02,29.15,30.8,5008000,45.04
"2007-03-02",30.8,30.8,29.99,30.07,6151100,43.98
"2007-03-05",29.91,30.41,29.69,29.69,3647600,43.42
"2007-03-06",30.02,30.61,29.57,30.56,5426700,44.69
"2007-03-07",30.52,30.8,30.4,30.67,3356700,44.85
"2007-03-08",30.92,31.32,30.88,31.05,3319300,45.41
"2007-03-09",31.25,31.3,30.49,30.68,2726400,44.87
"2007-03-12",30.6,31.09,30.52,31.04,2139600,45.39
"2007-03-13",30.91,31.05,30.18,30.21,3400500,44.18
"2007-03-14",30.32,30.9,30.21,30.85,4591400,45.12
"2007-03-15",30.85,31.21,30.73,30.82,2632500,45.07
"2007-03-16",30.93,31.25,30.71,30.88,4302200,45.16
"2007-03-19",31,31.43,30.89,31.19,2783700,45.61
"2007-03-20",31.18,31.47,31.05,31.38,3188300,45.89
"2007-03-21",31.04,31.9,31.04,31.79,2625200,46.49
"2007-03-22",31.75,31.97,31.57,31.96,2084900,46.74
"2007-03-23",31.85,32.14,31.66,32.08,3112300,46.92
"2007-03-26",31.99,32.1,31.55,31.92,2564500,46.68
"2007-03-27",31.76,31.76,31.17,31.29,3058700,45.76
"2007-03-28",31.07,31.61,31,31.14,3803500,45.54
"2007-03-29",31.2,31.5,30.88,31.14,2725400,45.69
"2007-03-30",31.18,31.65,30.9,31.55,4133000,46.29
"2007-04-02",31.57,31.96,31.49,31.8,3390900,46.66
"2007-04-03",31.86,32.24,31.76,32.16,3845100,47.18
"2007-04-04",32.12,32.16,31.8,32.02,2067600,46.98
"2007-04-05",31.92,32.32,31.76,32.15,2774900,47.17
"2007-04-09",32.16,32.25,31.93,31.99,2786600,46.93
"2007-04-10",32.07,32.39,31.91,32.3,2699900,47.39
"2007-04-11",32.21,32.35,32.02,32.29,3023900,47.37
"2007-04-12",32.3,32.8,32.16,32.71,3164000,47.99
"2007-04-13",32.68,32.77,32.43,32.55,2222900,47.76
"2007-04-16",32.75,32.89,32.37,32.57,3402300,47.79
"2007-04-17",32.44,32.5,31.92,32.15,4196100,47.17
"2007-04-18",32.15,32.26,31.91,32.04,3107800,47.01
"2007-04-19",32.06,32.2,31.86,32.09,4230700,47.08
"2007-04-20",32.36,32.64,32.32,32.34,7328900,47.45
"2007-04-23",32.31,32.65,32.2,32.48,3266500,47.65
"2007-04-24",32.55,33,31.99,32.33,4377000,47.43
"2007-04-25",32.47,32.73,32.38,32.55,4081700,47.76
"2007-04-26",32.45,32.8,32.33,32.52,2440400,47.71
"2007-04-27",32.52,32.82,32.35,32.64,4671700,47.89
"2007-04-30",32.64,33.07,32.55,32.63,4630500,47.87
"2007-05-01",32.6,32.92,32.54,32.75,4095000,48.05
"2007-05-02",32.74,33.17,32.74,32.84,2918300,48.18
"2007-05-03",32.97,33,32.7,32.85,2267100,48.2
"2007-05-04",32.92,33.09,32.73,32.81,2732400,48.14
"2007-05-07",32.81,33.03,32.65,32.72,3593400,48.01
"2007-05-08",32.7,32.85,32.01,32.05,7317000,47.02
"2007-05-09",32.12,32.54,32.12,32.46,6531100,47.62
"2007-05-10",32.4,32.46,32,32.19,3867600,47.23
"2007-05-11",32.18,32.74,31.95,32.53,4695200,47.73
"2007-05-14",32.61,32.75,32.11,32.19,4331500,47.23
"2007-05-15",32.7,32.86,31.95,32.38,5097400,47.51
"2007-05-16",32.39,32.42,32.17,32.32,4387400,47.57
"2007-05-17",32.3,32.49,32.17,32.23,3680700,47.43
"2007-05-18",32.6,32.6,32.05,32.28,4900400,47.51
"2007-05-21",32.28,32.6,32.06,32.18,6547600,47.36
"2007-05-22",32.3,32.8,32.12,32.66,6884100,48.07
"2007-05-23",32.61,33.39,32.47,33.18,5718400,48.83
"2007-05-24",33.26,33.44,32.76,32.82,4615000,48.3
"2007-05-25",32.91,33.31,32.85,33.15,2649400,48.79
"2007-05-29",33.44,33.5,32.73,32.73,4001400,48.17
"2007-05-30",32.51,32.92,32.5,32.87,5258900,48.38
"2007-05-31",33,33.59,32.92,33.36,6165800,49.1
"2007-06-01",33.41,33.96,33.36,33.7,4097000,49.6
"2007-06-04",33.3,33.85,33.25,33.75,3053700,49.67
"2007-06-05",33.47,33.59,33.21,33.26,3560700,48.95
"2007-06-06",33.08,33.33,33.04,33.18,4007600,48.83
"2007-06-07",33.18,33.2,32.62,32.63,6895800,48.02
"2007-06-08",33.48,33.89,33.15,33.8,9592800,49.74
"2007-06-11",33.75,34.22,33.65,33.91,7661000,49.91
"2007-06-12",33.8,34,33.33,33.4,7217900,49.16
"2007-06-13",33.61,34.32,33.51,34.26,6746700,50.42
"2007-06-14",34,34.26,33.94,34,9427500,50.04
"2007-06-15",34.08,34.45,33.99,34.32,11195300,50.51
"2007-06-18",34.33,34.4,33.95,34.09,7563500,50.17
"2007-06-19",34.01,34.24,33.47,33.6,9797800,49.45
"2007-06-20",33.75,33.86,32.57,32.62,11602100,48.01
"2007-06-21",32.63,33.32,32.36,33.27,8554000,48.96
"2007-06-22",33.29,34.21,33.27,34.21,41108200,50.35
"2007-06-25",34.04,34.48,33.52,33.66,9307000,49.54
"2007-06-26",33.8,33.87,33.46,33.46,7529300,49.24
"2007-06-27",33.36,33.81,32.71,33.81,6122100,49.76
"2007-06-28",33.64,34,33.51,33.89,4220900,49.88
"2007-06-29",34.24,34.41,33.62,33.79,7113500,49.73
"2007-07-02",52.92,53.54,52.4,53.36,12044700,23.15
"2007-07-03",53.34,54.17,52.98,53.12,5202800,23.05
"2007-07-05",52.15,53.59,52.15,53.1,9418200,23.04
"2007-07-06",53.2,53.49,52.9,53.17,9811900,23.07
"2007-07-09",52.1,52.54,50.94,51.25,15976500,22.24
"2007-07-10",50.65,51.35,50.25,50.97,15510800,22.11
"2007-07-11",50.53,51.35,50.49,50.99,9726800,22.12
"2007-07-12",50.86,51.18,50.38,51.03,11014900,22.14
"2007-07-13",50.74,51.64,50.33,51.34,7885700,22.27
"2007-07-16",51.88,51.89,50.31,50.43,11106400,21.88
"2007-07-17",50.56,50.75,49.56,49.76,15968800,21.59
"2007-07-18",48.98,49.71,48.3,49.65,16045700,21.54
"2007-07-19",49.99,50.12,49.41,49.9,13107800,21.65
"2007-07-20",49.9,50.29,49.42,49.46,9850500,21.46
"2007-07-23",49.28,49.83,49.28,49.35,7628800,21.41
"2007-07-24",49.21,49.59,48.66,48.79,9840100,21.17
"2007-07-25",48.91,49.68,48.52,49,9297900,21.26
"2007-07-26",48.62,49,48.21,48.52,16841300,21.05
"2007-07-27",48.3,48.44,47.66,47.76,11153300,20.72
"2007-07-30",47.63,47.9,46.98,47.74,9224700,20.71
"2007-07-31",47.95,48.44,47.2,47.29,6505900,20.52
"2007-08-01",47.18,47.98,46.66,47.95,10054700,20.8
"2007-08-02",47.96,48.48,47.42,48.42,9125500,21.01
"2007-08-03",48.45,49.35,47.53,47.62,11835400,20.66
"2007-08-06",47.88,48.33,47.35,48,7067000,20.83
"2007-08-07",48,48.37,46.51,47.44,10488200,20.58
"2007-08-08",46.69,47.5,44.09,45.5,13479800,19.74
"2007-08-09",44.39,45.02,42.27,44,19542300,19.09
"2007-08-10",43.88,44.13,42.09,43.6,13867200,18.92
"2007-08-13",43.87,44.38,43.36,43.87,11323100,19.03
"2007-08-14",43.83,44.05,43.09,43.55,8473900,18.89
"2007-08-15",43.78,44,41.82,41.92,7923200,18.19
"2007-08-16",41.62,41.75,39.78,40.59,17416400,17.61
"2007-08-17",41.48,42.33,40.97,41.66,11635700,18.07
"2007-08-20",41.54,43.02,41.32,42.79,9203600,18.56
"2007-08-21",42.44,43.03,42.1,42.68,6224100,18.52
"2007-08-22",43.09,43.51,42.56,43.41,6812100,18.83
"2007-08-23",43.73,43.93,42.91,43.3,5128300,18.79
"2007-08-24",43.3,44.36,43.3,44.26,4352600,19.2
"2007-08-27",44.18,44.45,43.54,43.97,5371200,19.08
"2007-08-28",43.56,43.83,42.68,42.68,4779100,18.52
"2007-08-29",42.87,43.49,42.51,43.48,5706100,18.86
