"","UNM.Open","UNM.High","UNM.Low","UNM.Close","UNM.Volume","UNM.Adjusted"
"2007-01-03",21.26,21.26,20.54,20.79,1683100,18.37
"2007-01-04",20.79,20.96,20.66,20.9,1381000,18.47
"2007-01-05",20.91,21.04,20.62,20.62,1444900,18.22
"2007-01-08",20.61,20.73,20.57,20.65,1540500,18.25
"2007-01-09",20.63,20.7,19.86,20.5,1559900,18.12
"2007-01-10",20.38,20.44,20.29,20.34,1186500,17.97
"2007-01-11",20.35,20.6,20.35,20.48,2150000,18.1
"2007-01-12",20.41,20.51,20.31,20.46,1454600,18.08
"2007-01-16",20.44,20.62,20.4,20.47,1484500,18.09
"2007-01-17",20.4,20.45,20.2,20.25,2772400,17.89
"2007-01-18",20.37,20.42,20.24,20.26,1531500,17.9
"2007-01-19",20.3,20.36,20.19,20.22,1505300,17.87
"2007-01-22",20.17,20.24,20.03,20.1,2000600,17.76
"2007-01-23",20.13,20.24,20.07,20.22,1336000,17.87
"2007-01-24",20.2,20.43,20.14,20.41,1545600,18.04
"2007-01-25",20.34,20.34,19.98,20.08,2258800,17.81
"2007-01-26",20.08,20.15,19.86,19.94,1975500,17.69
"2007-01-29",19.88,20.17,19.79,19.93,2021400,17.68
"2007-01-30",21.05,22.25,20.95,22.02,8158800,19.53
"2007-01-31",22.05,22.09,21.8,22,1978600,19.51
"2007-02-01",22,22.11,21.77,22.03,2300900,19.54
"2007-02-02",22.01,22.28,21.97,22.01,3241900,19.52
"2007-02-05",21.9,22.05,21.85,21.97,1158700,19.49
"2007-02-06",22.06,22.49,21.97,22.35,2081800,19.82
"2007-02-07",22.35,22.88,22.27,22.62,2559200,20.06
"2007-02-08",22,22.2,21.9,22.02,2039600,19.53
"2007-02-09",22.03,22.23,21.74,21.76,1066400,19.3
"2007-02-12",21.85,22,21.68,21.84,1736500,19.37
"2007-02-13",21.95,22.07,21.8,22.06,929300,19.57
"2007-02-14",22.05,22.27,22.05,22.13,862800,19.63
"2007-02-15",22.03,22.19,21.8,21.94,1291300,19.46
"2007-02-16",21.85,22.08,21.83,21.93,924600,19.45
"2007-02-20",21.96,21.99,21.71,21.86,912800,19.39
"2007-02-21",21.7,21.9,21.66,21.78,910500,19.32
"2007-02-22",21.77,21.97,21.65,21.75,578600,19.29
"2007-02-23",21.67,21.79,21.57,21.71,1360100,19.26
"2007-02-26",21.69,21.85,21.52,21.63,2209200,19.18
"2007-02-27",21.53,21.79,20.89,20.97,2199200,18.6
"2007-02-28",20.96,21.51,20.89,21.41,2607100,18.99
"2007-03-01",21.16,21.48,20.82,21.39,1882200,18.97
"2007-03-02",21.32,21.37,21.12,21.2,1424500,18.8
"2007-03-05",21.13,21.36,20.87,21.1,1600600,18.71
"2007-03-06",21.2,21.43,21.01,21.42,1920900,19
"2007-03-07",21.27,21.53,21.16,21.51,1448800,19.08
"2007-03-08",21.63,21.96,21.54,21.83,1877100,19.36
"2007-03-09",22,22.1,21.84,21.93,1276100,19.45
"2007-03-12",22.5,22.6,22.05,22.35,2045400,19.82
"2007-03-13",22.15,22.22,21.77,21.82,1882300,19.35
"2007-03-14",21.82,21.93,21.38,21.84,1832400,19.37
"2007-03-15",21.87,22.34,21.78,22.27,1056300,19.75
"2007-03-16",22.23,22.47,22.09,22.13,1808000,19.63
"2007-03-19",22.17,22.61,22.17,22.5,749100,19.96
"2007-03-20",22.51,22.68,22.39,22.68,1335400,20.12
"2007-03-21",22.67,23.32,22.53,23.18,1577200,20.56
"2007-03-22",23.16,23.33,22.96,23.13,1420100,20.52
"2007-03-23",23.1,23.37,23.05,23.27,1321400,20.64
"2007-03-26",23.21,23.4,22.93,23.27,811800,20.64
"2007-03-27",23.23,23.23,22.88,22.97,1185300,20.37
"2007-03-28",22.81,22.84,22.44,22.53,1725800,19.98
"2007-03-29",23.13,23.13,22.63,22.93,1674600,20.34
"2007-03-30",22.9,23.15,22.59,23.03,1807400,20.43
"2007-04-02",23.01,23.43,22.83,23.39,1695700,20.75
"2007-04-03",23.45,24.1,23.36,24.08,2479600,21.36
"2007-04-04",24.1,24.32,23.94,24.08,2072000,21.36
"2007-04-05",23.97,23.97,23.69,23.75,1951700,21.07
"2007-04-09",23.85,24.02,23.8,23.98,1641500,21.27
"2007-04-10",23.95,24.03,23.71,23.98,1500600,21.27
"2007-04-11",23.95,24.15,23.75,24.02,1456400,21.3
"2007-04-12",24.04,24.11,23.66,24.11,2375100,21.38
"2007-04-13",24.98,24.98,23.74,24.26,1536600,21.52
"2007-04-16",24.08,24.57,23.91,24.5,1546100,21.73
"2007-04-17",24.7,25.04,24.7,24.85,1998800,22.04
"2007-04-18",24.85,25.05,24.72,24.9,1069300,22.09
"2007-04-19",25.75,25.75,24.63,24.77,2264000,21.97
"2007-04-20",25.07,25.3,24.76,25.26,2279700,22.4
"2007-04-23",25.26,25.53,24.92,24.97,1872200,22.15
"2007-04-24",25.29,25.29,24.62,24.86,1813300,22.05
"2007-04-25",25.34,25.5,24.96,25.44,1427700,22.56
"2007-04-26",24.86,25.37,24.81,24.9,2484300,22.15
"2007-04-27",24.87,25.01,24.72,24.94,1402500,22.19
"2007-04-30",25,25.15,24.77,24.88,2031300,22.13
"2007-05-01",24.89,24.92,24.49,24.73,1887000,22
"2007-05-02",24.65,25.11,24.59,24.92,2300600,22.17
"2007-05-03",26.8,28.2,25.91,27.33,9539400,24.31
"2007-05-04",27.27,27.95,27.22,27.57,5622600,24.53
"2007-05-07",27.45,27.6,27.14,27.36,2047200,24.34
"2007-05-08",27.2,27.35,26.96,27.17,3158400,24.17
"2007-05-09",27.14,27.14,26.79,27.02,3336900,24.04
"2007-05-10",26.9,26.98,26.41,26.41,2384300,23.49
"2007-05-11",26.44,26.92,26.44,26.87,1994800,23.9
"2007-05-14",27.06,27.35,26.58,26.74,2230900,23.79
"2007-05-15",26.89,27.11,26.63,26.69,2066800,23.74
"2007-05-16",26.72,27.16,26.62,27.11,2554700,24.12
"2007-05-17",27.29,27.39,27.15,27.35,2095000,24.33
"2007-05-18",27.37,27.4,27.06,27.18,2852100,24.18
"2007-05-21",27.18,27.49,27.11,27.32,3113000,24.3
"2007-05-22",27.29,27.43,27.1,27.3,1434000,24.29
"2007-05-23",27.31,27.38,26.87,26.89,1225300,23.92
"2007-05-24",26.89,27.01,26.65,26.66,1263000,23.72
"2007-05-25",26.65,26.71,26.45,26.49,1065700,23.56
"2007-05-29",25.76,26.1,25.37,26.01,2897700,23.14
"2007-05-30",26.02,26.47,26.01,26.45,2417400,23.53
"2007-05-31",26.55,26.63,26.37,26.54,1965600,23.61
"2007-06-01",26.54,26.68,26.42,26.64,1351000,23.7
"2007-06-04",26.47,26.61,26.37,26.61,1145000,23.67
"2007-06-05",26.39,26.61,26.3,26.36,1446500,23.45
"2007-06-06",26.36,26.36,25.84,25.85,1878700,23
"2007-06-07",26.55,26.69,25.41,25.41,1212100,22.6
"2007-06-08",25.35,25.86,25.26,25.85,1443400,23
"2007-06-11",25.72,26.16,25.59,26.03,1350700,23.16
"2007-06-12",25.82,26.07,25.73,25.73,2027000,22.89
"2007-06-13",25.9,26.09,25.72,26.09,2022800,23.21
"2007-06-14",26.09,26.25,26.07,26.19,1772500,23.3
"2007-06-15",26.43,26.5,26.2,26.33,2089900,23.42
"2007-06-18",26.23,26.29,25.79,26.25,1038700,23.35
"2007-06-19",26.25,26.56,26.2,26.49,1748000,23.56
"2007-06-20",26.5,26.63,26.17,26.22,1356100,23.32
"2007-06-21",26.22,26.25,25.71,26.17,1096400,23.28
"2007-06-22",26,26.12,25.78,25.82,1648400,22.97
"2007-06-25",25.77,26.22,25.38,25.77,1477100,22.92
"2007-06-26",25.97,25.99,25.55,25.84,1557000,22.99
"2007-06-27",25.57,25.94,25.32,25.92,1048400,23.06
"2007-06-28",25.93,26.33,25.68,26.26,2127800,23.36
"2007-06-29",26.29,26.38,25.98,26.11,1696000,23.23
"2007-07-02",26.2,26.36,26.18,26.29,2054400,23.39
"2007-07-03",26.31,26.52,26.17,26.52,1510000,23.59
"2007-07-05",26.54,26.59,26.15,26.25,804300,23.35
"2007-07-06",26.75,26.75,26.03,26.23,975600,23.33
"2007-07-09",26.24,26.45,26.08,26.39,1081100,23.48
"2007-07-10",26.25,26.25,25.55,25.55,1719600,22.73
"2007-07-11",25.5,25.75,25.41,25.62,3252600,22.79
"2007-07-12",25.82,26.4,25.62,26.37,1820400,23.46
"2007-07-13",26.39,26.51,26.09,26.35,1267900,23.44
"2007-07-16",26.25,26.45,26.01,26.02,1309200,23.15
"2007-07-17",26.14,26.2,25.8,25.99,899100,23.12
"2007-07-18",25.74,25.92,25.28,25.8,3091800,22.95
"2007-07-19",25.95,26.15,25.8,26.1,1061400,23.22
"2007-07-20",26.07,26.07,25.34,25.57,2748800,22.75
"2007-07-23",25.7,25.97,25.57,25.84,1382800,22.99
"2007-07-24",25.46,25.58,24.67,24.81,2257800,22.07
"2007-07-25",25.1,25.44,24.82,25.18,2336800,22.4
"2007-07-26",25.01,25.01,23.6,24.34,3259100,21.72
"2007-07-27",24.21,24.35,23.51,23.54,2816400,21
"2007-07-30",23.54,23.96,23.22,23.82,2167100,21.25
"2007-07-31",24.11,24.66,24,24.3,3003800,21.68
"2007-08-01",23.76,24.14,22.89,23.99,4423400,21.4
"2007-08-02",25.15,26.21,24.65,25.49,4560600,22.74
"2007-08-03",25.51,25.67,23.65,23.69,3841400,21.14
"2007-08-06",23.92,25.68,23.77,25.61,4226100,22.85
"2007-08-07",25.41,25.72,24.66,24.95,4502500,22.26
"2007-08-08",25.02,25.15,23.18,24.22,5476300,21.61
"2007-08-09",23.84,23.95,22.02,23.28,4696000,20.77
"2007-08-10",23.15,24.3,22.71,23.87,2360300,21.3
"2007-08-13",24.32,25.24,23.94,24,2318700,21.41
"2007-08-14",24.34,24.66,23.84,23.92,2970000,21.34
"2007-08-15",23.93,24.88,23.63,23.83,3787600,21.26
"2007-08-16",23.83,24.63,22.81,23.94,3098300,21.36
"2007-08-17",24.42,25.01,23.65,24.85,3115000,22.17
"2007-08-20",24.78,24.97,24.14,24.73,2280900,22.07
"2007-08-21",24.51,25.07,24.46,24.83,1526700,22.15
"2007-08-22",25.07,25.16,24.83,25.04,2866200,22.34
"2007-08-23",25.08,25.19,24.83,24.96,2725400,22.27
"2007-08-24",25,25.32,24.7,25.29,1374400,22.56
"2007-08-27",25.27,25.48,24.9,24.92,1402100,22.23
"2007-08-28",24.84,24.9,23.69,23.73,1942800,21.17
"2007-08-29",23.92,24.79,23.79,24.73,1558800,22.07
"2007-08-30",24.5,24.66,24.17,24.39,1618600,21.76
"2007-08-31",24.74,24.84,24.27,24.47,1956700,21.83
"2007-09-04",24.57,25.06,24.35,24.95,1705600,22.26
"2007-09-05",24.68,24.91,24.43,24.79,2439300,22.12
"2007-09-06",24.77,25.54,24.28,24.42,1157400,21.79
"2007-09-07",24.09,24.42,23.9,24.05,1398100,21.46
"2007-09-10",24.2,24.33,23.61,24.06,1651400,21.47
"2007-09-11",24.34,24.37,23.87,24.15,1924400,21.55
"2007-09-12",24.1,24.21,23.83,23.91,2410500,21.33
"2007-09-13",24,24.09,23.73,23.91,1646800,21.33
"2007-09-14",23.71,23.94,23.55,23.84,1071800,21.27
"2007-09-17",23.71,23.76,23.47,23.67,889800,21.12
"2007-09-18",23.89,24.54,23.85,24.53,2486700,21.89
"2007-09-19",24.68,25.02,24.51,24.79,3147100,22.12
"2007-09-20",24.86,24.86,24.31,24.33,1624300,21.71
"2007-09-21",24.35,24.81,24.24,24.49,3206300,21.85
"2007-09-24",24.39,24.51,24.17,24.18,1807900,21.57
"2007-09-25",23.65,24.25,23.46,24.16,2503400,21.56
"2007-09-26",24.19,24.55,24.19,24.23,2278200,21.62
"2007-09-27",24.43,24.54,24.33,24.46,2681300,21.82
"2007-09-28",24.26,24.55,24.26,24.47,2738800,21.83
"2007-10-01",24.59,25.1,24.48,25,3480800,22.31
"2007-10-02",25.08,25.31,25.04,25.27,2777100,22.55
"2007-10-03",25.08,25.24,24.92,25,1891900,22.31
"2007-10-04",25.17,25.34,25.05,25.13,1218400,22.42
"2007-10-05",25.35,25.84,25.31,25.66,1935700,22.89
"2007-10-08",25.78,25.78,25.34,25.6,1262600,22.84
"2007-10-09",25.77,25.9,25.61,25.9,2364100,23.11
"2007-10-10",25.6,26.67,25.33,25.36,2171900,22.63
"2007-10-11",25.21,25.86,25.21,25.27,1827200,22.55
"2007-10-12",25.15,25.46,25.15,25.33,1429700,22.6
"2007-10-15",25.27,25.28,24.58,24.76,1630300,22.09
"2007-10-16",24.64,24.75,24.12,24.31,2444300,21.69
"2007-10-17",24.82,24.82,24.25,24.55,2201100,21.9
"2007-10-18",24.19,24.5,23.87,24.13,1632400,21.53
"2007-10-19",23.59,24.09,23.13,23.14,2816200,20.65
"2007-10-22",23.13,23.72,22.86,23.61,1623700,21.07
"2007-10-23",23.53,24.42,23.34,23.68,1100200,21.13
"2007-10-24",23.65,23.71,22.92,23.15,2098400,20.66
"2007-10-25",23.13,23.27,22.36,22.86,1712000,20.46
"2007-10-26",23.4,24.18,22.9,23.57,1637300,21.1
"2007-10-29",23.75,23.76,22.89,22.99,1443000,20.58
"2007-10-30",22.98,23.18,22.74,22.8,1415200,20.41
"2007-10-31",23.01,23.43,22.86,23.34,1839400,20.89
"2007-11-01",25.93,26.09,24.78,25.32,10362700,22.66
"2007-11-02",25.35,25.73,24.68,25.11,4832400,22.48
"2007-11-05",24.87,25.37,24.64,24.98,3117300,22.36
"2007-11-06",25.23,25.77,24.91,25.27,3742400,22.62
"2007-11-07",24.87,25.14,24.22,24.3,3514100,21.75
"2007-11-08",24.32,24.62,23.64,24.15,3853700,21.62
"2007-11-09",23.78,24.26,23.64,23.84,3087200,21.34
"2007-11-12",23.6,24.96,23.6,24.53,5850500,21.96
"2007-11-13",24.71,25.1,24.67,25,3799200,22.38
"2007-11-14",25.36,25.5,24.82,24.87,4820500,22.26
"2007-11-15",24.72,25.09,23.52,24.08,3823700,21.55
"2007-11-16",24.91,25.4,23.62,24.08,3405900,21.55
"2007-11-19",23.89,24.89,23.57,23.95,4194100,21.44
"2007-11-20",24,24.28,23.39,23.78,3238900,21.29
"2007-11-21",23.54,23.59,22.85,22.86,2070500,20.46
"2007-11-23",23.28,23.58,22.89,23.43,832400,20.97
"2007-11-26",23.44,23.54,22.84,22.9,2524200,20.5
"2007-11-27",23.17,23.78,23,23.77,2419300,21.28
"2007-11-28",23.77,24.97,23.77,24.9,3195000,22.29
"2007-11-29",24.92,24.97,24.46,24.77,2055600,22.17
"2007-11-30",25,25.82,24.61,24.84,3017500,22.24
"2007-12-03",24.74,24.95,24.3,24.58,2636200,22
"2007-12-04",24.41,24.93,24.29,24.69,2646300,22.1
"2007-12-05",24.97,25.3,24.84,25.11,2252600,22.48
"2007-12-06",25.1,25.54,24.93,25.54,2205200,22.86
"2007-12-07",25.6,25.73,25.4,25.65,2273400,22.96
"2007-12-10",25.74,26.08,25.43,25.76,2687300,23.06
"2007-12-11",25.75,25.75,24.14,24.23,3501400,21.69
"2007-12-12",24.82,25.21,23.67,24.19,3286400,21.65
"2007-12-13",24.06,24.43,23.7,24.38,2528600,21.82
"2007-12-14",23.99,24.18,23.38,23.38,2236300,20.93
"2007-12-17",23.23,23.83,23.11,23.49,2192600,21.03
"2007-12-18",23.74,23.83,22.81,23.37,1975700,20.92
"2007-12-19",23.56,23.74,23.17,23.52,1612900,21.05
"2007-12-20",23.74,23.74,22.9,23.36,1704400,20.91
"2007-12-21",23.79,23.87,23.31,23.78,2454000,21.29
"2007-12-24",23.61,24.41,23.61,24.37,472900,21.81
"2007-12-26",24.21,24.33,23.83,24,829300,21.48
"2007-12-27",24,24.14,23.76,23.83,1363400,21.33
