"","URBN.Open","URBN.High","URBN.Low","URBN.Close","URBN.Volume","URBN.Adjusted"
"2007-01-03",23.6,24.2,23.38,23.72,3475000,23.72
"2007-01-04",23.65,24.48,23.42,23.78,2716700,23.78
"2007-01-05",23.9,24.04,23.48,23.53,2133100,23.53
"2007-01-08",23.47,23.65,22.92,23.44,2813000,23.44
"2007-01-09",23.37,25.08,23.37,24.72,6236000,24.72
"2007-01-10",24.66,26.63,24.41,25.47,5773200,25.47
"2007-01-11",25.5,25.81,24.93,25.65,2392600,25.65
"2007-01-12",25.66,26,25.43,25.89,1964000,25.89
"2007-01-16",25.89,26.3,25.31,25.39,2148700,25.39
"2007-01-17",25.35,25.55,24.46,24.86,3694900,24.86
"2007-01-18",24.99,25.49,24.7,25.12,2075200,25.12
"2007-01-19",25.06,25.12,24.2,24.72,4515900,24.72
"2007-01-22",25.48,25.48,24.28,24.79,2961900,24.79
"2007-01-23",25.21,25.21,24.28,24.42,3329300,24.42
"2007-01-24",24.44,24.57,24.22,24.44,1609400,24.44
"2007-01-25",24.42,24.5,23.73,23.88,2812700,23.88
"2007-01-26",23.9,24.48,23.53,24.37,1997900,24.37
"2007-01-29",24.23,24.43,23.78,23.93,2685600,23.93
"2007-01-30",24.04,24.28,23.77,23.89,2093800,23.89
"2007-01-31",23.95,24.56,23.86,24.4,2933800,24.4
"2007-02-01",24.44,24.68,24,24.53,2432900,24.53
"2007-02-02",24.69,25.42,24.58,25.16,3440200,25.16
"2007-02-05",25.43,25.46,24.82,25.03,1918000,25.03
"2007-02-06",24.57,25.47,24.47,25.38,3963800,25.38
"2007-02-07",25.34,25.41,24.84,25.13,1681900,25.13
"2007-02-08",25.14,25.68,24.97,25.58,1605900,25.58
"2007-02-09",25.66,25.66,24.85,24.9,1499900,24.9
"2007-02-12",24.94,25.41,24.64,25.35,2306100,25.35
"2007-02-13",25.35,26.11,25.2,26,2715300,26
"2007-02-14",26.01,26.74,25.94,26.23,3159200,26.23
"2007-02-15",26.35,26.57,25.94,26.27,2354800,26.27
"2007-02-16",26.25,26.41,26.04,26.16,1494800,26.16
"2007-02-20",26.01,26.89,25.94,26.73,1666500,26.73
"2007-02-21",26.67,27,26.46,26.94,1186600,26.94
"2007-02-22",26.9,27.16,26.18,26.29,2121300,26.29
"2007-02-23",26.35,26.43,25.75,26.14,2564000,26.14
"2007-02-26",26.38,26.84,25.75,25.81,2034600,25.81
"2007-02-27",25.63,25.65,24.23,24.68,3726700,24.68
"2007-02-28",24.77,25.04,24.24,24.82,2715400,24.82
"2007-03-01",24.43,25.22,23.97,24.95,2805700,24.95
"2007-03-02",24.92,25.4,24.75,24.75,2263900,24.75
"2007-03-05",24.5,25.28,24.4,24.5,2708000,24.5
"2007-03-06",24.89,25.57,24.76,24.99,2072500,24.99
"2007-03-07",25.26,25.66,24.66,25.49,2553500,25.49
"2007-03-08",25.8,26.65,24,24.64,7789400,24.64
"2007-03-09",25,26.12,24.8,25.63,5162700,25.63
"2007-03-12",25.5,26.08,25.09,25.8,3943200,25.8
"2007-03-13",25.6,25.78,24.25,24.4,4011000,24.4
"2007-03-14",24.45,24.85,23.37,24.07,5433300,24.07
"2007-03-15",24.03,24.98,23.94,24.25,2962900,24.25
"2007-03-16",24.27,24.47,23.88,24.04,2696200,24.04
"2007-03-19",24.34,24.6,24.12,24.42,1863300,24.42
"2007-03-20",24.43,25.68,24.21,25.44,4567400,25.44
"2007-03-21",25.37,25.5,25.04,25.29,5412400,25.29
"2007-03-22",25.35,25.35,24.84,25.03,3884600,25.03
"2007-03-23",26.15,26.5,25.5,26.33,8868300,26.33
"2007-03-26",26.18,26.35,25.38,25.67,4253300,25.67
"2007-03-27",25.96,26.75,25.9,26.52,6365800,26.52
"2007-03-28",26.14,26.42,25.79,26.27,3148800,26.27
"2007-03-29",26.55,26.6,25.5,25.95,2246800,25.95
"2007-03-30",26.05,26.76,25.64,26.51,3832100,26.51
"2007-04-02",26.61,27.25,26.16,26.85,5028900,26.85
"2007-04-03",26.9,27.75,26.9,27.57,3187200,27.57
"2007-04-04",27.55,27.65,27.06,27.23,2528700,27.23
"2007-04-05",27.15,27.7,27.06,27.3,2079500,27.3
"2007-04-09",27.39,27.7,27.06,27.52,1542900,27.52
"2007-04-10",27.51,27.52,27.1,27.47,3004000,27.47
"2007-04-11",27.49,27.61,26.59,26.7,2461100,26.7
"2007-04-12",26.71,26.94,26.07,26.74,2389900,26.74
"2007-04-13",26.6,26.73,25.93,26.2,1998400,26.2
"2007-04-16",26.15,26.63,25.8,26,3059800,26
"2007-04-17",26.13,26.13,25.01,25.61,9628300,25.61
"2007-04-18",25.6,25.6,24.93,25.24,4065000,25.24
"2007-04-19",25.17,25.55,24.96,25.24,2382300,25.24
"2007-04-20",25.48,26.02,25.4,25.91,2910900,25.91
"2007-04-23",25.85,25.97,24.78,25.11,4205400,25.11
"2007-04-24",25,25.21,24.37,24.93,4386800,24.93
"2007-04-25",25.06,25.31,24.69,25.14,2634700,25.14
"2007-04-26",25.41,26.35,24.9,26.28,6179500,26.28
"2007-04-27",26.21,26.35,25.5,26.21,6051100,26.21
"2007-04-30",26.21,26.43,25.66,25.76,3434800,25.76
"2007-05-01",25.8,25.8,24.83,24.95,3311100,24.95
"2007-05-02",24.81,25.99,24.67,25.6,4384800,25.6
"2007-05-03",25.65,26.1,25.15,25.76,3794300,25.76
"2007-05-04",25.71,25.85,25.18,25.43,2473300,25.43
"2007-05-07",25.32,26.12,25.32,25.73,2468000,25.73
"2007-05-08",25.78,26.2,25.55,25.9,2541200,25.9
"2007-05-09",25.76,26.53,25.73,26.29,1872100,26.29
"2007-05-10",25.11,26.7,24.83,25.67,6284300,25.67
"2007-05-11",25.47,26.6,24.88,25.12,2530500,25.12
"2007-05-14",25.05,25.16,24.12,24.37,3796900,24.37
"2007-05-15",24.4,24.8,24.07,24.17,2465600,24.17
