"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume","USB.Adjusted"
"2007-01-03",35.61,36.29,35.61,36.17,7697500,29.85
"2007-01-04",36.17,36.25,35.91,36.2,5409000,29.88
"2007-01-05",36.19,36.19,35.7,35.77,5748100,29.52
"2007-01-08",35.7,36.19,35.49,35.65,5752100,29.43
"2007-01-09",35.73,35.88,35.36,35.63,6548400,29.41
"2007-01-10",35.64,35.74,35.39,35.61,6539100,29.39
"2007-01-11",35.61,35.75,35.42,35.51,5669100,29.31
"2007-01-12",35.6,35.67,35.45,35.55,6357000,29.34
"2007-01-16",35.6,35.82,35.24,35.75,6492700,29.51
"2007-01-17",35.69,35.96,35.59,35.76,10835200,29.52
"2007-01-18",35.01,35.77,35.01,35.57,7356500,29.36
"2007-01-19",35.7,35.71,35.31,35.46,7405500,29.27
"2007-01-22",35.45,35.52,35.26,35.29,5054700,29.13
"2007-01-23",35.25,35.4,35.19,35.4,5978700,29.22
"2007-01-24",35.5,35.68,35.38,35.52,6349300,29.32
"2007-01-25",35.52,35.58,35.25,35.27,6762400,29.11
"2007-01-26",35.34,35.65,35.33,35.54,7377200,29.33
"2007-01-29",35.5,35.66,35.38,35.38,5947000,29.2
"2007-01-30",35.39,35.39,35.21,35.33,4123000,29.16
"2007-01-31",35.26,35.62,35.12,35.6,7358100,29.38
"2007-02-01",35.6,35.6,35.4,35.59,13333600,29.38
"2007-02-02",35.59,35.84,35.59,35.81,5366900,29.56
"2007-02-05",35.71,35.81,35.51,35.72,5457200,29.48
"2007-02-06",35.71,36.09,35.66,36.02,9015400,29.73
"2007-02-07",36.01,36.05,35.9,36.01,6290600,29.72
"2007-02-08",36,36,35.85,35.93,4590400,29.66
"2007-02-09",35.94,36.07,35.78,35.84,4615000,29.58
"2007-02-12",35.81,36.08,35.81,36.02,4240800,29.73
"2007-02-13",36.42,36.42,36.02,36.25,5336000,29.92
"2007-02-14",36.25,36.29,36.07,36.2,6901600,29.88
"2007-02-15",36.6,36.6,36.14,36.35,5147100,30
"2007-02-16",36.6,36.62,36.28,36.62,7535700,30.23
"2007-02-20",36.39,36.84,36.39,36.68,6348200,30.28
"2007-02-21",36.6,36.72,36.46,36.63,4818900,30.23
"2007-02-22",36.65,36.72,36.57,36.64,4560400,30.24
"2007-02-23",36.73,36.73,36.2,36.55,6840300,30.17
"2007-02-26",36.59,36.65,36.21,36.44,4984700,30.08
"2007-02-27",36.78,36.78,34.77,35.61,10566400,29.39
"2007-02-28",35.6,35.91,35.45,35.66,10317600,29.43
"2007-03-01",35.48,35.78,35.26,35.57,11364800,29.36
"2007-03-02",35.51,35.87,35.34,35.39,8038800,29.21
"2007-03-05",35.39,36.19,35.1,35.14,10432900,29
