"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2007-01-03",62.6,63.59,62.4,62.81,4784400,53.2
"2007-01-04",62.6,63,62.45,62.87,4928200,53.25
"2007-01-05",62.6,62.99,62.07,62.68,4354300,53.09
"2007-01-08",62.46,63.59,62.01,63.19,3347200,53.52
"2007-01-09",62.97,63.1,62.23,62.47,4525000,52.91
"2007-01-10",62.22,62.87,61.85,62.69,5164200,53.1
"2007-01-11",62.99,63.95,62.72,63.7,5006700,53.96
"2007-01-12",63.49,64.72,63.4,64.42,5310900,54.57
"2007-01-16",64.82,65,64.27,64.53,4114400,54.66
"2007-01-17",64.68,65.07,64.5,64.82,4361200,54.9
"2007-01-18",64.83,65.13,64.01,64.91,4208500,54.98
"2007-01-19",65.4,65.44,64.85,65.18,4185100,55.21
"2007-01-22",64.95,64.95,63.69,64.09,4915100,54.29
"2007-01-23",65.2,66.73,65,66.14,8117700,56.02
"2007-01-24",65.98,66.96,65.8,66.83,5243400,56.61
"2007-01-25",66.97,67.1,66.1,66.21,4677700,56.08
"2007-01-26",66.11,66.55,65.66,66.04,4598900,55.94
"2007-01-29",65.62,66.24,65.42,65.69,4321000,55.64
"2007-01-30",65.94,67.28,65.9,66.95,7571000,56.71
"2007-01-31",66.83,68.24,66.6,68.02,5206200,57.62
"2007-02-01",68.05,68.73,67.9,68.58,5902800,58.09
"2007-02-02",68.75,68.75,67.83,68,4539400,57.6
"2007-02-05",67.99,68.64,67.41,67.77,3531900,57.4
"2007-02-06",68.03,68.6,67.8,68.41,3606400,57.95
"2007-02-07",68.41,68.75,68.08,68.51,2882300,58.03
"2007-02-08",68.51,68.73,67.84,68.05,3006300,57.64
"2007-02-09",68.15,68.45,67.44,67.58,2040900,57.24
"2007-02-12",67.59,67.59,66.78,67.04,4108200,56.79
"2007-02-13",67.05,67.45,67,67.2,3017100,56.92
"2007-02-14",67.35,68.44,67.1,68.17,3796900,57.97
"2007-02-15",68.51,69.35,68.26,68.93,5398800,58.62
"2007-02-16",69.27,69.49,68.38,68.68,3320200,58.4
"2007-02-20",68.84,69,67.98,68.13,6113500,57.94
"2007-02-21",68,68.03,67.5,67.58,4555100,57.47
"2007-02-22",67.51,68.06,67.06,67.5,3133700,57.4
"2007-02-23",67.25,67.59,67.01,67.55,2619000,57.44
"2007-02-26",67.8,68.2,66.8,67.23,3182800,57.17
"2007-02-27",66.25,66.8,64.75,65.46,6964300,55.67
"2007-02-28",65.51,66.32,65.09,65.64,6182800,55.82
"2007-03-01",64.68,65.33,64.07,65.12,7019900,55.38
"2007-03-02",64.7,65.01,64.3,64.35,5194700,54.72
"2007-03-05",63.75,64.45,63.45,63.54,5176700,54.03
"2007-03-06",63.83,64.27,63.6,64.18,4864500,54.58
"2007-03-07",64.17,64.55,64,64.26,4072600,54.65
"2007-03-08",64.61,64.89,64.41,64.56,2445300,54.9
"2007-03-09",64.8,65,64.18,64.5,2560100,54.85
"2007-03-12",64.5,65.47,64.49,65.35,2535300,55.57
"2007-03-13",65.2,65.2,64.28,64.31,4101300,54.69
"2007-03-14",64.46,64.89,63.59,64.75,4775800,55.06
"2007-03-15",64.66,64.85,64.11,64.4,3967900,54.76
"2007-03-16",64.64,64.79,64.03,64.6,5468200,54.94
"2007-03-19",65.38,65.65,64.93,65.07,3345300,55.33
"2007-03-20",65.28,65.34,64.76,65.24,2640100,55.48
"2007-03-21",65.49,66.48,65.4,66.18,3932000,56.28
"2007-03-22",66.14,66.5,65.66,66.08,3109100,56.19
"2007-03-23",65.88,66.9,65.65,66.73,3403500,56.75
"2007-03-26",67.2,67.3,65.93,66.41,7351700,56.47
"2007-03-27",66.19,66.4,65.92,66.11,4106600,56.22
"2007-03-28",65.95,66.03,64.86,65.37,3946500,55.59
"2007-03-29",65.51,65.81,64.9,64.99,4849500,55.27
"2007-03-30",64.86,65.2,64.31,65,5052100,55.28
"2007-04-02",65.03,65.4,64.65,64.72,4150900,55.04
"2007-04-03",65.23,65.5,65.11,65.27,4352900,55.5
"2007-04-04",65.48,65.54,64.64,64.93,7149100,55.22
"2007-04-05",64.77,65.03,64.6,64.93,4147700,55.22
"2007-04-09",65,65.17,64.75,65.06,3929000,55.33
"2007-04-10",65.01,65.1,64.23,64.45,8322500,54.81
"2007-04-11",64.4,64.5,63.7,64.08,6777800,54.49
"2007-04-12",63.93,64.82,63.65,64.74,4130000,55.05
"2007-04-13",64.74,65.08,64.41,65.05,3631100,55.32
"2007-04-16",65.54,65.85,65.19,65.79,4239300,55.95
"2007-04-17",65.99,66.19,65.45,66.18,4763000,56.28
"2007-04-18",67.08,67.33,66.14,66.92,7113700,56.91
"2007-04-19",67,67.3,66.2,67.22,4944000,57.16
"2007-04-20",68.49,68.49,67.1,67.48,7625600,57.38
"2007-04-23",67.55,68.04,67.48,67.78,6091300,57.64
"2007-04-24",68.07,68.25,67.57,67.77,5300600,57.63
"2007-04-25",67.91,68.05,67.21,68.04,3872800,57.86
"2007-04-26",67.87,68.18,67.59,67.65,3804800,57.53
"2007-04-27",67.35,67.77,67.15,67.69,3341000,57.56
"2007-04-30",67.83,67.95,67.1,67.13,3744700,57.09
"2007-05-01",66.98,67.89,66.98,67.73,3261000,57.6
"2007-05-02",67.5,68.63,67.44,68.4,4423800,58.17
"2007-05-03",68.26,68.4,67.74,67.93,4659400,57.77
"2007-05-04",68.29,68.72,67.85,68,3379200,57.83
"2007-05-07",68.15,69.08,68.03,69.05,4196900,58.72
"2007-05-08",68.63,68.75,68.1,68.34,3289600,58.12
