"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2007-01-03",50.89,50.99,49.58,50.05,15084300,40.22
"2007-01-04",49.89,49.89,48.84,48.89,16571500,39.29
"2007-01-05",48.88,49.47,48.48,49.36,13854600,39.66
"2007-01-08",49.94,50.33,49.11,49.37,13070200,39.67
"2007-01-09",48.94,49.34,48.46,48.94,14909700,39.33
"2007-01-10",48.76,49.59,47.66,48.21,15918000,38.74
"2007-01-11",48.55,49.94,48.25,48.66,18752300,39.1
"2007-01-12",48.99,50.75,48.93,50.57,15705900,40.64
"2007-01-16",50.34,50.67,49.65,49.79,11319700,40.01
"2007-01-17",49.97,50.94,49.84,50.66,12863400,40.71
"2007-01-18",50.65,51.15,49.78,49.96,12463000,40.15
"2007-01-19",50.19,51.15,50.08,51.04,14344000,41.01
"2007-01-22",51.45,52.44,51.25,51.92,18251700,41.72
"2007-01-23",52.17,53.27,52.17,52.99,15003400,42.58
"2007-01-24",52.65,53.73,52.15,53.55,12229300,43.03
"2007-01-25",53.42,53.56,52.01,52.14,9963300,41.9
"2007-01-26",52.46,52.83,52.15,52.49,9002500,42.18
"2007-01-29",52.74,53.5,52.25,52.61,12403900,42.27
"2007-01-30",53.19,54.12,53,53.85,12747700,43.27
"2007-01-31",53.89,54.46,53.38,54.28,13800900,43.62
"2007-02-01",55.41,56.5,55.1,56.03,22293300,45.02
"2007-02-02",56.55,56.58,55.35,56.23,11794300,45.18
"2007-02-05",56.48,56.53,55.41,55.69,11145300,44.75
"2007-02-06",56.2,56.25,55.13,55.3,9337400,44.44
"2007-02-07",55.5,56.05,54.92,55.23,8913800,44.38
"2007-02-08",55.04,56.06,54.62,55.92,10710300,44.93
"2007-02-09",56.19,56.24,55.26,55.62,10928600,44.69
"2007-02-12",55,55.25,54.64,55.06,10587700,44.34
"2007-02-13",55.35,55.95,55.29,55.77,7443200,44.91
"2007-02-14",56.03,56.44,55.4,55.91,9620600,45.02
"2007-02-15",55.66,55.97,55.25,55.56,8357200,44.74
"2007-02-16",55.31,56.06,55.25,55.96,6644700,45.06
"2007-02-20",55.21,55.97,55.02,55.97,7207700,45.07
"2007-02-21",56,58.1,55.95,57.9,17460500,46.63
"2007-02-22",57.97,58.99,57.82,58.78,13929600,47.33
"2007-02-23",59.02,59.65,58.53,58.77,11595700,47.33
"2007-02-26",59.48,59.67,58.65,59,9999500,47.51
"2007-02-27",57.87,59,55.85,57.38,16501300,46.21
"2007-02-28",57.23,58.19,57.12,57.54,13531000,46.34
"2007-03-01",57.2,58.4,56.23,57.97,13127500,46.68
"2007-03-02",57.97,58.05,56.81,57,10967100,45.9
"2007-03-05",55.1,56.39,54.75,55.91,14107500,45.02
"2007-03-06",56.98,57.98,56.63,57.84,13355400,46.58
"2007-03-07",57.8,60.59,57.76,59.8,23987400,48.16
"2007-03-08",60.33,60.69,59.49,60,18793200,48.32
"2007-03-09",60.43,61,59.88,60.23,13460800,48.5
"2007-03-12",59.76,60.79,59.7,60.29,10365300,48.55
"2007-03-13",60.48,61.47,59.85,60.19,16981700,48.47
"2007-03-14",60.27,61.35,60.01,61.27,18843500,49.34
"2007-03-15",61.25,61.4,60.39,60.51,13101700,48.73
"2007-03-16",60.27,60.66,59.57,60.01,12786600,48.33
"2007-03-19",60.36,60.95,60.03,60.79,13021800,48.95
"2007-03-20",60.96,61.63,60.24,61.6,15167700,49.61
"2007-03-21",61.92,62.15,61.27,61.82,14368200,49.78
"2007-03-22",62.32,63.01,61.97,62.7,14474700,50.49
"2007-03-23",63.15,63.86,62.9,63.65,13477200,51.26
"2007-03-26",63.92,64.46,63.07,64.35,15178800,51.82
"2007-03-27",64.1,64.97,63.86,64.9,12636800,52.26
"2007-03-28",65.43,66.02,63.9,64.07,21217300,51.59
"2007-03-29",64.39,65.26,64.24,65.14,13457800,52.46
"2007-03-30",65.33,65.87,64.42,64.49,14537700,51.93
"2007-04-02",64.78,65.2,64.56,64.93,8759400,52.29
"2007-04-03",64.42,65.25,63.53,64.6,13754100,52.02
"2007-04-04",64.43,66.01,64.11,65.93,17114600,53.09
"2007-04-05",66,66.46,65.75,66.01,9502600,53.16
"2007-04-09",66.27,67.54,65.92,67.15,13647200,54.08
"2007-04-10",67.15,67.5,66.78,67.3,12402900,54.2
"2007-04-11",67.39,68,67.15,67.38,14357400,54.26
"2007-04-12",67.51,68.74,67.33,68.66,12814200,55.29
"2007-04-13",68.88,68.88,68.1,68.4,9763600,55.08
"2007-04-16",68.14,68.14,66.3,66.92,19189200,53.89
"2007-04-17",67.2,67.41,64.76,65.31,17644500,52.59
"2007-04-18",64.76,65.13,63.92,64.96,22929500,52.31
"2007-04-19",64.64,65.05,64.28,64.79,13112500,52.17
"2007-04-20",65.23,66.06,64.68,65.93,17196800,53.09
"2007-04-23",66.83,68.39,66.52,68.24,22713200,54.95
"2007-04-24",68.4,68.89,67.88,68.52,16469200,55.18
"2007-04-25",68.9,70.83,68.35,70.32,22420000,56.63
"2007-04-26",71.4,73.1,70.4,71.74,25027500,57.77
"2007-04-27",71.36,71.96,70.76,71.21,13262500,57.34
"2007-04-30",71.42,72.69,70.23,70.23,19289700,56.56
"2007-05-01",70.35,71.37,70,71.15,17429000,57.3
"2007-05-02",71.4,72.98,71.27,72.9,17204900,58.71
"2007-05-03",71.8,73.87,71.79,73.32,18436600,59.04
"2007-05-04",73.82,74.68,72.89,73.35,13338300,59.07
"2007-05-07",73.2,73.75,72.35,72.48,10398000,58.37
"2007-05-08",72.35,73.81,71.82,73.66,11412600,59.32
"2007-05-09",73.53,74.39,72.85,74.13,12910400,59.7
"2007-05-10",74.68,74.87,72.45,72.59,13995300,58.46
"2007-05-11",73.07,74.36,73.07,73.83,14496900,59.45
"2007-05-14",74.05,74.93,73.4,73.7,13571500,59.45
"2007-05-15",73.05,73.85,72.75,72.76,12612300,58.69
"2007-05-16",73.04,73.25,70.5,72.03,17564100,58.1
"2007-05-17",72.14,73.7,71.52,73.07,14720200,58.94
"2007-05-18",73.4,74.21,73.16,73.97,13458800,59.66
"2007-05-21",74.74,76.57,74.4,75.78,24674600,61.12
"2007-05-22",76.2,77.24,75.66,75.75,18295400,61.1
"2007-05-23",76.2,76.48,74.51,74.51,27103500,60.1
"2007-05-24",74.84,75.65,72.96,73.15,16980600,59
"2007-05-25",74.01,74.89,73.94,74.74,10468500,60.29
"2007-05-29",73.79,74.57,73.18,73.62,12397000,59.38
"2007-05-30",73.25,75.42,73.02,75.19,15988200,60.65
"2007-05-31",75.02,75.86,74.17,74.62,14911200,60.19
"2007-06-01",75.14,76.25,75,75.88,9263000,61.2
"2007-06-04",75.92,76.87,75.91,76.28,9380200,61.53
"2007-06-05",76.06,76.73,75.5,76.02,10990400,61.32
"2007-06-06",75.75,75.87,73.56,74.26,13472500,59.9
"2007-06-07",74.57,75.48,72.88,73.04,15100700,58.91
"2007-06-08",72.46,73.43,71.85,73.43,11690400,59.23
"2007-06-11",73.52,74.2,73.13,73.82,6907200,59.54
"2007-06-12",73.36,73.97,72.92,72.92,8651600,58.82
"2007-06-13",73.32,75,73.08,74.66,12671900,60.22
"2007-06-14",75.14,76.36,75.07,76.03,13363900,61.33
