"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"2007-01-03",90.23,91.85,89.17,89.95,550400,78.87
"2007-01-04",90.04,90.63,89.2,89.69,383700,78.64
"2007-01-05",89.35,89.39,87.7,88.26,680300,77.39
"2007-01-08",88.26,88.94,87.27,88.86,734000,77.92
"2007-01-09",88.89,90.1,88.85,89.75,488800,78.7
"2007-01-10",89.5,90.23,88.59,90.07,418300,78.98
"2007-01-11",90.32,92.12,90.05,91.65,511200,80.36
"2007-01-12",91.35,93.12,91.02,93.12,516700,81.65
"2007-01-16",93.05,94.63,92.75,94.62,615300,82.97
"2007-01-17",94.62,95.88,94.11,95.76,808200,83.97
"2007-01-18",95.8,96.39,94.98,95.56,762800,83.79
"2007-01-19",96,97.12,95.6,96.79,1003700,84.87
"2007-01-22",96.8,97.1,95.74,96,566200,84.18
"2007-01-23",96.15,100.23,96,100.1,1087200,87.77
"2007-01-24",100,102.83,99.3,101.75,1256900,89.22
"2007-01-25",101.5,102.06,99.79,100.76,833100,88.35
"2007-01-26",100.83,101.19,99.97,100.65,422200,88.26
"2007-01-29",100.89,100.95,100.28,100.59,483700,88.2
"2007-01-30",100.62,101.29,100.09,101.11,621100,88.66
"2007-01-31",100.72,102.46,100.5,101.84,779700,89.3
"2007-02-01",103.75,104.9,103,103.21,1279100,90.5
"2007-02-02",103.21,103.79,102.33,103.03,707700,90.34
"2007-02-05",103.55,106.21,103.2,105.43,1036500,92.45
"2007-02-06",105.6,107.09,105.45,106.92,735700,93.75
"2007-02-07",107.3,107.4,106.39,107.1,425000,93.91
"2007-02-08",107.1,110.13,106.51,109.2,1083100,95.75
"2007-02-09",109.25,110.97,108.46,109.19,1351900,95.74
"2007-02-12",108.35,109.23,107.35,108.17,830600,94.85
"2007-02-13",108.85,111.87,108.83,111.41,792300,97.69
"2007-02-14",111.66,113.38,111.5,111.8,661900,98.03
"2007-02-15",111.95,112.5,111.2,112.31,477800,98.48
"2007-02-16",112.26,112.38,110.19,111.81,507300,98.04
"2007-02-20",109.55,112.68,109.09,111.14,1925600,97.45
"2007-02-21",110.68,125.79,109.77,121.99,5744300,107.41
"2007-02-22",122,124,118.68,119.5,2748300,105.22
"2007-02-23",119.5,120.21,118.8,119.84,1146300,105.52
"2007-02-26",120.02,121.39,118.63,119.74,1311400,105.43
"2007-02-27",116.41,118.78,107.3,114.5,3062300,100.82
"2007-02-28",114.04,116.87,113,116.65,2271400,102.71
"2007-03-01",114.8,119.8,110,118.24,1951200,104.11
"2007-03-02",118.24,119.1,116.27,117.09,1185500,103.1
"2007-03-05",116.6,116.6,113.29,113.46,1210300,99.9
"2007-03-06",114.9,115.74,113.77,114.84,894700,101.12
"2007-03-07",114.42,118.81,114.09,117.16,1134300,103.16
"2007-03-08",119.38,120.45,118.6,119.93,832200,105.6
"2007-03-09",120.21,120.53,118.17,118.63,1054600,104.45
"2007-03-12",118.73,120.19,118.44,119.31,1e+06,105.05
"2007-03-13",119.31,119.31,115.43,116.01,1460500,102.15
"2007-03-14",116.55,117.58,114.08,115.36,1659900,101.57
"2007-03-15",115.77,118.21,115.52,117.26,1096200,103.25
"2007-03-16",118.17,118.17,114.52,114.99,1430300,101.25
"2007-03-19",115.24,115.9,114.71,115.48,853200,101.68
"2007-03-20",116,117.63,114.88,117.41,881600,103.38
"2007-03-21",117.21,120.47,117.02,119.79,1279500,105.47
"2007-03-22",120.59,121.26,118.32,119.61,597600,105.32
"2007-03-23",119.86,120.73,118.5,119.1,456700,104.87
"2007-03-26",119.22,119.35,116.68,118.47,542100,104.31
"2007-03-27",117.78,118.52,115.85,116.99,529100,103.01
"2007-03-28",116.99,117.41,115.06,116.05,916800,102.18
"2007-03-29",116.3,117.57,114.93,116.87,794000,102.9
"2007-03-30",116.88,117.97,114.76,116.48,578200,102.56
"2007-04-02",116.43,117.25,115.5,115.96,620200,102.1
"2007-04-03",115.96,119.09,115.96,118.82,834600,104.62
"2007-04-04",118.97,119.45,117.72,118.02,422200,103.92
"2007-04-05",118.07,118.8,117.58,118.46,372500,104.3
"2007-04-09",118.5,118.95,117.22,118.12,335900,104
"2007-04-10",118.23,121.57,118.23,118.93,1051400,104.72
"2007-04-11",118.84,119,115.71,116.14,821200,102.26
"2007-04-12",116.2,116.26,114.6,116,1215300,102.14
"2007-04-13",116,116.08,113.54,114.33,846500,100.67
"2007-04-16",112.63,117.3,112.63,116.89,1156300,102.92
"2007-04-17",116.9,116.9,113.86,115.06,991400,101.31
"2007-04-18",115.06,115.06,111.87,113.55,1293200,99.98
"2007-04-19",115.25,115.25,111.8,113.75,1223900,100.16
"2007-04-20",115.51,117.37,115.47,116.99,1183400,103.01
"2007-04-23",116.99,118.28,116.55,117.79,612700,103.71
"2007-04-24",117.79,117.84,115.09,117.46,959000,103.42
"2007-04-25",118.22,120.14,117.5,119.77,888500,105.46
"2007-04-26",119.5,121.75,119.07,121.54,979400,107.02
"2007-04-27",121.5,122.94,120,122.16,1132200,107.56
"2007-04-30",123.75,128.62,123.67,123.67,1971700,108.89
"2007-05-01",116,121.73,114.78,115.27,4140100,101.49
"2007-05-02",115.92,119.7,115,116.69,1487200,102.75
"2007-05-03",117.17,119.84,116.02,118.61,1435500,104.44
"2007-05-04",119.18,119.77,118.13,118.46,794900,104.3
"2007-05-07",118.4,119.69,118.01,118.74,666300,104.55
"2007-05-08",117.74,118.41,116.54,118.28,760900,104.14
"2007-05-09",118.25,118.26,115.84,116.89,1056500,102.92
"2007-05-10",116.09,116.75,113.62,113.82,1056000,100.22
"2007-05-11",114.64,115.17,112.88,114.86,999500,101.13
"2007-05-14",114.86,114.9,111.46,111.76,1385700,98.4
"2007-05-15",112,113.19,111.51,112.34,1049600,98.91
"2007-05-16",113.17,114.96,112.75,114.76,850600,101.05
"2007-05-17",114.77,115.24,113.18,114.63,737700,100.93
"2007-05-18",115.01,115.02,113.76,114.42,593000,100.75
"2007-05-21",114.25,116.19,114.25,115.83,920500,101.99
"2007-05-22",115.4,117.78,115.07,117.47,904100,103.43
"2007-05-23",116.81,118.97,116.8,117.37,946100,103.75
"2007-05-24",117.57,119.79,116.44,116.71,1426200,103.17
"2007-05-25",117.5,118.47,116.24,117.33,412800,103.71
"2007-05-29",117.52,118.97,116.68,118.1,508400,104.4
"2007-05-30",117.62,120.49,116.47,120.22,1079800,106.27
"2007-05-31",120.22,121.11,119.04,119.69,687400,105.8
"2007-06-01",120.21,122.47,119.6,121.53,1290600,107.43
"2007-06-04",121.28,122.26,119.51,121.36,590500,107.28
"2007-06-05",120.82,120.82,118.89,120.23,743000,106.28
"2007-06-06",120.25,120.25,116.99,117.62,606400,103.97
"2007-06-07",117.09,117.62,113.23,113.76,1048200,100.56
"2007-06-08",113.76,116.7,112.86,116.52,1099000,103
"2007-06-11",116.5,117.82,114.7,116.85,761900,103.29
"2007-06-12",116.84,116.84,114.38,115.08,969400,101.73
"2007-06-13",115.85,117.83,115.35,117.83,905600,104.16
"2007-06-14",118.18,119.35,117.59,119.01,521600,105.2
"2007-06-15",120.5,121.35,119.81,121.02,941700,106.98
"2007-06-18",120.85,122.25,120.43,120.98,542200,106.94
"2007-06-19",120.73,121.1,118.21,118.99,762500,105.18
"2007-06-20",119.53,119.9,116.8,116.97,850200,103.4
"2007-06-21",116.85,119.69,115.9,119.5,874700,105.63
"2007-06-22",119.35,120.89,117.96,118.08,1151800,104.38
"2007-06-25",118.09,119.54,115.52,116.24,1097300,102.75
"2007-06-26",116.48,117,113.55,113.8,990100,100.59
"2007-06-27",113.15,116.13,112.11,115.96,827900,102.5
"2007-06-28",115.96,116.62,114.73,114.92,765000,101.58
"2007-06-29",115.54,116.63,113.77,114.54,669700,101.25
"2007-07-02",115.16,115.6,114.63,115.28,587800,101.9
"2007-07-03",115.52,116.52,114.8,115,294400,101.66
"2007-07-05",115.56,115.83,112.94,113.78,1194500,100.58
"2007-07-06",113.73,116.04,113.52,115.59,912600,102.18
"2007-07-09",115.57,115.82,112.22,113.14,1104000,100.01
"2007-07-10",112.24,112.25,109.56,109.84,1442800,97.09
"2007-07-11",110.83,111.61,109,110.62,1381100,97.78
"2007-07-12",111.49,116.3,110.62,115.08,1298800,101.73
"2007-07-13",115.15,115.77,113.71,114.42,696200,101.14
"2007-07-16",113.6,113.96,110.65,111.08,1252100,98.19
"2007-07-17",111.32,112.3,110.51,111.26,1092200,98.35
"2007-07-18",110.94,112.57,110.03,112.42,999900,99.37
"2007-07-19",106.07,109,105.77,106.23,3056500,93.9
"2007-07-20",105.77,106.35,102.35,103.17,1923200,91.2
"2007-07-23",103.31,104.66,102.82,103.1,1630800,91.14
"2007-07-24",102.4,103.98,100.87,101.08,1460800,89.35
"2007-07-25",101.53,102.69,99.44,100.26,1574000,88.63
"2007-07-26",98.43,100.19,94.08,96.59,4305300,85.38
"2007-07-27",96.94,98.01,95.35,95.53,1873500,84.44
"2007-07-30",95.4,96.3,93.29,95.12,2330500,84.08
"2007-07-31",94.65,98.32,94.65,95.72,1856200,84.61
"2007-08-01",95.34,96.89,90.34,96.6,2294400,85.39
"2007-08-02",96.6,97.5,92.59,96.78,2091900,85.55
"2007-08-03",96.44,97.61,93.67,93.76,1333700,82.88
"2007-08-06",94.5,95.78,91.42,95.74,2214100,84.63
"2007-08-07",95.1,96.7,92.84,95.49,2555600,84.41
"2007-08-08",96.42,100.71,96.36,98.82,1930100,87.35
"2007-08-09",96.88,99.15,95.13,97.65,1615900,86.32
"2007-08-10",95.69,97.8,92.91,96.15,1665200,84.99
"2007-08-13",96.96,98.16,92.96,94.98,1327400,83.96
"2007-08-14",95.32,95.32,89.88,90.62,2216600,80.1
"2007-08-15",90.64,91.65,86.45,88.52,2104000,78.25
"2007-08-16",86.41,86.95,80.5,86.91,3659000,76.82
"2007-08-17",88.96,91.35,85.19,88.46,1917500,78.19
"2007-08-20",88.46,89.36,86.02,88.17,1753300,77.94
"2007-08-21",87.11,88.02,86.33,87.17,1355800,77.05
"2007-08-22",87.5,92.69,87.44,90.81,1287900,80.7
"2007-08-23",91.36,92.48,88.59,88.87,900700,78.97
"2007-08-24",89.2,91.78,88.94,91.59,622800,81.39
"2007-08-27",91.61,92.81,90.39,90.92,833100,80.8
"2007-08-28",90.5,90.87,86.81,87.35,3852600,77.62
"2007-08-29",88.1,90.05,87.4,89.94,705800,79.92
"2007-08-30",89.7,90.53,88,88.69,1067400,78.81
"2007-08-31",89.9,90.9,88.9,90.01,666100,79.99
"2007-09-04",89.51,90.79,87.82,89.67,821700,79.68
"2007-09-05",89.05,90.06,87.11,87.4,1391600,77.67
"2007-09-06",87.97,88.22,85.62,87.3,1122600,77.58
"2007-09-07",86.41,86.65,84.13,84.65,1073000,75.22
"2007-09-10",84.57,85.3,81.5,82.79,1350600,73.57
"2007-09-11",83.05,86.46,82.79,85.62,1234200,76.09
"2007-09-12",85.41,87.02,84.51,85.77,917900,76.22
"2007-09-13",86.73,87.48,86.09,86.5,645100,76.87
"2007-09-14",86.14,86.14,84.92,85.15,925900,75.67
"2007-09-17",85.14,85.5,80.66,82.23,1656100,73.07
"2007-09-18",82.56,85.97,82.27,85.84,1727800,76.28
"2007-09-19",86.5,88.93,84.67,84.91,1942600,75.45
"2007-09-20",85.11,85.93,83.28,83.97,1988500,74.62
"2007-09-21",85,87.71,83.97,86.82,2334500,77.15
"2007-09-24",87.12,87.51,85.64,86.02,1179700,76.44
"2007-09-25",85.27,85.87,83.69,84.77,1537800,75.33
"2007-09-26",84.67,85.45,83.47,85.04,1874100,75.57
"2007-09-27",84.85,89.9,84.85,89.22,1701600,79.29
"2007-09-28",89.32,89.32,87.05,89.15,1956300,79.22
"2007-10-01",89.1,91.78,89.1,91.65,1203200,81.44
"2007-10-02",91.81,95.22,91.61,94.75,1230000,84.2
"2007-10-03",94.45,95.5,93.59,94.85,1019400,84.29
"2007-10-04",94.98,95.05,92.84,93.69,889700,83.26
"2007-10-05",94.35,95.5,93.84,95.03,1051200,84.45
"2007-10-08",95.11,96.09,93.82,94.12,590600,83.64
"2007-10-09",94.45,94.45,92.75,93,904800,82.64
"2007-10-10",93.1,93.59,90.8,92,840700,81.76
"2007-10-11",92.73,93,90,90.58,1075100,80.49
"2007-10-12",91.02,92.35,90.25,92.32,1545000,82.04
"2007-10-15",92.96,94.04,91.75,92.57,1769600,82.26
"2007-10-16",91.75,91.9,89.74,90.08,2252100,80.05
"2007-10-17",90.77,90.85,89.44,89.88,2247400,79.87
"2007-10-18",89.78,90.08,86.8,87.24,1497300,77.53
"2007-10-19",87.18,87.18,84.76,85.4,1807800,75.89
"2007-10-22",84.88,86.16,83.47,85.59,2009200,76.06
"2007-10-23",85.91,87.3,84.39,85.29,1437500,75.79
"2007-10-24",85.18,86.61,84.53,86.28,1740000,76.67
"2007-10-25",85.89,87.11,85.37,86.54,1648600,76.9
"2007-10-26",87.7,88.85,86.99,88.21,1164700,78.39
"2007-10-29",88.63,89.81,87.9,88.56,856700,78.7
"2007-10-30",83.5,87.78,83.5,86.22,2728300,76.62
"2007-10-31",86.55,86.8,84.46,85.51,1971600,75.99
"2007-11-01",84.3,85,82.41,82.69,2101600,73.48
"2007-11-02",82.8,83.01,80.54,82.82,1906100,73.6
"2007-11-05",82,82.25,79.5,80.51,1534900,71.54
"2007-11-06",80.97,85.29,80.51,84.76,2549600,75.32
"2007-11-07",84.76,84.76,79.96,79.96,1950100,71.06
"2007-11-08",81.01,82.16,77.36,79.54,2042100,70.68
"2007-11-09",79.4,82.2,78,80.7,1709400,71.71
"2007-11-12",80.4,83.61,80.3,80.98,2001400,71.96
"2007-11-13",81.82,84.03,81.13,83.82,1477500,74.49
"2007-11-14",84.5,86.09,83.04,83.29,1737600,74.02
"2007-11-15",86,86.57,82.48,83.31,2215200,74.03
"2007-11-16",84.04,84.3,81.56,82.77,3328800,73.55
"2007-11-19",82.41,82.66,80.19,80.81,4255100,71.81
"2007-11-20",81.1,82.65,80.54,81.9,2693300,72.78
"2007-11-21",80.86,82.06,80.04,81.31,2512000,72.66
"2007-11-23",81.64,82.14,81.18,81.71,877100,73.02
"2007-11-26",82.13,82.78,80.3,80.48,1789900,71.92
"2007-11-27",80.3,82.06,80.3,82.01,1635800,73.29
"2007-11-28",82.99,86.69,82.75,86.51,2890100,77.31
"2007-11-29",86.06,87.9,85.58,87.26,1570100,77.98
"2007-11-30",88.2,90,87.89,88.8,2102300,79.36
"2007-12-03",89.07,89.32,87.55,87.65,1289800,78.33
"2007-12-04",86.12,86.42,83.38,83.63,1589300,74.74
"2007-12-05",84.57,86.34,83.66,84.19,1157300,75.24
"2007-12-06",84.16,88.36,83.85,88.28,1584400,78.89
"2007-12-07",88.27,89.85,87.58,87.95,1262400,78.6
"2007-12-10",86.03,89.74,85.9,89.17,1237300,79.69
"2007-12-11",89.49,90.56,84.54,84.83,1359900,75.81
"2007-12-12",86.91,88.26,83.46,84.8,1255600,75.78
"2007-12-13",84.34,84.9,83.24,84.43,1016800,75.45
"2007-12-14",82.51,83.86,81.43,81.43,1132200,72.77
"2007-12-17",80.91,81.31,80.16,80.16,1592000,71.64
"2007-12-18",80.58,81.6,80.01,81.33,1531900,72.68
"2007-12-19",81.94,81.94,80.51,81.02,1592600,72.4
"2007-12-20",81.78,81.78,79.59,80.47,2128400,71.91
"2007-12-21",82.04,82.04,81,81.47,1609600,72.81
"2007-12-24",82.28,82.28,80.67,81.29,1405200,72.65
"2007-12-26",80.81,81.34,79.77,80.7,804400,72.12
"2007-12-27",79.76,80.42,78.12,78.57,983100,70.22
"2007-12-28",79.07,79.85,77.43,77.43,1606700,69.2
"2007-12-31",77.43,79.86,77.04,79.09,1198900,70.68
"2008-01-02",79.41,79.49,76.01,76.42,2301300,68.29
"2008-01-03",76.89,77.28,74.03,74.32,1775000,66.42
"2008-01-04",74,74,70.98,71.01,1899400,63.46
"2008-01-07",71.72,73.64,69.44,71.01,2699400,63.46
"2008-01-08",71.33,72.12,67.42,67.5,2060500,60.32
"2008-01-09",67.45,68.4,65.95,68.37,2985800,61.1
"2008-01-10",67,68.46,65.51,67.74,2503800,60.54
"2008-01-11",67.49,69.87,65.99,68.63,2270400,61.33
