"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"2007-01-03",20.55,20.71,20.01,20.44,3403000,19.84
"2007-01-04",20.34,20.53,19.9,20.52,4016600,19.92
"2007-01-05",20.06,20.1,19.55,19.9,6402500,19.32
"2007-01-08",19.89,20.1,19.62,19.91,3007600,19.33
"2007-01-09",19.92,20.23,19.8,19.99,4295600,19.4
"2007-01-10",19.99,20.76,19.92,20.55,4305200,19.95
"2007-01-11",20.74,21.38,20.6,21.15,5298600,20.53
"2007-01-12",21.2,21.21,20.81,21.04,1842300,20.42
"2007-01-16",21,21.14,20.74,20.78,1702200,20.17
"2007-01-17",20.71,21.35,20.62,21.12,2503200,20.5
"2007-01-18",21,21,20.15,20.25,5296100,19.66
"2007-01-19",20.16,20.44,20.01,20.15,4372200,19.56
"2007-01-22",20.32,20.36,19.85,20.04,2899300,19.45
"2007-01-23",20.04,20.19,19.64,19.9,4061200,19.32
"2007-01-24",20.4,21.08,20.31,20.83,4599100,20.22
"2007-01-25",20.89,21.07,20.49,20.8,4978900,20.19
"2007-01-26",20,20,18.8,19.11,11248800,18.55
"2007-01-29",19.21,19.7,19.2,19.58,6629500,19
"2007-01-30",19.42,19.55,19.22,19.45,4744000,18.88
"2007-01-31",19.13,19.68,19.03,19.6,4195800,19.02
"2007-02-01",19.62,19.8,19.33,19.44,3390400,18.87
"2007-02-02",19.44,19.58,19.25,19.32,3175700,18.75
"2007-02-05",19.32,19.35,18.97,19.19,2597200,18.63
"2007-02-06",19.27,19.3,18.81,19.09,2105900,18.53
"2007-02-07",19.15,19.3,19.03,19.14,2080500,18.58
"2007-02-08",19.23,19.27,19.02,19.11,2058500,18.55
"2007-02-09",19.11,19.21,18.6,18.84,2458200,18.29
"2007-02-12",18.84,18.93,18.61,18.67,1578200,18.12
"2007-02-13",18.67,18.82,18.48,18.72,2036100,18.17
"2007-02-14",18.73,19.22,18.72,19.02,3195900,18.46
"2007-02-15",19.1,19.21,18.8,18.9,3147100,18.34
"2007-02-16",18.9,18.95,18.75,18.85,1627000,18.3
"2007-02-20",18.67,19,18.56,18.91,1744700,18.35
"2007-02-21",19.02,19.47,18.84,19.45,3546600,18.88
"2007-02-22",19.5,19.61,19.2,19.29,2035500,18.72
"2007-02-23",19.84,20.2,19.8,20.15,4387200,19.56
"2007-02-26",20.38,20.4,20.03,20.17,3800300,19.58
"2007-02-27",19.51,19.94,18.96,19.21,3313800,18.65
"2007-02-28",19.65,19.65,19,19.17,3359100,18.61
"2007-03-01",19,19.31,18.9,19.09,4640200,18.53
"2007-03-02",19.08,19.16,18.39,18.54,4673600,18
"2007-03-05",18.35,18.63,18.12,18.15,3714000,17.62
"2007-03-06",18.3,18.45,18.17,18.29,2914000,17.75
