"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2007-01-03",47.61,48.04,47.47,47.93,862800,19.29
"2007-01-04",47.93,48.03,47.63,47.94,613200,19.29
"2007-01-05",47.17,47.91,46.9,46.95,673400,18.89
"2007-01-08",46.83,46.83,46.47,46.52,963000,18.72
"2007-01-09",46.44,46.5,46.11,46.38,902400,18.66
"2007-01-10",46.25,46.58,46.18,46.4,1442000,18.67
"2007-01-11",46.5,47.01,46.45,46.61,444000,18.76
"2007-01-12",46.73,46.89,46.52,46.65,513000,18.77
"2007-01-16",46.78,47.2,46.78,46.84,799400,18.85
"2007-01-17",46.81,46.83,46.57,46.7,635000,18.79
"2007-01-18",45.82,46.73,45.82,46.42,580200,18.68
"2007-01-19",46.43,46.59,46.12,46.53,621000,18.72
"2007-01-22",46.6,46.6,46.25,46.4,481600,18.67
"2007-01-23",46.41,46.41,46.09,46.27,975800,18.62
"2007-01-24",46.2,46.55,46.2,46.5,741600,18.71
"2007-01-25",46.26,46.45,46.15,46.21,936000,18.6
"2007-01-26",46.24,46.3,45.67,45.97,1496400,18.5
"2007-01-29",45.97,46.12,45.86,46.1,918800,18.55
"2007-01-30",46.04,46.7,46.03,46.44,864000,18.69
"2007-01-31",46.34,46.69,46.1,46.56,624600,18.74
"2007-02-01",46.6,47.08,46.51,47,918200,18.91
"2007-02-02",47.13,47.24,46.91,47.09,692000,18.95
"2007-02-05",47,47.51,46.75,47.48,1245000,19.11
"2007-02-06",47.39,47.98,47.32,47.85,987000,19.26
"2007-02-07",48,48.3,47.76,48.16,1183600,19.38
"2007-02-08",48.2,48.6,48.2,48.26,1565800,19.42
"2007-02-09",48.29,48.39,47.97,48.05,746400,19.34
"2007-02-12",47.92,48.15,47.83,47.9,841800,19.38
"2007-02-13",48.06,48.14,47.99,48.13,626800,19.47
"2007-02-14",48.2,48.57,48.16,48.53,1009600,19.63
"2007-02-15",48.5,48.5,48.22,48.33,586400,19.55
"2007-02-16",48.34,48.4,48.12,48.33,299600,19.55
"2007-02-20",48.3,48.5,48.15,48.48,570400,19.61
"2007-02-21",48.36,48.45,47.98,48.17,403000,19.49
"2007-02-22",48.15,48.41,48.03,48.4,329200,19.58
"2007-02-23",48.31,49,48.31,48.95,796000,19.8
"2007-02-26",49.35,50.1,49.18,49.3,1074000,19.94
"2007-02-27",49.05,49.05,47.95,48.21,834200,19.5
"2007-02-28",48.14,48.42,47.61,47.95,941800,19.4
"2007-03-01",47.9,48.82,47.73,48.71,1439600,19.7
"2007-03-02",48.71,48.71,47.63,47.76,1119200,19.32
"2007-03-05",47.51,47.8,47.12,47.12,1195800,19.06
"2007-03-06",47.2,47.61,47.13,47.41,888400,19.18
"2007-03-07",47.19,47.53,47.01,47.25,834000,19.11
"2007-03-08",47.5,47.75,47.44,47.67,881400,19.28
"2007-03-09",47.75,47.99,47.6,47.89,813800,19.37
"2007-03-12",47.85,48.25,47.75,48.18,318400,19.49
"2007-03-13",47.99,48.15,47.36,47.51,651600,19.22
"2007-03-14",47.65,47.92,47.25,47.7,980600,19.3
"2007-03-15",47.65,48.3,47.57,48.26,626000,19.52
"2007-03-16",48.26,48.29,47.73,47.8,769600,19.34
"2007-03-19",48.05,48.32,47.96,48.25,380800,19.52
"2007-03-20",48.2,48.8,48.01,48.8,527400,19.74
"2007-03-21",48.71,48.95,48.49,48.89,1903000,19.78
"2007-03-22",48.92,48.98,48.5,48.97,1003800,19.81
"2007-03-23",48.99,49.33,48.7,49.15,894800,19.88
"2007-03-26",49.2,49.3,49.01,49.22,793400,19.91
"2007-03-27",49.1,49.19,48.87,49.11,593600,19.87
"2007-03-28",49,49.2,48.7,48.93,926400,19.79
"2007-03-29",49.14,49.14,48.46,48.78,1040000,19.73
"2007-03-30",48.85,49.01,48.09,48.52,1034800,19.63
"2007-04-02",48.54,49.13,48.53,49.08,1376800,19.85
"2007-04-03",49.25,49.5,49.08,49.4,566400,19.98
"2007-04-04",49.45,49.6,49.09,49.45,1003800,20
"2007-04-05",49.38,49.51,49.32,49.4,414200,19.98
"2007-04-09",49.38,49.47,49.26,49.28,697800,19.94
"2007-04-10",49.25,49.9,49.15,49.83,1152600,20.16
"2007-04-11",49.82,50,49.69,49.9,1198400,20.19
"2007-04-12",49.82,49.96,49.6,49.8,842000,20.15
"2007-04-13",49.92,49.93,49.65,49.7,331600,20.11
"2007-04-16",49.84,49.94,49.69,49.75,508000,20.13
"2007-04-17",49.72,50,49.61,50,541600,20.23
"2007-04-18",49.95,49.99,49.53,49.62,1307600,20.07
"2007-04-19",49.27,49.66,49.18,49.46,544000,20.01
"2007-04-20",49.55,49.88,49.45,49.7,703200,20.11
"2007-04-23",49.55,49.91,49.42,49.55,894400,20.04
"2007-04-24",49.62,49.69,48.8,49.43,1559800,20
"2007-04-25",49.56,49.81,49.38,49.77,1206600,20.13
"2007-04-26",49.8,49.99,49.6,49.62,534800,20.07
"2007-04-27",49.54,49.59,49.27,49.37,604600,19.97
"2007-04-30",49.44,49.54,48.79,48.79,696600,19.74
"2007-05-01",48.79,48.93,48.59,48.78,2510800,19.73
"2007-05-02",48.68,49.02,48.51,48.94,2002200,19.8
"2007-05-03",48.93,49.32,48.92,49.18,1484800,19.89
"2007-05-04",49.2,49.29,49.06,49.12,1502400,19.87
"2007-05-07",49.12,49.19,49.03,49.08,1747400,19.85
"2007-05-08",48.83,49.13,48.76,48.99,1381000,19.82
"2007-05-09",48.86,49.15,48.86,49.02,783600,19.83
"2007-05-10",48.76,48.76,48.04,48.14,1351800,19.57
"2007-05-11",48.2,48.5,48.18,48.4,865800,19.68
"2007-05-14",48.85,49.17,48.67,48.93,2179200,19.9
"2007-05-15",48.93,49.5,48.93,49.13,1892600,19.98
"2007-05-16",49.07,49.57,48.95,49.31,1521800,20.05
"2007-05-17",49.25,49.5,49.01,49.42,1614600,20.09
"2007-05-18",49.49,49.59,49.35,49.43,680200,20.1
"2007-05-21",49.46,49.5,49.1,49.3,850000,20.05
"2007-05-22",49.21,49.56,48.94,49.43,2493800,20.1
"2007-05-23",49.57,49.92,48.64,48.69,1096400,19.8
"2007-05-24",48.65,48.77,47.38,47.47,1318200,19.3
"2007-05-25",47.55,47.89,46.96,47.19,1543800,19.19
"2007-05-29",47.39,47.87,47.37,47.64,1385600,19.37
"2007-05-30",47.5,48.08,47.22,48,1125000,19.52
"2007-05-31",48.2,48.58,48.08,48.43,1835000,19.69
"2007-06-01",48.49,48.74,48.09,48.4,1439200,19.68
"2007-06-04",48.3,48.4,47.97,48.17,1082400,19.59
"2007-06-05",48,48.15,47.42,47.71,1560400,19.4
"2007-06-06",47.51,47.51,46.66,46.87,1217400,19.06
"2007-06-07",46.75,46.75,45.2,45.3,2027200,18.42
"2007-06-08",45.3,45.55,45.01,45.37,2202800,18.45
"2007-06-11",45.25,45.88,45.15,45.49,974000,18.5
"2007-06-12",45.4,45.48,44.82,44.82,1309000,18.22
"2007-06-13",45,45.52,44.91,45.41,1191400,18.46
"2007-06-14",45.42,45.7,45.19,45.3,1162400,18.42
"2007-06-15",45.75,46,45.48,45.58,1597400,18.53
"2007-06-18",45.63,45.85,45.01,45.08,908600,18.33
"2007-06-19",44.98,45.23,44.67,45.08,1203000,18.33
"2007-06-20",45.05,45.25,44.09,44.16,1429800,17.96
"2007-06-21",44.16,44.73,43.93,44.53,1561000,18.11
"2007-06-22",44.14,44.9,44.14,44.26,3134000,18
"2007-06-25",44.27,44.77,44,44.11,1151400,17.94
"2007-06-26",44.51,44.91,43.93,44,1548400,17.89
"2007-06-27",43.8,44.39,43.5,44.39,1422200,18.05
"2007-06-28",44.42,44.8,44.22,44.42,1588000,18.06
"2007-06-29",44.39,44.5,43.77,44.23,2159600,17.98
"2007-07-02",44.34,44.65,44.23,44.58,1532400,18.13
"2007-07-03",44.6,44.82,44.25,44.42,1375600,18.06
"2007-07-05",44.53,44.53,43.76,44.17,903600,17.96
"2007-07-06",44.22,44.22,43.66,43.88,988200,17.84
"2007-07-09",43.89,44.07,43.8,43.91,1261000,17.85
"2007-07-10",43.7,43.76,43.15,43.22,1984400,17.57
"2007-07-11",43.3,43.55,43.04,43.24,1320400,17.58
"2007-07-12",43.51,43.8,43.45,43.77,1251800,17.8
"2007-07-13",43.69,44.39,43.68,44.37,955400,18.04
"2007-07-16",44.32,44.64,44,44.04,1286400,17.91
"2007-07-17",44.02,44.2,43.76,43.82,1224200,17.82
"2007-07-18",43.66,44.4,43.65,44.36,1195600,18.04
"2007-07-19",44.79,45.45,44.65,45.26,1536800,18.4
"2007-07-20",45.2,45.78,44.99,45.08,1908000,18.33
"2007-07-23",45.3,45.72,45.07,45.2,1263800,18.38
"2007-07-24",44.44,45.09,44.24,44.32,2478200,18.02
"2007-07-25",44.69,44.98,44.12,44.59,2174600,18.13
"2007-07-26",44.06,45.21,43.52,43.83,2192600,17.82
"2007-07-27",43.7,44.03,42.92,42.92,926600,17.45
"2007-07-30",42.82,43,42.25,42.67,1425800,17.35
"2007-07-31",43,43.64,42.85,42.93,3793800,17.46
"2007-08-01",42.88,43.94,42.8,43.64,4103600,17.74
"2007-08-02",43.66,45,43.66,44.89,3085800,18.25
"2007-08-03",44.94,45.16,43.25,43.26,1939800,17.59
"2007-08-06",42.66,44.62,42.66,44.62,1926000,18.14
"2007-08-07",44.33,45.4,44.1,45.19,1715600,18.37
"2007-08-08",45.3,45.56,42.96,45.05,3013200,18.32
"2007-08-09",43.66,45.39,43.11,43.23,3194600,17.58
"2007-08-10",42.65,43.33,41.8,42.59,3410800,17.42
"2007-08-13",42.81,43.79,42.7,43.12,2205800,17.63
"2007-08-14",43.2,43.39,42.62,42.9,1563200,17.54
"2007-08-15",42.8,43.4,41.69,41.82,1491800,17.1
"2007-08-16",41.62,42.6,41.06,42.12,3205600,17.23
"2007-08-17",43.82,44.21,41.95,42.89,2129600,17.54
"2007-08-20",42.96,43.31,42.48,42.94,978400,17.56
"2007-08-21",42.74,43.4,42.58,43.15,1043000,17.65
"2007-08-22",43.27,43.65,42.9,43.39,765200,17.75
"2007-08-23",43.5,44.01,43.17,43.51,997000,17.79
"2007-08-24",43.5,44.14,43.28,44.14,764400,18.05
"2007-08-27",43.97,43.99,43,43.09,1145400,17.62
"2007-08-28",43,43.49,42.56,42.58,1111600,17.41
"2007-08-29",42.88,43.97,42.75,43.88,1412400,17.95
"2007-08-30",43.59,44.39,43.36,44.2,2185000,18.08
"2007-08-31",44.75,44.75,43.9,44.31,1420800,18.12
"2007-09-04",44.88,45.81,44.75,45.5,2685200,18.61
"2007-09-05",45.31,45.35,44.73,45.1,2503400,18.44
"2007-09-06",45.28,45.63,44.88,45.59,2033400,18.65
"2007-09-07",44.91,45.25,44.38,44.69,2197200,18.28
"2007-09-10",44.92,44.95,44.14,44.3,1448600,18.12
"2007-09-11",44.4,44.53,44.05,44.51,1856400,18.2
"2007-09-12",44.47,44.64,44.19,44.3,1164000,18.12
"2007-09-13",44.43,44.63,43.93,43.99,946600,17.99
"2007-09-14",43.6,44.26,43.53,44.15,1532000,18.06
"2007-09-17",44.08,44.15,43.77,43.88,1216000,17.95
"2007-09-18",44.2,44.6,43.95,44.55,939200,18.22
"2007-09-19",44.75,45.63,44.66,45.33,1595000,18.54
"2007-09-20",45.2,45.39,44.71,44.9,1086400,18.36
"2007-09-21",45.13,45.54,45.13,45.41,1664200,18.57
"2007-09-24",45.32,45.45,44.94,45.14,892600,18.46
"2007-09-25",45.03,45.43,45,45.13,913200,18.46
"2007-09-26",45.41,45.59,44.94,45.35,860200,18.55
"2007-09-27",45.53,45.53,45.05,45.46,765000,18.59
"2007-09-28",45.41,45.76,45.03,45.03,1555800,18.42
"2007-10-01",44.9,45.69,44.9,45.65,1317000,18.67
"2007-10-02",45.72,45.77,45.14,45.21,939800,18.49
"2007-10-03",45.12,45.46,44.99,45.35,903600,18.55
"2007-10-04",45.56,46.05,45.45,46,1283800,18.81
"2007-10-05",46.29,46.38,45.82,46.04,842800,18.83
"2007-10-08",45.88,46,45.45,45.55,1110400,18.63
"2007-10-09",45.75,46.24,45.69,46.24,1719800,18.91
"2007-10-10",46.24,46.43,45.89,45.89,945600,18.77
"2007-10-11",46.02,46.25,45.5,45.78,1531000,18.72
"2007-10-12",45.75,46.3,45.71,46.11,1124000,18.86
"2007-10-15",46.21,46.39,45.62,45.9,1610400,18.77
"2007-10-16",45.95,46,45.75,45.75,1367800,18.71
"2007-10-17",46,46.21,45.2,45.62,1331400,18.66
"2007-10-18",45.54,45.95,45.47,45.73,997600,18.7
"2007-10-19",45.67,45.97,44.82,44.82,3312400,18.33
"2007-10-22",44.56,45.37,44.35,45.25,1321400,18.51
"2007-10-23",45.72,45.85,44.97,45.15,1052600,18.47
"2007-10-24",45.03,45.75,45.03,45.7,1999600,18.69
"2007-10-25",45.88,46.35,45.76,46.35,1099400,18.96
"2007-10-26",46.36,47.2,46.36,46.91,1256600,19.18
"2007-10-29",47.15,47.45,46.98,47.2,3021400,19.3
"2007-10-30",46.89,47.4,46.34,47.11,1721600,19.27
"2007-10-31",47.35,48.2,47.2,47.88,2110000,19.58
"2007-11-01",47.62,48.45,47.28,47.81,2269600,19.55
"2007-11-02",48.16,48.36,47.61,47.8,1757000,19.55
"2007-11-05",47.68,48.2,47.39,47.89,1621800,19.59
"2007-11-06",47.95,48.09,47.33,47.5,2462200,19.43
"2007-11-07",47,47.42,46.67,46.75,1953000,19.12
"2007-11-08",46.97,47.75,46.78,47.33,3460000,19.36
"2007-11-09",46.45,47.21,46.45,46.85,2218200,19.26
"2007-11-12",46.91,46.96,46.49,46.65,2357000,19.18
"2007-11-13",46.78,46.96,46.21,46.73,1839800,19.21
"2007-11-14",46.88,47.04,46.47,46.49,2261000,19.11
"2007-11-15",46.35,47.2,46.2,47,1743400,19.32
"2007-11-16",47.11,47.24,46.6,47.02,1914000,19.33
"2007-11-19",46.62,47.39,46.56,47.2,1645000,19.41
"2007-11-20",47.34,48,47.24,47.79,2409000,19.65
"2007-11-21",47.56,48.1,47.17,47.64,2017400,19.59
"2007-11-23",47.84,48.03,47.61,47.65,660600,19.59
"2007-11-26",47.65,48.54,47.65,47.84,2805200,19.67
"2007-11-27",47.97,48.4,47.69,48.29,2533800,19.85
"2007-11-28",48.56,49.33,48.32,49.15,2256200,20.21
"2007-11-29",48.9,49.22,47.9,48.17,4626400,19.8
"2007-11-30",48.02,48.27,47.12,47.84,6604000,19.67
"2007-12-03",47.49,48.24,47.46,48,3390800,19.73
"2007-12-04",47.55,48.77,47.55,48.68,2272200,20.01
"2007-12-05",49.2,49.53,48.85,49.5,2213200,20.35
"2007-12-06",49.33,49.47,48.92,49.35,1224600,20.29
"2007-12-07",49.55,49.75,49.23,49.69,1895600,20.43
"2007-12-10",49.73,49.8,49.49,49.74,1258000,20.45
"2007-12-11",49.76,49.95,48.89,48.91,1476600,20.11
"2007-12-12",49.93,49.96,48.86,49.13,1370200,20.2
"2007-12-13",48.87,49.6,48.72,49.6,1184400,20.39
"2007-12-14",49.31,49.47,48.86,48.86,1424400,20.09
"2007-12-17",48.7,48.95,48.38,48.57,1573000,19.97
"2007-12-18",48.92,49.5,48.7,49.31,1873600,20.27
"2007-12-19",49.12,49.91,49.05,49.54,2935600,20.37
"2007-12-20",49.8,50,49.47,49.85,1636400,20.5
"2007-12-21",50.48,50.48,49.3,49.46,1488200,20.34
"2007-12-24",49.5,49.76,49.3,49.67,441200,20.42
"2007-12-26",49.57,49.65,49.01,49.13,740800,20.2
"2007-12-27",49.14,49.45,48.93,49.06,823400,20.17
"2007-12-28",49.33,49.33,48.73,49.05,629800,20.17
"2007-12-31",49.08,49.26,48.65,48.71,1078000,20.03
"2008-01-02",48.43,48.57,47.5,47.8,1195800,19.65
"2008-01-03",47.87,47.98,47.24,47.27,1087200,19.43
"2008-01-04",46.73,47.8,46.73,47.49,1225800,19.53
"2008-01-07",47.61,49.02,47.59,48.89,2330400,20.1
