"","WIN.Open","WIN.High","WIN.Low","WIN.Close","WIN.Volume","WIN.Adjusted"
"2007-01-03",14.21,14.3,13.92,14.2,5880000,7.41
"2007-01-04",14.14,14.18,13.96,13.99,2764600,7.3
"2007-01-05",14,14.01,13.79,13.9,2457200,7.25
"2007-01-08",13.87,14.18,13.75,14.11,2862400,7.36
"2007-01-09",14.12,14.23,13.99,14.15,2800500,7.38
"2007-01-10",14.1,14.1,13.87,14.03,2468800,7.32
"2007-01-11",14.04,14.25,13.96,14.15,2510100,7.38
"2007-01-12",14.2,14.25,14.1,14.15,2300700,7.38
"2007-01-16",14.21,14.27,14.07,14.23,2762100,7.42
"2007-01-17",14.26,14.38,14.22,14.3,3413800,7.46
"2007-01-18",15.2,15.2,14.28,14.49,3162900,7.56
"2007-01-19",14.6,14.9,14.49,14.69,2635100,7.66
"2007-01-22",14.7,14.7,14.43,14.45,1852000,7.54
"2007-01-23",14.44,14.55,14.28,14.53,1669300,7.58
"2007-01-24",14.53,14.7,14.49,14.68,1519100,7.66
"2007-01-25",14.63,14.74,14.37,14.42,1660300,7.52
"2007-01-26",14.42,14.64,14.38,14.61,1059800,7.62
"2007-01-29",14.64,14.71,14.48,14.58,1396700,7.61
"2007-01-30",14.58,14.68,14.51,14.57,1097600,7.6
"2007-01-31",14.59,14.9,14.59,14.88,2166600,7.76
"2007-02-01",14.88,14.88,14.67,14.78,1967000,7.71
"2007-02-02",14.76,14.8,14.6,14.75,3345800,7.69
"2007-02-05",14.75,14.86,14.75,14.81,1241400,7.73
"2007-02-06",14.81,14.88,14.76,14.81,2371300,7.73
"2007-02-07",14.8,14.85,14.58,14.63,5711900,7.63
"2007-02-08",14.73,15.1,14.71,14.91,3824700,7.78
"2007-02-09",14.91,15.05,14.77,14.8,2526200,7.72
"2007-02-12",14.77,14.8,14.64,14.66,1738000,7.65
"2007-02-13",14.7,14.88,14.62,14.87,1570300,7.76
"2007-02-14",14.94,15,14.87,14.99,1466100,7.82
"2007-02-15",14.99,15.09,14.95,14.99,1984500,7.82
"2007-02-16",14.99,15.1,14.87,15,1813200,7.82
"2007-02-20",15.06,15.15,14.98,15.12,3324400,7.89
"2007-02-21",15.04,15.21,15.01,15.13,4622600,7.89
"2007-02-22",15.21,15.63,15.15,15.34,4526800,8
"2007-02-23",15.36,15.47,15.19,15.44,3183200,8.05
"2007-02-26",15.48,15.51,15.33,15.35,3682100,8.01
"2007-02-27",15.31,15.32,14.5,14.68,2517300,7.66
"2007-02-28",15.14,15.14,14.64,15.05,4832300,7.85
"2007-03-01",14.73,15.03,14.59,14.88,2744700,7.76
"2007-03-02",14.85,14.89,14.32,14.38,3847300,7.5
"2007-03-05",14.31,14.45,14.25,14.32,2231200,7.47
"2007-03-06",14.37,14.83,14.37,14.75,2631600,7.69
"2007-03-07",14.66,14.73,14.41,14.44,6371700,7.53
"2007-03-08",14.53,14.67,14.48,14.57,1836100,7.6
"2007-03-09",14.6,14.74,14.41,14.46,2232700,7.54
"2007-03-12",14.47,14.5,14.2,14.36,4778000,7.49
"2007-03-13",14.36,14.37,14.06,14.1,3482800,7.35
"2007-03-14",14.05,14.19,14.03,14.18,1768400,7.4
"2007-03-15",14.18,14.39,14.15,14.3,2023300,7.46
"2007-03-16",14.37,14.51,14.3,14.41,4117600,7.52
"2007-03-19",14.48,14.56,14.41,14.5,2383400,7.56
"2007-03-20",14.51,14.61,14.4,14.59,2318300,7.61
"2007-03-21",14.6,14.76,14.53,14.68,2548100,7.66
"2007-03-22",14.5,14.85,14.5,14.8,1710100,7.72
"2007-03-23",14.84,14.84,14.78,14.83,1263500,7.74
"2007-03-26",14.81,14.85,14.67,14.75,2262800,7.69
"2007-03-27",14.7,14.81,14.66,14.75,5264600,7.69
"2007-03-28",14.39,14.53,14.36,14.5,2272600,7.69
"2007-03-29",14.36,14.69,14.36,14.62,1837200,7.76
"2007-03-30",14.65,14.77,14.57,14.69,2862900,7.79
"2007-04-02",14.69,14.82,14.65,14.8,1876400,7.85
"2007-04-03",14.85,14.91,14.78,14.86,2066000,7.89
"2007-04-04",14.86,14.95,14.81,14.89,1544900,7.9
"2007-04-05",14.91,14.93,14.83,14.91,1894200,7.91
"2007-04-09",14.95,14.95,14.77,14.85,1817800,7.88
"2007-04-10",14.86,14.91,14.81,14.82,1759000,7.86
"2007-04-11",14.82,14.86,14.7,14.75,1864300,7.83
"2007-04-12",15.1,15.1,14.59,14.6,3271800,7.75
"2007-04-13",14.68,14.68,14.47,14.56,4262200,7.73
"2007-04-16",14.77,14.77,14.59,14.64,2634200,7.77
"2007-04-17",14.65,14.71,14.59,14.63,3625600,7.76
"2007-04-18",14.61,14.7,14.56,14.64,2592300,7.77
"2007-04-19",14.77,15,14.6,14.72,1334600,7.81
"2007-04-20",14.96,15,14.72,14.8,2671400,7.85
"2007-04-23",14.85,14.93,14.73,14.73,1845400,7.82
"2007-04-24",14.73,14.79,14.65,14.72,1908200,7.81
"2007-04-25",14.72,14.92,14.68,14.88,2316100,7.9
"2007-04-26",14.75,15.06,14.5,14.82,2068800,7.86
"2007-04-27",14.81,14.87,14.75,14.78,3168600,7.84
"2007-04-30",14.82,14.86,14.6,14.62,2488400,7.76
"2007-05-01",14.64,14.71,14.5,14.66,2881800,7.78
"2007-05-02",14.73,14.82,14.65,14.79,2123700,7.85
"2007-05-03",14.8,14.88,14.69,14.79,3458800,7.85
"2007-05-04",14.87,14.89,14.75,14.86,3530300,7.89
"2007-05-07",14.93,14.95,14.76,14.8,2354300,7.85
"2007-05-08",14.76,15.06,14.68,15.04,3731100,7.98
"2007-05-09",15.07,15.23,15.02,15.12,2960500,8.02
"2007-05-10",15.13,15.19,14.78,14.8,4002200,7.85
"2007-05-11",14.94,14.95,14.63,14.72,5525000,7.81
"2007-05-14",14.74,14.8,14.66,14.71,4312800,7.81
"2007-05-15",14.7,14.8,14.58,14.6,3333400,7.75
"2007-05-16",14.53,14.66,14.52,14.66,2164200,7.78
"2007-05-17",14.65,14.67,14.56,14.66,2031800,7.78
"2007-05-18",14.69,14.76,14.57,14.76,2320400,7.83
"2007-05-21",14.91,15.05,14.85,14.93,3229000,7.92
"2007-05-22",14.98,15.01,14.92,15,2105800,7.96
"2007-05-23",15,15.11,14.97,15,3320700,7.96
"2007-05-24",15.09,15.3,14.92,14.94,3636200,7.93
"2007-05-25",15.01,15.05,14.79,14.92,1780500,7.92
"2007-05-29",15,15.15,14.88,14.9,1918100,7.91
"2007-05-30",14.92,15.07,14.82,15.01,3165000,7.96
"2007-05-31",15.08,15.19,14.94,15.02,2895800,7.97
"2007-06-01",15.02,15.15,15,15.15,2160900,8.04
"2007-06-04",15.13,15.22,15.05,15.21,1536600,8.07
"2007-06-05",15.23,15.25,15.02,15.19,3086800,8.06
"2007-06-06",15.16,15.17,15.05,15.11,1627800,8.02
"2007-06-07",15.07,15.12,14.78,14.78,2200100,7.84
"2007-06-08",14.76,14.91,14.57,14.9,4128200,7.91
"2007-06-11",14.91,14.96,14.8,14.84,3042700,7.87
"2007-06-12",14.81,14.84,14.65,14.68,2861100,7.79
"2007-06-13",14.7,14.85,14.68,14.85,2173700,7.88
"2007-06-14",14.89,14.92,14.79,14.84,2378400,7.87
"2007-06-15",14.7,14.94,14.68,14.9,4105300,7.91
"2007-06-18",14.98,15.14,14.86,15.11,3119600,8.02
"2007-06-19",15.11,15.14,15.03,15.1,2058800,8.01
"2007-06-20",15.18,15.18,14.95,14.98,1804300,7.95
"2007-06-21",14.99,15.14,14.95,15.12,1377300,8.02
"2007-06-22",15.06,15.15,14.93,15.05,4660500,7.99
"2007-06-25",15,15.11,14.96,15,3241200,7.96
"2007-06-26",15.12,15.21,14.99,15,4019900,7.96
"2007-06-27",14.69,14.85,14.67,14.85,2161800,8.01
"2007-06-28",14.86,14.91,14.75,14.8,2409500,7.99
"2007-06-29",14.8,14.94,14.66,14.76,3239500,7.96
"2007-07-02",14.81,14.89,14.65,14.72,2665700,7.94
"2007-07-03",14.72,14.85,14.72,14.84,1886900,8.01
"2007-07-05",14.87,14.88,14.69,14.82,3899900,8
"2007-07-06",14.83,14.91,14.77,14.85,2431000,8.01
"2007-07-09",14.9,14.9,14.69,14.72,2291700,7.94
"2007-07-10",14.72,14.8,14.55,14.56,2559300,7.86
"2007-07-11",14.56,14.66,14.51,14.59,1917000,7.87
"2007-07-12",14.57,14.74,14.53,14.73,2840800,7.95
"2007-07-13",14.75,14.8,14.68,14.71,2182400,7.94
"2007-07-16",14.74,14.85,14.62,14.63,1867200,7.89
"2007-07-17",14.61,14.85,14.6,14.73,2364700,7.95
"2007-07-18",14.66,14.69,14.33,14.42,3196200,7.78
"2007-07-19",14.5,14.9,14.46,14.87,3429200,8.02
"2007-07-20",14.85,14.85,14.65,14.73,4312500,7.95
"2007-07-23",14.78,14.85,14.7,14.76,1491900,7.96
"2007-07-24",14.95,14.95,14.44,14.48,1954700,7.81
"2007-07-25",14.54,14.64,14.41,14.44,2499600,7.79
"2007-07-26",14.89,14.91,13.81,13.91,4494700,7.51
"2007-07-27",13.95,14,13.67,13.7,4165400,7.39
"2007-07-30",13.7,13.91,13.66,13.88,3377500,7.49
"2007-07-31",13.88,14.07,13.75,13.76,2789400,7.43
"2007-08-01",14.27,14.27,13.35,13.86,3874400,7.48
"2007-08-02",14.25,14.25,13.8,13.94,3443300,7.52
"2007-08-03",13.91,13.99,13.51,13.53,3057600,7.3
"2007-08-06",13.9,13.9,13.3,13.5,4452100,7.28
"2007-08-07",13.45,14.09,13.41,14.07,6580300,7.59
"2007-08-08",14.39,15.1,13.82,14.02,5291200,7.57
"2007-08-09",13.89,14.14,13.63,13.87,5291700,7.48
"2007-08-10",13.77,13.96,13.65,13.81,3534600,7.45
"2007-08-13",13.76,13.88,13.55,13.67,3201200,7.38
"2007-08-14",13.6,13.77,13.39,13.4,2963900,7.23
"2007-08-15",13.35,13.43,13.02,13.07,2787500,7.05
"2007-08-16",12.91,13.05,12.46,12.84,4589000,6.93
"2007-08-17",13.16,13.5,12.98,13.36,3137200,7.21
"2007-08-20",13.45,13.52,13.18,13.39,2021400,7.23
"2007-08-21",13.24,13.71,13.1,13.44,2072400,7.25
"2007-08-22",13.6,13.66,13.34,13.51,2034400,7.29
"2007-08-23",13.61,13.92,13.52,13.88,3451200,7.49
"2007-08-24",13.9,14.03,13.86,13.98,1789400,7.54
"2007-08-27",13.94,14,13.76,13.81,1747400,7.45
"2007-08-28",13.82,13.85,13.39,13.44,2856700,7.25
"2007-08-29",13.5,14.07,13.48,14.03,3040500,7.57
"2007-08-30",13.88,14.15,13.81,13.92,2076000,7.51
"2007-08-31",14.05,14.35,13.99,14.28,2514400,7.71
"2007-09-04",14.17,14.48,14.1,14.39,3045100,7.77
"2007-09-05",14.24,14.39,14.01,14.07,3370100,7.59
"2007-09-06",14.16,14.24,14.02,14.14,2224400,7.63
"2007-09-07",13.99,14.19,13.91,14.11,4036400,7.61
"2007-09-10",14.13,14.28,13.96,13.98,2049100,7.54
"2007-09-11",13.91,14.09,13.82,14.01,3715900,7.56
"2007-09-12",13.98,14.1,13.92,14.02,1595200,7.57
"2007-09-13",14.16,14.24,13.95,14.03,1738000,7.57
"2007-09-14",13.9,14.03,13.86,13.91,1733700,7.51
"2007-09-17",13.91,14.17,13.91,14.09,1610200,7.6
"2007-09-18",14.14,14.3,13.98,14.3,2372200,7.72
"2007-09-19",14.32,14.5,14.3,14.5,2014700,7.82
"2007-09-20",14.48,14.5,14.21,14.33,2184900,7.73
"2007-09-21",14.09,14.57,13.99,14.45,2984600,7.8
"2007-09-24",14.4,14.5,14.23,14.31,3006600,7.72
"2007-09-25",14.18,14.5,14.17,14.47,2918200,7.81
"2007-09-26",14.17,14.5,14.12,14.22,3227200,7.81
"2007-09-27",14.32,14.43,14.2,14.28,2454800,7.84
"2007-09-28",14.28,14.33,13.99,14.12,2362300,7.75
"2007-10-01",14.16,14.27,13.88,13.99,3401500,7.68
"2007-10-02",13.94,14.14,13.89,14,3046000,7.69
"2007-10-03",13.92,13.98,13.86,13.94,2427300,7.65
"2007-10-04",13.94,14.14,13.92,14.12,3013800,7.75
"2007-10-05",14.16,14.21,14.04,14.08,2251100,7.73
"2007-10-08",14.09,14.13,13.96,14,2432300,7.69
"2007-10-09",14.02,14.14,13.71,14.05,5478600,7.71
"2007-10-10",14.04,14.19,14,14.16,2796700,7.78
