"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"2007-01-03",36.77,37.55,36.77,37.03,2530700,28.42
"2007-01-04",36.87,36.87,36.45,36.57,2264700,28.07
"2007-01-05",36.53,36.53,35.93,35.98,2507500,27.62
"2007-01-08",35.84,36.17,35.61,36.07,2457400,27.69
"2007-01-09",36.07,36.15,35.5,35.69,3121500,27.4
"2007-01-10",35.7,36.73,35.63,36.68,2570100,28.16
"2007-01-11",36.75,37.27,36.75,37.04,2829000,28.43
"2007-01-12",37.06,37.15,36.8,36.9,1894100,28.32
"2007-01-16",36.99,37.26,36.87,36.93,1875100,28.35
"2007-01-17",36.88,37.2,36.8,36.96,2676300,28.37
"2007-01-18",36.98,37.07,36.73,36.85,1656700,28.29
"2007-01-19",36.98,37.03,36.73,36.91,1630700,28.33
"2007-01-22",36.88,37.48,36.78,37.35,2924100,28.67
"2007-01-23",37.35,37.79,37.28,37.6,2606700,28.86
"2007-01-24",37.62,37.99,37.62,37.79,1900300,29.01
"2007-01-25",37.72,37.89,37.05,37.12,2467000,28.49
"2007-01-26",37.1,37.54,37.02,37.46,2886700,28.75
"2007-01-29",37.5,38.02,37.5,37.71,2640900,28.95
"2007-01-30",37.84,38.05,37.64,37.94,2088700,29.12
"2007-01-31",37.96,38.07,37.77,37.98,2625800,29.15
"2007-02-01",38.12,38.15,37.62,37.69,3141900,28.93
"2007-02-02",37.81,38.04,37.63,37.85,1856200,29.05
"2007-02-05",37.8,38.37,37.51,38.29,3001200,29.39
"2007-02-06",38.49,38.7,37.92,38.06,2648500,29.21
"2007-02-07",38.06,38.56,37.91,38.41,2389900,29.48
"2007-02-08",37.72,37.75,34.61,35.43,15309700,27.2
"2007-02-09",35.4,35.81,35.04,35.25,6761600,27.06
"2007-02-12",35.2,35.35,34.8,34.93,3532800,26.81
"2007-02-13",34.92,35.2,34.83,35.02,5971100,26.88
"2007-02-14",35.23,35.51,35.02,35.3,3799800,27.1
"2007-02-15",35.1,35.71,34.8,35.65,4265400,27.36
"2007-02-16",35.44,35.82,35.32,35.68,4007600,27.39
"2007-02-20",35.55,35.65,35.33,35.38,3840500,27.16
"2007-02-21",35.2,35.32,35,35.03,5164100,26.89
"2007-02-22",35.23,35.33,33.99,34,10206100,26.1
"2007-02-23",34,34.83,34,34.63,6178900,26.58
"2007-02-26",34.71,34.93,34.29,34.52,3905100,26.5
"2007-02-27",34.52,34.52,33.45,33.83,5466500,25.97
"2007-02-28",33.83,34.19,33.75,34.05,5547900,26.14
"2007-03-01",33.86,34.05,33.5,33.75,3868500,25.91
