"","WMB.Open","WMB.High","WMB.Low","WMB.Close","WMB.Volume","WMB.Adjusted"
"2007-01-03",26.12,26.12,25.4,25.69,11185600,17.16
"2007-01-04",26.14,26.59,25.28,25.62,5996800,17.12
"2007-01-05",25.55,25.92,25.44,25.76,5845600,17.21
"2007-01-08",25.76,26.23,25.73,25.93,4716800,17.33
"2007-01-09",25.82,25.88,25.21,25.6,6088300,17.1
"2007-01-10",25.6,25.6,25.17,25.32,7153600,16.92
"2007-01-11",25.32,26.12,25.2,25.36,5975100,16.94
"2007-01-12",25.36,25.94,25.32,25.83,5579900,17.26
"2007-01-16",25.86,26,25.54,25.67,4224600,17.15
"2007-01-17",25.67,26.07,25.55,25.99,4881500,17.37
"2007-01-18",26.1,26.41,25.65,25.74,4925700,17.2
"2007-01-19",25.9,26.39,25.87,26.35,4572900,17.61
"2007-01-22",26.49,26.72,26.37,26.55,5061300,17.74
"2007-01-23",26.58,27.2,26.58,27.13,3758000,18.13
"2007-01-24",27.01,27.18,26.52,27.15,3468500,18.14
"2007-01-25",27.07,27.14,26.54,26.59,2768400,17.77
"2007-01-26",26.65,26.84,26.42,26.52,2888900,17.72
"2007-01-29",26.45,26.69,26.2,26.4,4492400,17.64
"2007-01-30",26.5,27.06,26.45,26.96,5216500,18.01
"2007-01-31",26.95,27.23,26.61,26.99,3810500,18.03
"2007-02-01",27.13,27.41,27.01,27.28,5008600,18.23
"2007-02-02",27.36,27.5,27.09,27.42,4091000,18.32
"2007-02-05",26.91,27.68,26.8,27.36,6864800,18.28
"2007-02-06",27.53,27.54,27.06,27.25,4252300,18.21
"2007-02-07",27.25,27.57,27.21,27.35,5875900,18.27
"2007-02-08",27.45,27.88,27.24,27.85,4897900,18.61
"2007-02-09",27.98,28.18,27.67,27.81,4899300,18.58
"2007-02-12",27.82,27.82,27.39,27.56,3086400,18.41
"2007-02-13",27.62,27.82,27.51,27.72,3790700,18.52
"2007-02-14",27.87,27.94,27.47,27.58,5152000,18.43
"2007-02-15",27.9,27.9,27.16,27.37,3609200,18.29
"2007-02-16",27.27,27.51,27.19,27.5,4140700,18.37
"2007-02-20",27.5,27.73,27.35,27.73,4186500,18.53
"2007-02-21",27.73,28.38,27.51,28.33,5567500,18.93
"2007-02-22",28.3,28.34,27.61,28.01,6805600,18.71
"2007-02-23",27.72,28.06,27.6,27.91,5508800,18.65
"2007-02-26",28,28.71,27.99,28.3,8060000,18.91
"2007-02-27",27.92,27.95,26.53,26.94,11735200,18
"2007-02-28",26.95,27.3,26.46,26.97,7303900,18.02
"2007-03-01",26.75,27.12,26.04,26.89,10041700,17.97
"2007-03-02",26.68,26.79,26.15,26.23,5490200,17.53
"2007-03-05",26.11,26.44,25.9,25.98,5440100,17.36
"2007-03-06",26.1,26.5,26.08,26.29,6568200,17.57
"2007-03-07",26.75,27.47,26.39,27.18,8342500,18.22
"2007-03-08",27.26,27.5,27.19,27.29,4199300,18.3
"2007-03-09",27.34,27.69,27.13,27.43,4042000,18.39
"2007-03-12",27.23,27.44,27.11,27.34,3272700,18.33
"2007-03-13",27.08,27.64,26.58,26.61,6627200,17.84
"2007-03-14",26.61,27.03,26.4,27.02,3899500,18.12
"2007-03-15",26.75,27.06,26.65,26.89,4050300,18.03
"2007-03-16",27,27.1,26.51,26.59,4612600,17.83
"2007-03-19",26.56,26.99,26.56,26.99,2925700,18.1
"2007-03-20",27.08,27.21,26.83,27.2,3923100,18.24
"2007-03-21",27.35,28.12,27.13,28.01,4946500,18.78
"2007-03-22",28.26,28.81,28.22,28.58,8782900,19.16
"2007-03-23",28.59,28.69,28.01,28.21,5137800,18.91
"2007-03-26",28.5,28.87,28.09,28.56,6167900,19.15
"2007-03-27",28.38,28.56,28.15,28.4,4659100,19.04
"2007-03-28",28.6,28.8,28.4,28.52,5001600,19.12
"2007-03-29",28.52,29.05,28.49,28.94,9388600,19.4
"2007-03-30",28.94,28.95,28.15,28.46,5278300,19.08
"2007-04-02",28.51,29,28.38,28.89,6257400,19.37
"2007-04-03",28.9,28.9,28.44,28.52,6490300,19.12
"2007-04-04",28.52,28.75,28.31,28.37,4407400,19.02
"2007-04-05",28.46,28.57,28.1,28.43,5988500,19.06
"2007-04-09",28.43,28.58,28.18,28.32,5247300,18.99
"2007-04-10",28.28,28.75,28.28,28.62,5352200,19.19
"2007-04-11",28.75,28.75,28.17,28.2,4516200,18.91
"2007-04-12",29.14,29.14,28.11,28.5,4765200,19.11
"2007-04-13",27.61,29.09,27.61,28.47,2626800,19.09
"2007-04-16",28.47,28.73,28.26,28.61,7078100,19.18
"2007-04-17",28.55,28.89,28.52,28.78,6776900,19.3
"2007-04-18",28.37,28.69,28.37,28.58,4747200,19.16
"2007-04-19",29.09,29.09,28.24,28.29,3166000,18.97
"2007-04-20",29.08,29.08,28.45,29.02,7932800,19.46
"2007-04-23",29.15,29.65,29,29.47,5437600,19.76
"2007-04-24",29.48,29.71,29.44,29.54,3497700,19.8
"2007-04-25",29.1,30.23,29.1,30.21,5740100,20.25
"2007-04-26",30.11,30.21,29.77,29.98,8608700,20.1
"2007-04-27",29.8,30.2,29.6,30.09,5844100,20.17
"2007-04-30",30.01,30.23,29.49,29.5,4880600,19.78
"2007-05-01",29.43,29.73,29.05,29.41,4635400,19.72
"2007-05-02",29.46,29.96,29.21,29.88,4549700,20.03
"2007-05-03",29.7,29.7,29.04,29.2,9169300,19.58
"2007-05-04",29.29,29.57,29.07,29.37,4551900,19.69
"2007-05-07",29.37,29.63,29.15,29.57,4974400,19.82
"2007-05-08",29.45,29.45,28.82,29.22,5347200,19.59
"2007-05-09",29.28,29.5,28.66,29.1,11178500,19.51
"2007-05-10",28.85,29.09,28.18,28.25,9426400,18.94
"2007-05-11",28.34,28.79,28.3,28.6,7331000,19.17
"2007-05-14",28.55,28.91,28.48,28.73,4318200,19.26
"2007-05-15",28.73,29.13,28.54,28.75,6395100,19.28
"2007-05-16",28.76,28.93,28.24,28.54,4941500,19.13
"2007-05-17",28.54,28.91,28.26,28.51,5533600,19.11
"2007-05-18",28.51,28.97,28.51,28.95,4236100,19.41
"2007-05-21",30.5,31.69,30.01,31.06,27657300,20.82
"2007-05-22",31.6,32.45,30.95,31.37,10024200,21.03
"2007-05-23",31.25,31.75,31.25,31.45,9526900,21.15
"2007-05-24",31.4,31.74,30.71,30.83,9389400,20.74
"2007-05-25",31.37,31.37,30.65,31,4310400,20.85
"2007-05-29",30.81,31.3,30.6,31.22,6842000,21
"2007-05-30",31.07,32.25,30.86,32.19,8731100,21.65
"2007-05-31",32.34,32.34,31.71,31.76,7943900,21.36
"2007-06-01",31.97,32.1,31.64,32.05,5768600,21.56
"2007-06-04",32,32.45,31.91,32.43,7444200,21.81
"2007-06-05",32.18,32.35,31.76,31.98,4909200,21.51
"2007-06-06",31.92,31.92,31.19,31.41,4890900,21.13
"2007-06-07",31.42,31.43,29.95,30.08,8639100,20.23
"2007-06-08",30.02,30.34,29.61,30.27,7877500,20.36
"2007-06-11",30.33,30.79,30.11,30.45,3945200,20.48
"2007-06-12",30.25,30.39,29.58,29.71,6539500,19.98
"2007-06-13",29.96,30.78,29.87,30.69,5755500,20.64
"2007-06-14",30.84,31.51,30.78,31.28,5796900,21.04
"2007-06-15",32.05,32.05,31.46,31.78,8460400,21.37
"2007-06-18",31.79,31.85,31.47,31.72,3640900,21.33
"2007-06-19",31.68,32,31.51,31.92,3950700,21.47
"2007-06-20",31.34,32.27,31.01,31.1,5251200,20.92
"2007-06-21",31.49,32.47,31.36,32.33,7667700,21.74
"2007-06-22",32.12,32.62,31.48,31.96,7332100,21.5
"2007-06-25",32.26,32.39,31.59,31.93,6069900,21.48
"2007-06-26",31.93,32,31.02,31.27,6324600,21.03
"2007-06-27",30.38,32.15,30.38,32.09,5783500,21.58
"2007-06-28",32.1,32.36,31.46,31.69,5508100,21.31
"2007-06-29",31.9,32.29,31.39,31.62,5560000,21.27
"2007-07-02",31.86,32.08,31.61,32.05,5215000,21.56
"2007-07-03",32.05,32.41,31.85,32.25,2434400,21.69
"2007-07-05",32.19,33.49,32.19,32.75,7949500,22.03
"2007-07-06",32.85,33.15,32.53,32.99,4085900,22.19
"2007-07-09",33.09,33.72,32.86,33.59,6048000,22.59
"2007-07-10",33.2,33.9,33.05,33.4,8889600,22.46
"2007-07-11",33.32,33.66,33.07,33.37,7748500,22.44
"2007-07-12",33.38,33.79,33.15,33.7,8368100,22.67
"2007-07-13",33.68,34.22,33.55,34.05,4643800,22.9
"2007-07-16",33.95,34.03,33.23,33.37,5001500,22.44
"2007-07-17",33.47,34.07,33.06,33.25,3419400,22.36
"2007-07-18",33.26,34,33.06,33.87,6638100,22.78
"2007-07-19",33.65,34.54,33.63,34.39,5435700,23.13
"2007-07-20",35.83,35.84,34.56,34.72,14395000,23.35
"2007-07-23",34.8,34.86,34.28,34.3,7677100,23.07
"2007-07-24",33.81,33.99,33.06,33.16,8226100,22.3
"2007-07-25",33.16,33.56,32.5,33.31,7861300,22.4
"2007-07-26",33.12,33.2,30.6,31.9,14612500,21.46
"2007-07-27",31.82,31.87,30.71,31.4,13296600,21.12
"2007-07-30",31.39,32.05,30.83,31.81,10085500,21.39
"2007-07-31",32.7,33.11,32.19,32.25,8516100,21.69
"2007-08-01",32.5,33.8,31.75,32.79,11880800,22.05
"2007-08-02",33.5,33.78,32.47,33.16,11575800,22.3
"2007-08-03",33.69,34.25,32.61,32.79,9338700,22.05
"2007-08-06",32.85,33.05,30.5,31.85,15120700,21.42
"2007-08-07",31.85,32.2,31.27,31.97,9956900,21.5
"2007-08-08",32.05,33.32,31.97,33,11446000,22.2
"2007-08-09",32.05,33,31.64,31.66,11616000,21.29
"2007-08-10",31.44,32,30,31.73,8787300,21.34
"2007-08-13",32.1,33.24,31.88,32.77,6735000,22.04
"2007-08-14",32.9,33.09,32.05,32.1,6289500,21.59
"2007-08-15",32.3,32.36,30.79,30.89,9279200,20.78
"2007-08-16",30.6,31.06,29.16,30.95,12010400,20.82
"2007-08-17",32.5,32.55,30.86,31.38,9775300,21.11
"2007-08-20",31.17,31.65,30.57,31.18,6458300,20.97
"2007-08-21",30.69,31.29,30.65,30.96,4320200,20.82
"2007-08-22",31.19,31.72,31.19,31.5,4194100,21.26
"2007-08-23",31.51,31.82,31.18,31.42,3832900,21.2
"2007-08-24",31.5,32,31.44,31.88,3387800,21.51
"2007-08-27",31.58,31.65,30.95,31.02,3462000,20.93
"2007-08-28",30.67,31,30.01,30.08,6546900,20.3
"2007-08-29",30.29,31.48,30.16,31.36,6597000,21.16
"2007-08-30",31.37,31.57,30.86,31.02,3061000,20.93
"2007-08-31",31.5,31.73,30.9,31,4955500,20.92
"2007-09-04",31.01,32.14,31.01,31.87,5453100,21.5
"2007-09-05",31.8,32.21,31.63,32.14,6950800,21.69
"2007-09-06",32.03,32.78,32.03,32.51,5999500,21.94
"2007-09-07",32,32.28,31.66,31.91,6106000,21.53
"2007-09-10",31.85,31.96,31,31.55,6143500,21.29
"2007-09-11",31.69,32.25,31.2,32.03,5282500,21.61
"2007-09-12",31.9,32.76,31.87,32.43,4921100,21.88
"2007-09-13",32.48,32.92,32.33,32.86,6004900,22.17
"2007-09-14",32.52,33.1,32.49,32.88,4512000,22.19
"2007-09-17",32.87,33.33,32.8,32.98,4526500,22.25
"2007-09-18",33.2,33.77,32.83,33.66,4041100,22.71
"2007-09-19",34.2,36.25,33.6,33.82,6055700,22.82
"2007-09-20",33.89,34.54,33.44,33.62,3523600,22.69
"2007-09-21",33.65,34.16,33.42,33.49,5908900,22.6
"2007-09-24",33.27,33.74,33.11,33.57,2995000,22.65
"2007-09-25",34.07,34.07,31.49,33.42,2732300,22.55
"2007-09-26",33.65,34.08,33.35,33.87,4011000,22.85
