"","WPX.Open","WPX.High","WPX.Low","WPX.Close","WPX.Volume","WPX.Adjusted"
"2011-12-12",22.5,23.42,17.92,19.25,988500,19.25
"2011-12-13",19.2,19.2,18.05,18.5,758700,18.5
"2011-12-14",18.3,18.33,17.57,18.07,616900,18.07
"2011-12-15",18.01,18.26,17.8,18.01,1695700,18.01
"2011-12-16",18.05,18.05,17.41,17.58,505500,17.58
"2011-12-19",17.31,18.04,17.01,17.25,244300,17.25
"2011-12-20",17.35,17.79,17.25,17.5,253100,17.5
"2011-12-21",17.8,17.84,17.31,17.5,204900,17.5
"2011-12-22",17.45,17.84,17.45,17.62,252200,17.62
"2011-12-23",17.72,18.49,17.72,18.26,619400,18.26
"2011-12-27",18.41,18.54,17.85,18.49,349500,18.49
"2011-12-28",18.39,18.51,17.86,18.4,703700,18.4
"2011-12-29",18.37,18.45,17.79,18,900600,18
"2011-12-30",18.2,18.2,17.7,18.17,2956400,18.17
"2012-01-03",18.38,18.67,17.86,18.1,7727900,18.1
"2012-01-04",18.1,18.15,17.47,17.72,7097300,17.72
"2012-01-05",17.48,17.85,17.25,17.52,3929000,17.52
"2012-01-06",17.49,17.55,17.26,17.28,6460700,17.28
"2012-01-09",17.3,17.3,16.21,16.67,5624400,16.67
"2012-01-10",16.39,17.2,15.84,16.98,9557000,16.98
"2012-01-11",16.58,16.93,16.45,16.51,6618700,16.51
"2012-01-12",16.51,16.53,15.61,15.66,10482400,15.66
"2012-01-13",15.47,15.81,15.21,15.66,6402500,15.66
"2012-01-17",15.67,15.81,15.1,15.49,4529300,15.49
"2012-01-18",15.33,15.43,15.1,15.35,4035200,15.35
"2012-01-19",15.31,15.63,14.61,14.83,5832300,14.83
"2012-01-20",14.84,14.99,14.2,14.75,6509800,14.75
"2012-01-23",14.8,15.33,14.69,15.09,5656200,15.09
"2012-01-24",15.01,15.74,14.82,15.31,3665000,15.31
"2012-01-25",15.27,16.33,15.2,16.18,5308600,16.18
"2012-01-26",16.14,16.19,15.52,15.69,2591800,15.69
"2012-01-27",15.58,16.16,15.4,16.05,2834400,16.05
"2012-01-30",15.92,16.46,15.53,16.38,2809600,16.38
