"","WY.Open","WY.High","WY.Low","WY.Close","WY.Volume","WY.Adjusted"
"2007-01-03",71.01,72.86,71,72.5,2330400,21.81
"2007-01-04",71.69,72.34,71.21,71.77,1957500,21.59
"2007-01-05",71.81,71.96,71.12,71.54,1506300,21.52
"2007-01-08",70.71,72.33,70.71,72.17,1117300,21.71
"2007-01-09",72.25,72.34,71.04,71.8,1430500,21.6
"2007-01-10",71.4,72.45,70.78,71.37,1188200,21.47
"2007-01-11",71.5,73.23,71.28,72.45,1890900,21.79
"2007-01-12",72.3,73.26,72.27,73,1942700,21.96
"2007-01-16",72.75,72.98,72.16,72.9,1251600,21.93
"2007-01-17",72.45,72.68,71.15,72.13,1837300,21.7
"2007-01-18",72.33,72.64,71.54,72.01,1447000,21.66
"2007-01-19",73.43,75.08,73,74.25,3783600,22.33
"2007-01-22",73.9,74.48,73.27,73.38,1738800,22.07
"2007-01-23",73.94,75.11,73.81,74.67,2428000,22.46
"2007-01-24",74.67,75.2,74.29,74.97,3039200,22.55
"2007-01-25",74.82,75.25,74.53,74.78,1886600,22.49
"2007-01-26",74.9,75.34,74.39,75.15,1844800,22.6
"2007-01-29",75.15,76.55,74.93,75.32,3285200,22.65
"2007-01-30",75.31,75.6,74.67,74.83,1933800,22.51
"2007-01-31",74.45,75.23,74.22,75,1642200,22.74
"2007-02-01",75.3,75.85,74.65,75.57,1457300,22.91
"2007-02-02",76.78,77.45,75.8,76.52,2953100,23.2
"2007-02-05",77.29,78.35,77.14,78.22,4187100,23.72
"2007-02-06",78,78.97,78,78.97,3277900,23.94
"2007-02-07",78.8,79.41,78.27,79.26,2930100,24.03
"2007-02-08",79.1,79.7,78.47,78.99,5454900,23.95
"2007-02-09",77.99,79.96,77.5,78.14,5128100,23.69
"2007-02-12",78,78.44,77.43,78.44,4977900,23.78
"2007-02-13",78.8,81.44,78.8,80.95,5218300,24.54
"2007-02-14",79.75,81.64,79.68,81.56,5595100,24.73
"2007-02-15",81,82.5,80.74,82.39,4690800,24.98
"2007-02-16",83.33,83.44,79.68,83.03,6589400,25.18
"2007-02-20",82.55,83.03,82.35,82.83,4679100,25.11
"2007-02-21",81.9,83.65,81.62,83.57,8028600,25.34
"2007-02-22",84,84.28,82.29,83.07,5482800,25.19
"2007-02-23",83.07,83.07,81.93,82.25,8664100,24.94
"2007-02-26",84.5,87.08,84.02,86.02,10813600,26.08
"2007-02-27",84.6,87.09,83.5,84.75,13530400,25.7
"2007-02-28",84.5,86.13,84.5,85.91,16950200,26.05
"2007-03-01",85.87,86.35,84.5,86,16174000,26.08
"2007-03-02",85.75,87.03,85,86.18,10388400,26.13
"2007-03-05",84.51,86.9,84.51,84.75,5210200,25.7
"2007-03-06",85.3,86.65,85.01,86.2,16194800,26.14
"2007-03-07",84.5,84.96,83.1,84.15,11443900,25.52
"2007-03-08",83,84.67,82.07,82.5,4343500,25.01
"2007-03-09",82.75,83.29,81.62,82.17,3080800,24.91
"2007-03-12",82.22,82.44,80.58,80.88,3739000,24.52
"2007-03-13",80,80.19,79.06,79.1,6222800,23.98
"2007-03-14",79.1,82,77.2,78.83,7436800,23.9
"2007-03-15",79,80.46,79,79.58,3796700,24.13
"2007-03-16",79.25,80.25,78.97,79.19,3394500,24.01
"2007-03-19",79.15,79.54,78.29,78.81,3273400,23.9
"2007-03-20",78.4,78.9,77.75,78.1,3748000,23.68
"2007-03-21",78.45,79.3,76.91,78.48,5985500,23.8
"2007-03-22",79.25,80,77.52,77.67,3852600,23.55
"2007-03-23",76.88,79.14,76.75,78.06,3650200,23.67
"2007-03-26",78,78.05,76.1,77.44,3506800,23.48
"2007-03-27",76.3,76.61,75.53,75.97,3607100,23.03
"2007-03-28",75.6,75.7,74.08,74.8,4550500,22.68
"2007-03-29",75.64,75.64,74.07,74.63,2158100,22.63
"2007-03-30",74.9,76.21,74.2,74.74,2443300,22.66
"2007-04-02",75.4,75.4,74.17,74.95,2580700,22.73
"2007-04-03",75.4,76.82,75.12,76.52,2497700,23.2
"2007-04-04",76.52,77.23,76.16,76.71,2440000,23.26
"2007-04-05",76.31,76.4,75.76,75.76,1432500,22.97
"2007-04-09",76.2,76.51,75.73,76.21,1565700,23.11
"2007-04-10",76.16,76.71,75.97,75.98,947800,23.04
"2007-04-11",76.3,76.35,74.6,74.69,1645000,22.65
"2007-04-12",74.85,75.31,74.6,75.2,2082900,22.8
"2007-04-13",75.75,76.07,75.38,76.02,1663500,23.05
"2007-04-16",76.02,79.45,75.94,79.1,4811300,23.98
"2007-04-17",79.4,79.4,77.32,77.73,2672600,23.57
"2007-04-18",77.65,78.14,77.1,77.48,2283400,23.49
"2007-04-19",77.44,77.44,76.14,76.44,1700700,23.18
"2007-04-20",76.94,77.5,76.66,77.5,3166400,23.5
"2007-04-23",77.75,77.94,76.76,77.09,2076800,23.37
"2007-04-24",77.2,77.28,76.07,76.53,1719500,23.2
"2007-04-25",76.9,77.51,76.52,77.35,1778100,23.45
"2007-04-26",77.25,81.5,76.7,81.25,5273100,24.64
"2007-04-27",80.84,81.5,79.42,81.35,2901200,24.67
"2007-04-30",80.85,80.93,79.17,79.22,2434800,24.02
"2007-05-01",79.5,79.7,77.78,78.91,2856300,23.93
"2007-05-02",78.32,79.57,78.23,79.33,1669600,24.24
"2007-05-03",79.3,79.8,78.03,78.15,2736700,23.88
"2007-05-04",82.01,84.85,81.99,82.62,7270600,25.24
"2007-05-07",82.17,83.15,81.6,82.14,2320100,25.1
"2007-05-08",81.9,82.29,81.58,81.86,1961300,25.01
"2007-05-09",81.8,82.43,81.5,82.15,2249900,25.1
"2007-05-10",81.75,82.12,80.5,80.81,1890800,24.69
"2007-05-11",80.95,81.72,80.58,81.34,924000,24.85
"2007-05-14",81.36,81.36,80.29,81,1683000,24.75
"2007-05-15",80.83,81.01,79.56,80.03,2347000,24.45
"2007-05-16",80.4,80.4,79.17,79.44,2227000,24.27
"2007-05-17",79.17,80.23,79.17,79.92,1178100,24.42
"2007-05-18",80.3,80.32,79.87,80.14,1103500,24.49
"2007-05-21",80.25,81.77,80,80.47,2961200,24.59
"2007-05-22",80.72,80.95,80.17,80.35,1275600,24.55
"2007-05-23",80.4,80.9,79.58,79.65,1050200,24.34
"2007-05-24",79.58,80.98,79.01,79.07,1349100,24.16
"2007-05-25",79.06,80.06,79.02,79.95,900400,24.43
"2007-05-29",79.88,80.7,79.62,80.19,942000,24.5
"2007-05-30",79.72,80.98,79.45,80.96,1422800,24.74
"2007-05-31",81.3,82.56,81.3,81.96,2152600,25.04
"2007-06-01",81.96,82.8,81,82.35,1736800,25.16
"2007-06-04",81.9,82.56,81.05,82.43,1406100,25.19
"2007-06-05",81.95,82.3,81.18,82.27,1287700,25.14
"2007-06-06",82.15,82.15,81.12,81.4,1104400,24.87
"2007-06-07",81.1,81.61,80.06,80.06,1646000,24.46
"2007-06-08",80.06,81.69,79.55,81.61,1028300,24.93
"2007-06-11",81.36,81.45,80.21,80.67,1976100,24.65
"2007-06-12",80.35,81.06,80.01,80.27,1471200,24.53
"2007-06-13",80.8,82,80.38,82,1383800,25.05
"2007-06-14",82,83.25,81.37,81.8,1422300,24.99
"2007-06-15",83.47,83.47,81.89,82.05,2155700,25.07
"2007-06-18",82.55,82.9,81.37,81.53,1598400,24.91
"2007-06-19",81.56,81.79,80.94,81.21,1373300,24.81
"2007-06-20",81.24,82.45,80.68,80.68,1571100,24.65
"2007-06-21",80.67,81.67,79.54,81.6,1546300,24.93
"2007-06-22",81.15,81.69,80.24,80.57,1522700,24.62
"2007-06-25",80.75,81.14,79.49,79.98,1589000,24.44
"2007-06-26",80.18,80.29,78.22,78.33,1961000,23.93
"2007-06-27",78.2,78.88,77.23,78.69,1779300,24.04
"2007-06-28",76.21,82.47,74.66,79.15,1505200,24.18
"2007-06-29",79.3,79.89,78.51,78.93,1862300,24.12
"2007-07-02",79,80.11,79,80.02,1646300,24.45
"2007-07-03",80.25,81.01,80.15,80.68,982000,24.65
"2007-07-05",81.54,81.54,80.21,80.93,1271300,24.73
"2007-07-06",80.49,81.02,80.18,80.65,1137200,24.64
"2007-07-09",80.84,80.93,80.06,80.4,1047700,24.56
"2007-07-10",80.2,80.2,78.78,78.84,1587900,24.09
"2007-07-11",78.65,78.97,78.03,78.69,1544700,24.04
"2007-07-12",78.99,79.74,78.69,79.63,1468400,24.33
"2007-07-13",80.38,81.97,80.25,81.68,1872000,24.96
"2007-07-16",81.59,82.5,81.46,81.5,1176000,24.9
"2007-07-17",81.75,83.25,81.55,82.76,1619800,25.29
"2007-07-18",82.3,83.52,82.3,82.98,2865200,25.35
"2007-07-19",83.2,84.29,83.1,84.05,2007600,25.68
"2007-07-20",82.55,84.05,81.3,81.4,1646700,24.87
"2007-07-23",82.78,83.2,81.72,82.63,1534100,25.25
