"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume","WYN.Adjusted"
"2007-01-03",32.03,32.9,31.9,32.59,1407700,28.81
"2007-01-04",32.31,32.47,32.23,32.26,1742900,28.52
"2007-01-05",32.3,32.55,32.15,32.24,732700,28.5
"2007-01-08",32.03,32.44,31.95,32.27,781900,28.53
"2007-01-09",32.4,32.51,32.07,32.3,1077300,28.56
"2007-01-10",32.3,32.53,32.2,32.45,980000,28.69
"2007-01-11",32.43,32.89,32.42,32.72,849600,28.93
"2007-01-12",32.66,32.75,32.35,32.51,543500,28.74
"2007-01-16",32.5,32.65,32.22,32.41,608100,28.66
"2007-01-17",32.3,32.5,31.92,31.99,665300,28.28
"2007-01-18",32.07,32.11,31.59,31.63,631300,27.97
"2007-01-19",31.67,31.95,31.28,31.29,621200,27.67
"2007-01-22",31.35,31.36,30.84,30.87,737900,27.29
"2007-01-23",30.93,31.41,30.9,30.99,773100,27.4
"2007-01-24",31.08,31.34,30.98,31.09,973200,27.49
"2007-01-25",30.95,31.29,29.95,29.95,944500,26.48
"2007-01-26",30.2,30.63,30.2,30.39,1344700,26.87
"2007-01-29",30.37,30.47,29.72,30,1218800,26.52
"2007-01-30",30.05,30.7,29.99,30.63,1082300,27.08
"2007-01-31",30.64,31.4,30.45,31.2,1017500,27.59
"2007-02-01",31.18,32.27,31.09,32.15,1278700,28.43
"2007-02-02",32.16,32.65,32.09,32.55,2050800,28.78
"2007-02-05",32.42,32.82,32.35,32.78,763500,28.98
"2007-02-06",32.8,32.89,32.72,32.89,853300,29.08
"2007-02-07",32.89,33.05,32.66,33.04,829400,29.21
"2007-02-08",33,33.87,32.9,33.87,1389100,29.95
"2007-02-09",33.94,33.97,33.75,33.91,1844500,29.98
"2007-02-12",33.75,33.92,33.63,33.86,1363000,29.94
"2007-02-13",34.5,35.1,34.4,34.82,1696500,30.79
"2007-02-14",34.81,35.05,34.61,34.85,877300,30.81
"2007-02-15",34.78,34.79,34.44,34.69,1105000,30.67
"2007-02-16",34.48,34.8,34.44,34.67,900200,30.65
