"","X.Open","X.High","X.Low","X.Close","X.Volume","X.Adjusted"
"2007-01-03",72.55,72.92,70.31,71.31,3158800,66.78
"2007-01-04",71.29,71.29,69.63,70.64,2648600,66.15
"2007-01-05",70.64,71.01,69.03,69.72,3784900,65.29
"2007-01-08",69.58,71,69.54,70.66,2396700,66.17
"2007-01-09",70.67,70.67,68.83,70.2,3458800,65.74
"2007-01-10",70.5,71.25,69.08,70.84,2338000,66.34
"2007-01-11",70.84,72.53,70.71,71.96,2902400,67.39
"2007-01-12",71.97,73.47,71.71,73.29,2923900,68.63
"2007-01-16",73.1,73.27,71.89,72.28,1934100,67.69
"2007-01-17",72.02,72.61,71.38,71.98,2120200,67.41
"2007-01-18",71.98,72.85,69.57,70.02,3997400,65.57
"2007-01-19",70.56,72.43,70.14,72.23,3542000,67.64
"2007-01-22",72.23,72.72,71.04,72.06,2630200,67.48
"2007-01-23",71.85,75.32,71.85,75.11,4327100,70.34
"2007-01-24",75.12,77.48,74.5,77.25,3909200,72.34
"2007-01-25",79.2,80.09,77.16,77.8,6511700,72.86
"2007-01-26",78.8,78.9,76.63,77.98,2623500,73.03
"2007-01-29",77.99,78.84,76.64,76.88,3186800,72
"2007-01-30",77.9,80.99,76.63,80.27,6981500,75.17
"2007-01-31",80.83,84.18,79.97,83.49,7391900,78.19
"2007-02-01",84.37,84.76,82.55,84.29,4401200,78.93
"2007-02-02",84.3,85.94,82.92,85.75,3692700,80.3
"2007-02-05",85.5,87.41,85.05,86.25,4366600,80.77
"2007-02-06",86.36,87.48,85.71,87.1,2855700,81.57
"2007-02-07",87.1,88.58,86.26,86.94,3271900,81.42
"2007-02-08",86.6,87.77,85.24,87.63,2773300,82.06
"2007-02-09",86.55,86.97,83.5,83.82,3980000,78.49
"2007-02-12",83.83,86.92,83.52,85.61,5403200,80.36
"2007-02-13",87.45,88.08,86.32,87.51,3831200,82.15
"2007-02-14",87.6,88.87,86.91,87.9,3172900,82.51
"2007-02-15",87.9,90.86,87.85,90.09,4547400,84.57
"2007-02-16",90.15,90.99,89.5,90.65,3046500,85.09
"2007-02-20",89.76,91.47,89.25,90.9,2971700,85.33
"2007-02-21",90.49,93.87,90.03,93.85,3522100,88.1
"2007-02-22",94.02,94.17,91.9,93.25,3326900,87.53
"2007-02-23",93.4,93.93,92.12,93.09,2334400,87.38
"2007-02-26",93.5,94.95,93.1,93.9,2969700,88.14
"2007-02-27",90,91.06,85.4,86.51,6414400,81.21
"2007-02-28",87.45,89.5,86.18,88.68,5665800,83.24
"2007-03-01",86.25,89.33,85.6,87.73,4857900,82.35
"2007-03-02",87.76,88.74,85.6,86.01,3835900,80.74
"2007-03-05",85,86.81,83.97,84.96,4306900,79.75
"2007-03-06",86.1,88.38,85.79,87.67,3582700,82.3
"2007-03-07",87.63,88.97,87.11,87.7,2885500,82.32
"2007-03-08",89,91.12,88.67,90.51,4326400,84.96
"2007-03-09",91.59,91.82,89.61,91.24,4278400,85.65
"2007-03-12",91.75,92.65,88.51,90.86,4825000,85.29
"2007-03-13",90.06,91.95,86.96,87.14,4330400,81.8
"2007-03-14",88.1,89.65,85.91,89.29,4922100,83.82
"2007-03-15",89.29,90.68,89.1,89.9,2935300,84.39
"2007-03-16",89.95,90.15,89.01,89.24,4642600,83.77
"2007-03-19",89.84,91.26,88.69,90.37,5615300,84.83
"2007-03-20",91,93.1,90.5,92.99,5832600,87.29
"2007-03-21",92.99,95.8,92.51,95.8,4707200,89.93
"2007-03-22",95.99,96.34,94.7,94.8,3239400,88.99
"2007-03-23",95.5,96.31,94.85,96.31,3028400,90.41
"2007-03-26",97.01,97.81,95.23,97.81,3314300,91.81
"2007-03-27",97.6,98.53,97.06,98.28,3388600,92.26
"2007-03-28",97.28,98.33,96.83,97.61,3586400,91.63
"2007-03-29",98.01,101.59,97.37,101.22,8493600,95.02
"2007-03-30",101.22,101.6,98.87,99.17,4385900,93.09
"2007-04-02",99.3,101.28,99.07,100.85,3449800,94.67
"2007-04-03",101.1,101.68,100.38,100.85,2681400,94.67
"2007-04-04",101.05,102.5,100.51,101.96,2475200,95.71
"2007-04-05",101.92,103.2,101.29,102.72,2956900,96.42
"2007-04-09",103.62,104.23,103.01,103.24,2080500,96.91
"2007-04-10",103.75,103.92,101.43,101.63,2723700,95.4
"2007-04-11",101.88,103.67,101.82,102.76,3442900,96.46
"2007-04-12",103.5,105,103.18,104.69,3849000,98.27
"2007-04-13",104.8,105.66,103.84,105.57,2210000,99.1
"2007-04-16",106.27,108.11,106.1,108.1,3066900,101.47
"2007-04-17",107.16,107.95,106.16,106.33,2441300,99.81
"2007-04-18",106.33,106.91,105.25,105.68,2501400,99.2
"2007-04-19",104.11,106.36,104.11,105.94,3213000,99.45
"2007-04-20",106.84,107.48,106.1,106.88,2962800,100.33
"2007-04-23",106.89,108.2,106.77,107,2334700,100.44
"2007-04-24",103.9,104.94,100.64,103.04,7096600,96.72
"2007-04-25",103.88,105.39,103.09,104.83,2557600,98.4
"2007-04-26",105.7,105.7,103.25,103.93,2185300,97.56
"2007-04-27",103.93,103.94,102.03,103.04,2240200,96.72
"2007-04-30",103.1,104.44,101.54,101.54,2674300,95.32
"2007-05-01",101.76,102.66,99.27,101.67,3418700,95.44
"2007-05-02",102.01,104.36,101.89,103.59,2078900,97.24
"2007-05-03",105.2,105.31,103.1,104.54,2286000,98.13
"2007-05-04",105.1,105.94,103.98,104.38,1870300,97.98
"2007-05-07",105.5,106.83,105,105.78,2255100,99.3
"2007-05-08",108,110.9,107.11,110.63,5579100,103.85
"2007-05-09",109.85,113.84,109.7,113.51,4775200,106.55
"2007-05-10",112.51,112.65,109.76,110.52,3032000,103.75
"2007-05-11",110.97,112.64,110.08,111.08,2488700,104.27
"2007-05-14",110.95,111.65,109.86,110.27,2146000,103.7
"2007-05-15",110.85,112.18,110.25,111.28,2338600,104.65
"2007-05-16",111.79,112.02,108.9,110.07,2275400,103.51
"2007-05-17",109.3,109.64,107.8,108.88,2962800,102.39
"2007-05-18",109.7,109.84,108,109.62,3036600,103.09
"2007-05-21",109.64,110.87,108.55,109.36,2910200,102.84
"2007-05-22",108.7,108.85,106.31,106.69,3539300,100.33
"2007-05-23",107.22,109.45,106.6,107.34,3168300,100.94
"2007-05-24",107.5,108.9,105.28,106.42,4602100,100.08
"2007-05-25",106.9,109.16,106.87,108.88,2638400,102.39
"2007-05-29",108.93,110.1,108.53,110.1,3078000,103.54
"2007-05-30",108.81,112.84,108.2,112.7,3775500,105.98
"2007-05-31",113.02,113.75,112.31,113.16,3121500,106.42
"2007-06-01",114.1,117.17,113.64,116.8,3871100,109.84
"2007-06-04",117,117,115.2,115.95,2248800,109.04
"2007-06-05",115.68,117.8,115.3,117.52,3753400,110.52
"2007-06-06",117.5,119.37,116.89,118.66,4513600,111.59
"2007-06-07",118.01,119.45,115.8,115.8,4365100,108.9
"2007-06-08",115.81,127.26,113.24,125.05,14185400,117.6
"2007-06-11",119.56,120.5,116.2,116.2,7365400,109.27
"2007-06-12",115.84,115.9,112.36,112.61,5449800,105.9
"2007-06-13",113.5,114.91,111.63,114.91,3844500,108.06
"2007-06-14",115.33,117.17,115,116.05,2555700,109.13
"2007-06-15",117.1,117.48,115.85,116.12,2447300,109.2
"2007-06-18",115.33,115.33,113.35,114.06,2863300,107.26
"2007-06-19",114.06,114.8,113.07,114.45,1944800,107.63
"2007-06-20",114.45,115.21,112.15,112.52,2209400,105.81
"2007-06-21",112.9,116.6,110.91,114.28,3912500,107.47
"2007-06-22",114.2,115.85,113.08,113.41,2531800,106.65
"2007-06-25",113.32,114,111.72,111.93,2672000,105.26
"2007-06-26",111.93,112.14,107.14,108.07,3128900,101.63
"2007-06-27",106.36,108.41,105.08,107.75,3535400,101.33
"2007-06-28",108,110.22,107.93,108.7,2395900,102.22
"2007-06-29",109.27,110.39,107.67,108.75,2118900,102.27
"2007-07-02",110,112,109.65,111.86,1974400,105.19
"2007-07-03",111.26,112.24,110.86,111.63,892900,104.98
"2007-07-05",111.35,112.61,111.14,112.56,1862500,105.85
"2007-07-06",113.08,114.23,112.05,113.27,1699800,106.52
"2007-07-09",114.4,115.25,112.86,113.07,1436100,106.33
"2007-07-10",112.89,113.04,109.5,109.74,2495500,103.2
"2007-07-11",111,112.26,109.5,111.11,2678000,104.49
"2007-07-12",112.6,114.45,111.11,114.41,2550900,107.59
"2007-07-13",115,116.37,114.07,116.1,1972900,109.18
"2007-07-16",116.37,116.37,112.95,114.47,1799000,107.65
"2007-07-17",115.14,115.14,113.07,113.53,2196400,106.76
"2007-07-18",112.64,114.35,112.11,114.23,1993800,107.42
"2007-07-19",113.1,113.69,108.77,110.56,3913100,103.97
"2007-07-20",107,109.24,105.1,105.33,3993200,99.05
"2007-07-23",106.59,107.28,105.3,105.99,2541400,99.67
"2007-07-24",108.5,109.43,105.75,106.41,3650200,100.07
"2007-07-25",106.75,107.5,102.37,104.04,3950000,97.84
"2007-07-26",102.55,102.88,96.99,99.69,4865600,93.75
"2007-07-27",99.69,102.43,97.38,97.73,3621100,91.9
"2007-07-30",98.05,101.29,97.74,100.41,9391100,94.43
"2007-07-31",101.52,102.74,98.29,98.29,3359600,92.43
"2007-08-01",97.81,98.64,92.4,95.61,5854400,89.91
"2007-08-02",95.72,97.25,94.66,95.64,3933600,89.94
"2007-08-03",95.38,95.96,91.39,91.53,3641200,86.07
"2007-08-06",91.61,92.18,87.02,91.95,5290600,86.47
"2007-08-07",91.16,94,89.71,92.21,5100200,86.71
"2007-08-08",93,95.75,91.7,92.5,3644500,86.99
"2007-08-09",89.5,90.58,84.49,84.65,7530500,79.6
"2007-08-10",84.15,87.93,83,86.66,6973200,81.49
"2007-08-13",88,90.2,87.65,87.72,3785000,82.68
"2007-08-14",88.5,89.05,85.27,86.05,3376700,81.11
"2007-08-15",86.9,87.25,80.26,80.95,4798600,76.3
"2007-08-16",80.2,81,74.41,80.42,7079600,75.8
"2007-08-17",84,84.83,79.98,82.24,5526900,77.52
"2007-08-20",83.17,85.98,81.75,84.33,4056900,79.49
"2007-08-21",84.04,89.17,83.49,88.88,4447700,83.78
"2007-08-22",90.63,92.73,90.11,92.73,4053900,87.4
"2007-08-23",93.7,93.75,89.51,90.8,3679800,85.59
"2007-08-24",91.79,93.39,90.08,93.39,3145100,88.03
"2007-08-27",93.6,95.58,92.7,93.01,2798300,87.67
"2007-08-28",91.53,91.53,87.01,87.58,4069000,82.55
"2007-08-29",88.55,90.16,87.52,90.16,3054400,84.98
"2007-08-30",88.21,90.7,88.1,90.02,2688900,84.85
"2007-08-31",91.51,95,91.35,94.48,3410900,89.05
"2007-09-04",93.34,96.59,92.49,95.25,3251600,89.78
"2007-09-05",94.25,94.72,93.21,93.75,3713800,88.37
"2007-09-06",94.66,96.57,94.25,95.76,3284200,90.26
"2007-09-07",95.19,96.21,93.46,93.9,4140200,88.51
"2007-09-10",94.41,95.3,90.48,91.05,3513100,85.82
"2007-09-11",92.44,93.2,90.89,91.89,3238400,86.61
"2007-09-12",89.91,91.16,88.96,89.26,3856700,84.13
"2007-09-13",90.36,92.23,89.5,90.29,3077300,85.1
"2007-09-14",90,92.62,89,91.64,2710900,86.38
"2007-09-17",91.5,92.84,90.52,91.19,2098300,85.95
"2007-09-18",92,98.05,91.06,97.75,4005800,92.14
"2007-09-19",98.64,103.54,98.18,100.33,6068100,94.57
"2007-09-20",100.92,104.28,99.92,103.52,4799600,97.57
"2007-09-21",104.6,105.82,103.52,105.07,3524300,99.04
"2007-09-24",106.35,108.47,102.41,104.06,5676800,98.08
"2007-09-25",103.51,104.77,101.63,104.4,2368300,98.4
"2007-09-26",105.25,106.79,104.26,105.05,2490900,99.02
"2007-09-27",106.23,107.47,104.95,106.04,2555100,99.95
"2007-09-28",105.75,106.65,104.9,105.94,2169300,99.86
"2007-10-01",106.5,107.67,105.18,107.28,2165900,101.12
"2007-10-02",108.35,111.47,107.8,110.23,3665300,103.9
"2007-10-03",109.06,109.86,106.96,107.36,2226000,101.19
"2007-10-04",105.18,106.11,102.86,103.25,5077400,97.32
"2007-10-05",104.5,105.61,102.37,105.29,4547500,99.24
"2007-10-08",104.67,107.37,104.11,105.48,1972000,99.42
"2007-10-09",105.87,107.93,105.06,107.51,3101500,101.34
"2007-10-10",107.9,109.36,106.98,108.13,2272000,101.92
"2007-10-11",108.78,110.54,105.1,106.71,2690100,100.58
"2007-10-12",105,106.07,104.06,106.07,2601700,99.98
"2007-10-15",106.97,111.47,106.43,108.7,4630100,102.46
"2007-10-16",107,107.53,103.5,104.41,3782400,98.41
"2007-10-17",106.49,109.1,105.82,106.99,3916600,100.85
"2007-10-18",105.71,110.12,105.54,109.24,2721500,102.97
"2007-10-19",108.75,109.5,104.81,104.99,2918500,98.96
"2007-10-22",103.09,105.4,102.09,105.36,3230300,99.31
"2007-10-23",105.78,107.3,104.4,106.2,2838900,100.1
"2007-10-24",105.2,107.43,103.75,105.48,3045400,99.42
"2007-10-25",105.35,107.49,104.14,104.99,2674900,98.96
"2007-10-26",105.75,111.33,105.16,111.28,3416400,104.89
"2007-10-29",111.4,114.68,110.6,112.5,3971400,106.04
"2007-10-30",105.91,108.77,104.13,104.62,4924700,98.61
"2007-10-31",105.1,108.92,103.95,107.9,3806500,101.7
"2007-11-01",106.37,107.12,99.3,100.1,4660000,94.35
"2007-11-02",100.67,102.9,98.24,101.2,4173600,95.39
"2007-11-05",101.13,102.29,98.31,100.87,3696100,95.08
"2007-11-06",102.2,104.5,100.38,104.22,3236900,98.23
"2007-11-07",103,103,98.64,98.86,3330200,93.18
"2007-11-08",100.1,101.27,95.17,98.28,4500200,92.64
"2007-11-09",97.18,97.19,94,94.06,4290000,88.84
"2007-11-12",93.71,93.72,87.15,87.97,6307900,83.09
"2007-11-13",89.6,91.36,88.2,90.85,4152900,85.81
"2007-11-14",92.67,95.33,91.02,92.05,3405700,86.94
"2007-11-15",91.87,92.11,88.81,90.47,4222300,85.45
"2007-11-16",90.9,91.5,87.44,89.58,3028800,84.61
"2007-11-19",89.99,91,85.27,86.42,4908800,81.62
"2007-11-20",86.73,89.85,85.55,87,5420900,82.17
"2007-11-21",86.46,93,85.05,91.14,7642900,86.08
"2007-11-23",92.67,94.68,91.57,93.9,2038300,88.69
"2007-11-26",94,94.57,89.14,89.66,4887000,84.68
"2007-11-27",90.3,91.45,88.95,90.79,3038900,85.75
"2007-11-28",91.55,97.41,91.13,96.16,3814800,90.82
"2007-11-29",96.04,98.85,94.42,97.67,2982200,92.25
"2007-11-30",101.42,101.84,96.47,97.7,4083700,92.28
"2007-12-03",98.46,98.46,94.62,95.21,2602600,89.93
"2007-12-04",94.45,95.26,93.24,94,2083200,88.78
"2007-12-05",95.06,97.81,95.06,96.68,2070900,91.31
"2007-12-06",97,101.22,96.16,100.6,3084800,95.02
"2007-12-07",101.35,104.48,99,103.64,3536300,97.89
"2007-12-10",103.64,109.22,103.64,108.26,4982300,102.25
"2007-12-11",108.27,111.81,105.75,106,6920900,100.12
"2007-12-12",109.18,113.73,108,113.22,7276600,106.94
