"","XL.Open","XL.High","XL.Low","XL.Close","XL.Volume","XL.Adjusted"
"2007-01-03",72.22,72.8,71.42,71.77,926000,57.49
"2007-01-04",71.78,71.78,70.87,71.34,915900,57.14
"2007-01-05",71.29,71.29,70.64,71.01,587000,56.88
"2007-01-08",70.96,70.98,70.38,70.79,708300,56.7
"2007-01-09",71.01,71.26,69.28,69.48,3867500,55.65
"2007-01-10",69.47,69.6,68.56,68.72,1232500,55.04
"2007-01-11",68.92,69.01,68.35,68.7,1215200,55.03
"2007-01-12",68.6,69.3,68.21,68.3,1175400,54.71
"2007-01-16",68.61,69.19,68.04,68.22,1273500,54.64
"2007-01-17",68.11,68.44,68,68.07,1573600,54.52
"2007-01-18",68.29,68.66,68.17,68.23,725500,54.65
"2007-01-19",68.51,68.61,67.76,67.85,667800,54.35
"2007-01-22",67.55,68.12,66.93,67.77,1103700,54.28
"2007-01-23",68,68.23,67.78,68.13,864800,54.57
"2007-01-24",68.42,68.78,68.09,68.62,928800,54.96
"2007-01-25",69.56,71.56,68.65,68.82,1874500,55.12
"2007-01-26",69.09,69.19,68.34,68.86,1427700,55.16
"2007-01-29",68.7,69.45,68.6,69.43,1325600,55.61
"2007-01-30",69.43,69.64,68.94,69.64,1011800,55.78
"2007-01-31",69.65,69.75,68.91,69,1615400,55.27
"2007-02-01",69.14,70.13,69.04,70,1365700,56.07
"2007-02-02",70,70.28,69.83,69.89,2165100,55.98
"2007-02-05",69.62,70.01,69.47,69.83,1233800,55.93
"2007-02-06",69.83,70.92,69.59,70.67,1790300,56.61
"2007-02-07",71.45,73.3,70.94,73.04,2581600,58.5
"2007-02-08",73.01,73.82,72.99,73.42,2088200,58.81
"2007-02-09",73.25,73.99,72.59,72.64,1112000,58.18
"2007-02-12",72.84,72.94,72.23,72.23,726900,57.86
"2007-02-13",72.48,72.72,72.33,72.61,776400,58.16
"2007-02-14",73,73.44,72.75,73.1,756600,58.55
"2007-02-15",72.9,73.4,72.51,72.93,570200,58.42
"2007-02-16",72.67,73.85,72.66,73.85,860400,59.15
"2007-02-20",73.85,73.89,72.86,73.85,832900,59.15
"2007-02-21",73.86,74.2,73.64,74.01,1033700,59.28
"2007-02-22",74.05,74.4,73.51,73.81,648800,59.12
"2007-02-23",73.59,73.88,72.59,72.9,672100,58.39
"2007-02-26",73.26,73.57,72.58,72.86,776900,58.36
"2007-02-27",72.86,73.36,71.19,71.54,1160100,57.3
"2007-02-28",71.54,71.67,70.92,71.01,1276200,56.88
"2007-03-01",70.3,70.7,69.67,70.09,1977600,56.14
"2007-03-02",69.9,70.22,69.33,69.69,1562300,55.82
"2007-03-05",69.4,70.35,68.96,70.07,1404600,56.13
"2007-03-06",70.4,70.84,69.87,70.81,910800,56.72
"2007-03-07",70.43,70.98,70.28,70.76,868500,56.68
"2007-03-08",71.07,71.29,70.72,71.01,950100,56.88
"2007-03-09",71.35,71.38,70.67,70.69,1457900,56.62
"2007-03-12",70.74,70.99,70.43,70.79,523200,56.7
"2007-03-13",70.22,70.22,68.9,69,1603500,55.57
"2007-03-14",69.01,69.21,67.36,68.12,2272100,54.86
"2007-03-15",68.99,69.11,67.78,67.97,1835200,54.74
"2007-03-16",68.51,68.95,68.14,68.31,1605500,55.01
"2007-03-19",68.37,69.37,68.37,69.33,1163500,55.83
"2007-03-20",69.33,70.1,68.92,69.93,1150700,56.32
"2007-03-21",69.82,71.05,69.5,71.04,1297100,57.21
"2007-03-22",70.97,71.37,70.63,70.87,1227800,57.07
"2007-03-23",70.8,71.22,70.72,70.85,853600,57.06
"2007-03-26",71.45,71.45,70.63,71.14,1158000,57.29
"2007-03-27",70.86,70.96,70.13,70.15,830900,56.49
"2007-03-28",70.14,70.25,69.36,69.39,1540200,55.88
"2007-03-29",70,70.22,69.73,70.12,1037400,56.47
"2007-03-30",69.8,70.53,69.44,69.96,1174900,56.34
"2007-04-02",69.98,70.27,69.44,69.98,874800,56.36
"2007-04-03",70.02,70.97,70.02,70.86,1220500,57.06
"2007-04-04",70.84,70.85,69.72,69.8,1215300,56.21
"2007-04-05",69.8,70.21,69.71,70.1,1021600,56.45
"2007-04-09",70.02,70.36,69.75,69.78,1065400,56.2
"2007-04-10",69.77,70.18,69.7,70.05,1303800,56.41
"2007-04-11",70.29,70.43,70.03,70.15,1533500,56.49
"2007-04-12",70.16,70.3,69.66,70.18,1172300,56.52
"2007-04-13",70.27,70.85,70.2,70.8,985600,57.02
"2007-04-16",70.87,71.74,70.86,71.52,1214400,57.6
"2007-04-17",71.68,72.12,71.59,71.85,1455700,57.86
"2007-04-18",71.86,72.65,71.63,72.38,1634000,58.29
"2007-04-19",73.28,73.28,72.07,72.52,1400200,58.4
"2007-04-20",72.9,73.32,72.8,73.09,1302800,58.86
"2007-04-23",73.09,73.21,72.53,72.53,830300,58.41
"2007-04-24",72.7,73.9,72.42,73.76,1961700,59.4
"2007-04-25",78,80.33,75.79,78.55,4341700,63.26
"2007-04-26",77.9,78.67,77.61,78.19,1535600,62.97
"2007-04-27",77.6,78.45,76.97,78.19,1554400,62.97
"2007-04-30",78.2,78.65,77.84,77.98,1239300,62.8
"2007-05-01",78.28,79.19,78.28,78.73,1757400,63.4
"2007-05-02",78.9,79.4,78.64,79.04,1935700,63.65
"2007-05-03",79.4,79.72,79,79.1,1170800,63.7
"2007-05-04",79.26,79.97,79.1,79.43,1014400,63.97
"2007-05-07",79.98,80.98,79.74,80.44,1241700,64.78
"2007-05-08",80.45,80.47,79.72,79.97,1451400,64.4
"2007-05-09",79.98,80.59,79.95,80.31,1262500,64.68
"2007-05-10",80.25,80.5,79.4,79.41,1213300,63.95
"2007-05-11",79.64,80.45,79.5,80.45,1296500,64.79
"2007-05-14",80.52,80.85,80.43,80.55,1059900,64.87
"2007-05-15",80.55,81.17,80.5,80.67,904600,64.96
"2007-05-16",81.25,81.84,80.71,81.66,1640000,65.76
"2007-05-17",81.66,81.85,81.38,81.52,560400,65.65
"2007-05-18",81.56,81.7,80.78,81.58,799400,65.7
"2007-05-21",80.1,81.46,80.05,81.33,1981500,65.5
"2007-05-22",81.34,82,81.33,81.95,1479000,66
"2007-05-23",81.7,81.8,81.01,81.01,767800,65.24
"2007-05-24",80.7,80.89,79.86,79.98,1263600,64.41
"2007-05-25",79.79,80.06,79.15,80.03,782100,64.45
"2007-05-29",79.88,80.36,79.65,80.23,1176800,64.61
"2007-05-30",80.24,80.86,79.99,80.79,810400,65.06
"2007-05-31",80.79,81.9,80.66,81.56,1355900,65.68
"2007-06-01",81.97,82,81.78,81.9,1321600,65.96
"2007-06-04",81.8,82.82,81.64,82.66,1581100,66.57
"2007-06-05",82.49,83.28,82.25,82.64,1709500,66.55
"2007-06-06",82.13,83.35,82.1,83.14,2025200,66.95
"2007-06-07",82.35,82.35,80.4,80.49,2626000,65.12
"2007-06-08",80.49,81.51,79.96,81.44,1517200,65.89
"2007-06-11",81.44,82.22,81.35,81.89,1220800,66.25
"2007-06-12",81.25,82.38,81.11,81.37,1651000,65.83
"2007-06-13",81.8,82.31,81.15,82.31,1689900,66.59
"2007-06-14",82.73,83.52,82.47,83.27,2091800,67.37
"2007-06-15",83.5,84.23,83.17,83.42,2125600,67.49
"2007-06-18",83.7,84.01,83.07,83.61,1582400,67.64
"2007-06-19",83.36,83.87,83.28,83.68,1209800,67.7
"2007-06-20",83.81,83.81,82.91,83.1,2082000,67.23
"2007-06-21",83.4,83.4,82.5,82.7,2074500,66.91
"2007-06-22",82.8,83.38,82.24,83.31,8895500,67.4
"2007-06-25",83.3,83.5,82.53,83.19,2271400,67.3
"2007-06-26",83.27,83.66,82.48,83.24,1631500,67.34
"2007-06-27",82.67,83.93,82.5,83.83,1609500,67.82
"2007-06-28",83.84,84.4,83.35,84,1669100,67.96
"2007-06-29",84.9,84.91,83.87,84.29,1573100,68.19
"2007-07-02",84.33,85.05,84.33,85.03,716600,68.79
"2007-07-03",85.53,85.67,84.54,84.6,868500,68.44
"2007-07-05",84.6,84.7,84.11,84.45,902000,68.32
"2007-07-06",84.63,84.75,83.11,83.44,1155900,67.5
"2007-07-09",83.32,84.9,83.01,84.41,1646600,68.29
"2007-07-10",84.41,84.41,83.3,83.3,1445100,67.39
"2007-07-11",83.27,83.3,82.18,82.97,1393600,67.12
"2007-07-12",82.5,84.43,82,84.38,1545000,68.26
"2007-07-13",84.3,84.65,83.78,84.33,1709300,68.22
"2007-07-16",83.99,84.78,83.61,84.49,894100,68.35
"2007-07-17",84,84.19,83.32,84.13,2236400,68.06
"2007-07-18",83.75,84,82.41,83.14,2585100,67.26
"2007-07-19",83.81,84.65,83.14,84.38,1321100,68.26
"2007-07-20",84.35,84.68,82.74,83,1369300,67.15
"2007-07-23",82.03,83.67,82.03,83.02,1258300,67.16
"2007-07-24",82.05,82.06,78.65,79,3406000,63.91
"2007-07-25",81.39,82.81,79.84,82.07,3105700,66.4
"2007-07-26",81.05,81.49,78.2,79.56,2324200,64.37
"2007-07-27",79.3,80.08,77.92,78.01,1753700,63.11
"2007-07-30",78.01,79.56,76.92,79.42,2032800,64.25
"2007-07-31",79.97,80.12,77.72,77.86,1752000,62.99
"2007-08-01",76.61,78.49,75.26,78.09,2433500,63.18
"2007-08-02",77.95,79.95,77.59,78,1431400,63.1
"2007-08-03",77.61,77.81,72.93,72.94,3053400,59.01
"2007-08-06",73.33,76.94,70.47,76.94,3100400,62.25
"2007-08-07",76.34,79.78,75.92,78.87,2858700,63.81
"2007-08-08",79.5,79.91,76.75,77.9,2384900,63.02
"2007-08-09",75.5,77.71,73.47,76.2,2398400,61.65
"2007-08-10",74.95,76.91,72.99,75.16,2613300,60.81
"2007-08-13",75.5,76.23,74.33,74.46,1993600,60.24
"2007-08-14",74.89,74.97,72.8,72.8,1482900,58.9
"2007-08-15",72.81,73.76,72.22,72.77,1316500,58.87
"2007-08-16",71.92,74.38,71.74,73.57,2702300,59.52
"2007-08-17",76,76.99,72.53,73.64,2903000,59.58
"2007-08-20",74.25,75.43,73.61,75.01,2119900,60.68
"2007-08-21",75.22,77,74.8,76.58,1445600,61.95
"2007-08-22",77.7,79.89,77.26,79.33,1962800,64.18
"2007-08-23",79.76,79.76,77.86,78.27,1229900,63.32
"2007-08-24",78.4,78.6,76.95,78.45,771000,63.47
"2007-08-27",78.3,78.46,77.14,77.14,1261000,62.41
"2007-08-28",76.6,76.82,74.87,75.06,1060000,60.72
"2007-08-29",75.6,77.69,75.23,77.67,853200,62.84
"2007-08-30",76.75,77.22,75.72,76.01,895800,61.49
"2007-08-31",77.07,77.57,75.73,76.2,717900,61.65
"2007-09-04",75.68,77.34,75.67,76.89,1141700,62.21
"2007-09-05",76.13,76.33,75.37,75.95,1267000,61.44
"2007-09-06",75.68,76.45,74.88,75.54,918900,61.42
"2007-09-07",74.17,74.7,73.23,73.5,1463700,59.76
"2007-09-10",73.75,73.96,72.1,73.12,1828900,59.45
"2007-09-11",73.42,73.8,72.9,73.44,904900,59.71
"2007-09-12",73.38,73.62,72.42,72.64,1290000,59.06
"2007-09-13",73.27,73.62,72.84,73.22,1119000,59.53
"2007-09-14",72.6,74.7,72.01,73.91,795300,60.09
"2007-09-17",73.77,73.9,72.57,73.54,712300,59.79
"2007-09-18",74.05,76.74,73.38,76.74,1005500,62.4
"2007-09-19",77.39,78.88,77,78.39,1191700,63.74
"2007-09-20",78.2,78.51,76.04,76.2,983600,61.96
"2007-09-21",77.1,77.11,76.12,76.62,1444300,62.3
"2007-09-24",76.8,77.9,76.43,77.63,1187800,63.12
"2007-09-25",77.79,79.16,77.26,78.62,1523200,63.92
"2007-09-26",78.68,79.42,77.42,78.18,1066600,63.57
"2007-09-27",78.19,78.61,77.46,78.03,1394500,63.44
"2007-09-28",78.08,79.39,77.35,79.2,1177400,64.4
"2007-10-01",79.58,80.84,79.07,79.65,1296400,64.76
"2007-10-02",79,79.89,78.2,79.49,1324800,64.63
"2007-10-03",79.26,79.91,78.9,79.51,576500,64.65
"2007-10-04",79.83,80.72,79.8,80.34,703000,65.32
"2007-10-05",81,82.1,80.74,81.24,874100,66.05
"2007-10-08",81.17,81.91,80.96,81.33,398200,66.13
"2007-10-09",81.32,81.63,80.58,81.46,899600,66.23
"2007-10-10",81.39,81.5,80.49,81.25,970100,66.06
"2007-10-11",81.6,81.6,79.34,79.37,1356900,64.53
"2007-10-12",79.84,80.06,79.1,79.7,867200,64.8
"2007-10-15",79.98,80,77.67,78.06,946000,63.47
"2007-10-16",77.97,77.99,76.63,76.98,952400,62.59
"2007-10-17",77.8,78.2,75.93,77.01,1187200,62.62
"2007-10-18",76.55,76.95,75.37,76.07,1173500,61.85
"2007-10-19",75.31,76.36,73.94,74.06,1510700,60.22
"2007-10-22",73.37,75.66,73.35,74.89,1052000,60.89
"2007-10-23",75.26,76.3,74,74.53,1653300,60.6
"2007-10-24",74.34,74.64,68.3,73.42,4589500,59.7
"2007-10-25",73.8,74.7,72.12,74.48,2708600,60.56
"2007-10-26",75.74,75.74,70.61,71.89,3907500,58.45
"2007-10-29",71.96,73.62,71.95,73.25,1757000,59.56
"2007-10-30",73.09,73.92,72.38,72.8,1410000,59.19
"2007-10-31",73.08,73.39,70.5,71.95,2693900,58.5
"2007-11-01",71.77,71.77,66.54,67.84,4282300,55.16
"2007-11-02",68.07,68.07,63.61,64.9,5121300,52.77
"2007-11-05",64.27,65.99,60.8,64.89,3170000,52.76
"2007-11-06",65.68,68.9,65.51,68.84,3301200,55.97
"2007-11-07",68.2,68.2,66.07,66.2,3562700,53.83
"2007-11-08",66.31,66.37,60.53,64.78,4705000,52.67
"2007-11-09",63.18,65.5,62.88,64.68,3485700,52.59
"2007-11-12",64.81,67.19,64.39,66,2447300,53.66
"2007-11-13",66.4,68.24,65.9,68.19,1765600,55.44
"2007-11-14",68.56,69.74,67.72,67.86,1861100,55.18
"2007-11-15",67.64,67.9,65.79,66.35,1636500,53.95
"2007-11-16",66.79,67.25,62.71,63.2,3640300,51.39
"2007-11-19",62.81,62.86,58.41,58.87,4905400,47.87
"2007-11-20",58.74,58.74,54.17,55.66,5403700,45.26
"2007-11-21",54.55,54.55,49.86,51.03,6010100,41.49
"2007-11-23",51.47,53.31,51.47,52.99,1452400,43.09
"2007-11-26",52.77,52.82,49.66,49.78,3296000,40.48
"2007-11-27",50.09,51.44,49.52,50.93,5176600,41.41
"2007-11-28",51.21,56.68,51.21,55.44,5056600,45.08
"2007-11-29",55.26,56.49,54.62,55.96,3896200,45.5
"2007-11-30",57.1,63.67,57.1,58.53,3901100,47.59
"2007-12-03",59.22,59.22,57,58.12,2070900,47.26
"2007-12-04",57.78,58.06,57,57.31,2402600,46.6
"2007-12-05",57.96,59.56,54.77,55.24,3605400,44.91
"2007-12-06",55.52,59.18,55.46,59.18,1919900,48.45
"2007-12-07",59.41,60.52,58.65,60.3,2141800,49.37
"2007-12-10",60.59,62.8,60,62.25,2199500,50.97
"2007-12-11",62.17,62.26,56.95,57.59,2373200,47.15
"2007-12-12",59,60.83,53.57,55.15,4879900,45.15
"2007-12-13",53.5,54,50.62,52.16,5276000,42.7
"2007-12-14",51.8,53.39,50.76,52.46,2619500,42.95
"2007-12-17",52.57,53.78,51.72,53,1962400,43.39
"2007-12-18",53.32,53.32,50.86,51.95,1937600,42.53
"2007-12-19",52.36,53.56,51.44,52.75,3219600,43.19
"2007-12-20",53.04,53.04,48.65,49.23,3936200,40.31
"2007-12-21",49.7,50.21,48.16,50.16,3560300,41.07
"2007-12-24",50.44,52.68,49.92,52.58,1175900,43.05
"2007-12-26",51.44,52.44,51.2,51.5,1471000,42.16
"2007-12-27",51.17,52.35,51.11,51.54,1272900,42.2
"2007-12-28",51.55,52.13,49.61,50.02,1120800,40.95
"2007-12-31",49.77,50.84,49.5,50.31,974800,41.19
"2008-01-02",50.21,50.86,49.41,50.15,2296500,41.06
"2008-01-03",50.51,51.03,50.16,50.7,1862100,41.51
"2008-01-04",50.32,51.18,49.78,49.89,1739800,40.85
"2008-01-07",50.53,52.26,49.51,51.48,2769600,42.15
"2008-01-08",51.77,52.01,47.82,47.9,2822900,39.22
"2008-01-09",48,48.54,45.39,47.5,4693500,38.89
"2008-01-10",46.95,50.8,46.12,50.1,2479300,41.02
"2008-01-11",50.01,51.25,48.33,49.69,1725600,40.68
"2008-01-14",50.59,51.11,49.75,50.96,1247300,41.72
"2008-01-15",50.65,51.4,49.85,50.95,2357400,41.71
"2008-01-16",50.55,51.77,49.73,51.12,3044200,41.85
"2008-01-17",50.8,50.8,41.84,44.39,8767400,36.34
"2008-01-18",44.43,44.99,38.68,39.52,6593900,32.36
"2008-01-22",37,42.64,36.34,40.89,4323100,33.48
"2008-01-23",40.13,46.48,38.77,46.3,5025600,37.91
"2008-01-24",47.75,48.25,44.26,45.3,4917700,37.09
"2008-01-25",46,47.85,43.92,44.69,6193500,36.59
"2008-01-28",44.44,44.89,42.7,44.29,3717400,36.26
"2008-01-29",44.89,47.92,44.43,47,3130300,38.48
"2008-01-30",47.07,47.57,44.18,44.78,2745900,36.66
"2008-01-31",44.23,46.57,43.32,45,3718300,36.84
"2008-02-01",44.93,46.7,44.93,46.44,4595700,38.02
"2008-02-04",46.05,46.22,44.4,45.05,2045400,36.88
"2008-02-05",44.64,44.8,43.14,44,2380500,36.02
"2008-02-06",42.05,45,42.05,43.97,3984700,36
"2008-02-07",42.37,44.46,41.46,43.09,4420000,35.28
"2008-02-08",42.45,43.2,41.7,42.68,2002900,34.94
"2008-02-11",42.59,42.59,39.57,39.7,3745200,32.5
"2008-02-12",40.02,40.65,38.67,39.25,4309000,32.13
"2008-02-13",39.63,41.79,38.27,38.55,5432200,31.56
"2008-02-14",38.49,39.18,37.73,38.06,3092300,31.16
"2008-02-15",37.9,39.34,37.39,38.65,2656700,31.64
"2008-02-19",39,39.54,37.31,37.82,2152600,30.96
"2008-02-20",37.42,38.4,37.07,38.1,2468000,31.19
"2008-02-21",38.31,38.49,36.79,36.9,2454200,30.21
"2008-02-22",36.98,37.07,35.68,36.86,2834700,30.18
"2008-02-25",36.67,38.32,36.07,38.16,5544100,31.24
"2008-02-26",37.78,39.71,37.71,39.1,4714000,32.01
"2008-02-27",38.97,40.8,38.64,40.6,3483300,33.24
"2008-02-28",39.7,39.86,38.14,38.45,1736800,31.48
"2008-02-29",37.77,37.89,35.9,36.06,2048000,29.52
"2008-03-03",35.68,36.16,34.22,35.12,3122800,28.75
"2008-03-04",34.85,34.91,33.32,34.66,2580800,28.38
"2008-03-05",36.32,36.32,34.19,34.4,2495300,28.16
"2008-03-06",34.16,34.33,32.9,32.99,2381000,27.01
"2008-03-07",32.77,34.11,32.17,32.58,2222100,26.67
"2008-03-10",32.37,32.9,30.97,31.1,2057600,25.46
"2008-03-11",32.06,34.02,31.52,33.76,3200200,27.64
"2008-03-12",33.28,35.34,32.56,32.65,2846800,27.04
"2008-03-13",31.36,31.98,30.61,31.76,4634900,26.3
"2008-03-14",32.19,32.65,30.9,31.47,3706700,26.06
"2008-03-17",30.47,30.64,27.73,29.18,4231800,24.16
"2008-03-18",30.1,33.13,29.85,33,4952300,27.33
"2008-03-19",33.1,34.36,29.9,30.06,4392100,24.89
"2008-03-20",30.29,32.42,30.24,32.03,3923300,26.52
"2008-03-24",32.1,33.6,32.1,32.95,2554900,27.28
"2008-03-25",33.03,33.23,32.09,32.73,1414200,27.1
"2008-03-26",32.5,32.5,30.39,30.49,1798100,25.25
"2008-03-27",29.71,32,28.94,29.96,2747700,24.81
"2008-03-28",29.95,30.25,29.35,29.5,1651900,24.43
"2008-03-31",29.11,30.31,28.68,29.55,1923100,24.47
"2008-04-01",30.31,32.05,30.18,31.91,2568300,26.42
"2008-04-02",31.67,32.04,30.66,31.37,2434300,25.98
"2008-04-03",31.11,31.32,30.56,30.95,1893900,25.63
"2008-04-04",31.11,31.11,30.2,30.33,1272500,25.11
"2008-04-07",30.62,31.18,30.42,31.01,2163000,25.68
"2008-04-08",30.71,31.09,30.14,30.36,2075800,25.14
"2008-04-09",30.92,31.27,30.15,30.34,2010900,25.12
"2008-04-10",30.35,31.13,29.87,30.4,1244000,25.17
"2008-04-11",30,31.2,29.75,29.95,1436900,24.8
"2008-04-14",29.51,29.75,28.79,28.96,1653400,23.98
"2008-04-15",29.29,29.86,29.18,29.68,1333700,24.58
"2008-04-16",29.75,30.25,28.87,29.15,1557800,24.14
"2008-04-17",29,30.55,29,30.44,2053100,25.21
"2008-04-18",31.2,31.34,30.14,30.44,1826600,25.21
"2008-04-21",29.98,30.68,29.78,30.43,1573500,25.2
"2008-04-22",30.13,30.3,29.51,30.04,1479400,24.87
"2008-04-23",28.49,29.62,28.08,29.1,4495000,24.1
"2008-04-24",29.21,31.07,28.95,31.02,5231000,25.69
"2008-04-25",31.4,32.41,30.92,32.28,3445900,26.73
"2008-04-28",32.51,33.67,31.98,33.43,4164600,27.68
"2008-04-29",34.38,35.33,34.02,34.88,3622900,28.88
"2008-04-30",34.67,35.39,34.17,34.89,2296100,28.89
"2008-05-01",34.97,36.84,34.75,36.65,1716500,30.35
"2008-05-02",37.39,38.3,37,37.78,2408900,31.28
"2008-05-05",37.34,37.34,34.4,34.57,3618100,28.63
"2008-05-06",34.68,36.07,34.01,35.99,1935100,29.8
"2008-05-07",36.27,36.42,33.62,33.84,2523100,28.02
"2008-05-08",33.76,34.14,32.79,32.99,2405400,27.32
"2008-05-09",32.05,35.57,32,34.26,3569700,28.37
"2008-05-12",34.1,35.1,33.8,34.44,1530500,28.52
"2008-05-13",34.84,34.86,33.72,34.06,1209200,28.2
"2008-05-14",34.28,35.15,34.06,34.83,1434500,28.84
"2008-05-15",34.71,35.48,34.48,35.4,2163800,29.31
"2008-05-16",35.39,35.53,34.67,35.45,1606300,29.35
"2008-05-19",35.33,35.75,35.02,35.55,1241500,29.44
"2008-05-20",35.65,35.65,34.36,34.92,1925000,28.92
"2008-05-21",35,35,33.29,33.48,1415700,27.72
"2008-05-22",33.5,34.64,33.26,34.41,972700,28.49
"2008-05-23",34.38,34.49,33.78,33.87,1180400,28.05
"2008-05-27",34.05,34.61,33.3,33.82,988800,28
"2008-05-28",33.91,33.98,32.31,32.97,1944900,27.3
"2008-05-29",33.08,34.75,32.93,34.67,1801600,28.71
"2008-05-30",34.65,35.2,34.03,34.91,3637900,28.91
"2008-06-02",35.14,35.14,33.12,33.66,1425400,27.87
"2008-06-03",33.92,34.98,33.76,34.38,1810900,28.47
"2008-06-04",34.24,34.8,33.33,33.54,1835700,27.77
"2008-06-05",33.79,34.46,33.52,34.36,1341100,28.45
"2008-06-06",34.33,34.33,32.16,32.31,1854900,26.75
"2008-06-09",31.73,32.65,31.45,31.93,1756200,26.44
"2008-06-10",31.9,33.82,31.76,33.44,2481300,27.69
"2008-06-11",31.86,32.88,30.53,30.62,3028300,25.65
"2008-06-12",31.14,32.15,30.66,31.06,1908900,26.01
"2008-06-13",31.82,31.82,29.73,30.58,2702800,25.61
"2008-06-16",30.42,31.2,29.79,30.63,1776800,25.65
"2008-06-17",30.94,30.94,29.56,29.79,2545800,24.95
"2008-06-18",29.72,30.22,29.44,30.09,2553700,25.2
"2008-06-19",29.75,30.33,29.1,30.26,3471800,25.34
"2008-06-20",30.23,30.23,28.32,28.36,2716800,23.75
"2008-06-23",28.1,28.35,25.8,25.8,4583200,21.61
