"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2007-01-03",76.26,76.27,73.51,74.11,30510700,62.65
"2007-01-04",73.85,73.9,72.21,72.72,31046600,61.47
"2007-01-05",72.45,73.38,72.22,73.24,24671500,61.91
"2007-01-08",73.88,74.25,71.85,72.65,25981900,61.41
"2007-01-09",71.85,72.84,71.44,72.09,27039900,60.94
"2007-01-10",71.81,73.11,70.64,70.99,30572000,60.01
"2007-01-11",70.99,72.85,70.77,70.98,29161700,60
"2007-01-12",71.21,72.71,71.2,72.66,24438700,61.42
"2007-01-16",72.5,72.65,71.25,71.63,25444400,60.55
"2007-01-17",71.49,72.62,71.41,72.46,31292200,61.25
"2007-01-18",72.67,73.13,71.19,71.96,23584000,60.83
"2007-01-19",72.5,73.63,72.2,73.53,23912600,62.16
"2007-01-22",73.65,73.75,72.5,72.9,21929300,61.62
"2007-01-23",73.55,74.91,73.47,74.49,29016600,62.97
"2007-01-24",74.5,74.99,73.75,74.9,19785400,63.31
"2007-01-25",74.62,74.94,73.36,73.52,22630100,62.15
"2007-01-26",73.89,74.49,73.45,73.61,20506200,62.22
"2007-01-29",73.65,74.09,72.8,73.2,17370600,61.88
"2007-01-30",73.45,74.59,73.33,74.39,21590500,62.88
"2007-01-31",74.39,74.72,73.48,74.1,24249200,62.64
"2007-02-01",74.58,75.28,73.81,75.08,25168000,63.47
"2007-02-02",75,75.79,74.45,75.54,24299300,63.86
"2007-02-05",75.65,75.88,75.06,75.67,18168800,63.97
"2007-02-06",75.86,75.97,75.04,75.46,16222300,63.79
"2007-02-07",75.4,75.88,74.53,74.79,18134700,63.49
"2007-02-08",74.28,75.63,74.24,75.46,18742000,64.06
"2007-02-09",75.46,75.73,74.91,75.22,17734200,63.86
"2007-02-12",74.93,75.07,74.33,74.6,16564600,63.33
"2007-02-13",74.8,75.5,74.59,75.45,15839600,64.05
"2007-02-14",75.9,76,74.99,75.6,17648800,64.18
"2007-02-15",75.19,75.49,74.72,75.34,17871900,63.96
"2007-02-16",75.26,75.55,75.01,75.29,18329200,63.92
"2007-02-20",74.9,75.05,74.29,74.87,15840500,63.56
"2007-02-21",74.72,75.27,74.25,74.78,17886500,63.48
"2007-02-22",74.62,75.21,74.2,75.08,17165300,63.74
"2007-02-23",75.29,75.55,75.04,75.22,17687900,63.86
"2007-02-26",75.52,76.1,75.26,75.4,17803600,64.01
"2007-02-27",74.89,75.23,71.38,71.83,34588800,60.98
"2007-02-28",72.23,73.6,71.18,71.68,55723000,60.85
"2007-03-01",70.9,72.08,70.05,70.99,39472200,60.27
"2007-03-02",70.95,71.25,69.31,70.01,27454600,59.43
"2007-03-05",69.35,70.84,69.02,69.98,33039300,59.41
"2007-03-06",70.7,71.02,70.2,71,26626400,60.27
"2007-03-07",71,72.86,70.56,71.64,31564400,60.82
"2007-03-08",72.15,72.18,71.2,71.85,27405800,61
"2007-03-09",71.95,72.38,70.9,71.12,28671000,60.38
"2007-03-12",70.8,71.4,70.7,70.87,20150800,60.16
"2007-03-13",70.37,71.56,69.73,69.91,27378900,59.35
"2007-03-14",70.1,71.02,69.64,71.02,30053700,60.29
"2007-03-15",70.71,71.24,70.4,70.69,23538500,60.01
"2007-03-16",70.77,70.87,69.52,69.86,46777100,59.31
"2007-03-19",70.12,71.18,70.11,71.1,23184100,60.36
"2007-03-20",71.12,72,71.02,72,23683300,61.12
"2007-03-21",72.44,73.33,71.87,73.23,28800100,62.17
"2007-03-22",73.53,74.92,73.47,74.36,27263800,63.13
"2007-03-23",74.66,75.42,74.65,75.02,26377900,63.69
"2007-03-26",75.44,75.69,74.51,75.47,27548800,64.07
"2007-03-27",75.37,75.97,75,75.71,21797400,64.27
"2007-03-28",76.16,76.25,75.21,75.56,24720100,64.14
"2007-03-29",75.83,76.29,75.57,76.24,21695900,64.72
"2007-03-30",76.24,76.35,74.94,75.45,24020300,64.05
"2007-04-02",75.35,76.4,75.28,76.16,21474700,64.65
"2007-04-03",76.1,76.97,75.63,76.8,22426100,65.2
"2007-04-04",76.59,77.22,76.03,77.11,20873400,65.46
"2007-04-05",77.1,77.31,76.88,77.22,20273100,65.55
"2007-04-09",76.77,77.72,76.68,76.8,17668200,65.2
"2007-04-10",76.8,77.85,76.75,77.57,18697700,65.85
"2007-04-11",77.6,77.67,76.68,76.77,24990000,65.17
"2007-04-12",76.97,77.49,76.46,77.39,24258000,65.7
"2007-04-13",77.5,77.67,77.08,77.41,19044500,65.72
