"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2007-01-03",30.06,30.47,29.44,29.99,1209500,28.82
"2007-01-04",29.98,30.17,29.5,30.08,1048000,28.91
"2007-01-05",30.09,30.24,29.9,30.08,852700,28.91
"2007-01-08",30.08,30.31,29.95,30.25,899000,29.07
"2007-01-09",30.17,30.61,30.17,30.26,784200,29.08
"2007-01-10",30.04,30.5,29.93,30.41,1181000,29.23
"2007-01-11",30.63,30.99,30.53,30.82,798800,29.62
"2007-01-12",31.31,32.58,31.3,32.17,1643800,30.92
"2007-01-16",32.25,32.33,31.62,31.83,935400,30.59
"2007-01-17",31.77,32.1,31.75,31.99,430700,30.75
"2007-01-18",31.99,32,31.5,31.67,765600,30.44
"2007-01-19",31.03,31.33,30.3,30.94,1269600,29.74
"2007-01-22",30.99,30.99,29.89,29.97,1679700,28.8
"2007-01-23",29.85,30.1,29.73,29.79,1012300,28.63
"2007-01-24",29.81,30.28,29.75,30.17,676300,29
"2007-01-25",30.22,30.22,29.55,29.81,1197000,28.65
"2007-01-26",29.81,30.53,29.58,30.29,1631500,29.11
"2007-01-29",30.05,30.62,30.05,30.53,1084200,29.34
"2007-01-30",30.45,30.88,30.3,30.68,932500,29.49
"2007-01-31",30.79,31,30.58,30.84,774200,29.64
"2007-02-01",31.01,31.13,30.79,30.81,664400,29.61
"2007-02-02",30.82,31.2,30.72,30.87,600500,29.67
"2007-02-05",30.71,30.9,30.49,30.76,498600,29.56
"2007-02-06",30.67,31.15,30.49,30.83,705800,29.63
"2007-02-07",31.75,32.83,31.7,32.14,1971700,30.89
"2007-02-08",32.19,33.29,32.19,32.73,2057900,31.46
"2007-02-09",32.71,33.2,32.23,32.44,1285800,31.18
"2007-02-12",32.56,32.85,31.93,32.35,814200,31.09
"2007-02-13",32.35,33.08,32.35,32.82,1082000,31.54
"2007-02-14",32.95,33.29,32.81,33.03,957100,31.75
"2007-02-15",32.89,33.04,32.72,32.94,588200,31.66
"2007-02-16",32.97,32.97,32.36,32.82,610300,31.54
"2007-02-20",32.82,32.83,32.25,32.64,840500,31.37
"2007-02-21",32.67,32.91,32.54,32.72,455900,31.45
"2007-02-22",32.65,32.78,32.32,32.53,687000,31.26
"2007-02-23",32.6,32.73,32.28,32.57,545700,31.3
"2007-02-26",32.7,32.98,32.59,32.76,524800,31.49
"2007-02-27",32.55,32.84,31.69,31.95,955200,30.71
"2007-02-28",31.4,31.83,31.05,31.54,771800,30.31
"2007-03-01",31.19,31.58,30.64,31.31,772700,30.09
"2007-03-02",31.28,31.42,30.61,30.8,666200,29.6
"2007-03-05",30.8,31.05,30.49,30.56,814000,29.37
"2007-03-06",30.58,31.15,30.5,31.07,728400,29.86
"2007-03-07",30.94,31.06,30.61,30.71,657200,29.52
"2007-03-08",30.83,31.38,30.67,31.22,786700,30.01
"2007-03-09",31.42,31.48,31.08,31.28,527900,30.06
"2007-03-12",31.1,31.77,31.1,31.49,1546800,30.27
"2007-03-13",31.31,31.96,31.09,31.11,1185900,29.9
"2007-03-14",31,31.69,30.97,31.58,857400,30.35
"2007-03-15",31.71,32.04,31.5,31.9,755500,30.66
"2007-03-16",31.83,31.96,31.6,31.76,798800,30.52
"2007-03-19",32.01,32.37,31.86,32.28,538200,31.02
"2007-03-20",32.28,32.42,32.15,32.39,599000,31.13
"2007-03-21",32.39,33.14,32.04,33.14,1003600,31.85
"2007-03-22",32.96,33.35,32.8,33.01,817900,31.73
"2007-03-23",33.15,33.25,32.9,33.01,580000,31.76
"2007-03-26",33,33.04,32.75,32.98,494400,31.74
"2007-03-27",32.87,32.95,32.59,32.75,508900,31.51
"2007-03-28",32.74,33.11,32.6,32.83,546600,31.59
"2007-03-29",32.99,33.05,32.57,32.92,397800,31.68
"2007-03-30",32.79,32.99,32.65,32.75,795500,31.51
"2007-04-02",32.8,33.1,32.53,33.06,715300,31.81
"2007-04-03",33.06,33.58,32.93,33.28,665800,32.02
"2007-04-04",33.42,33.44,33,33.13,522300,31.88
"2007-04-05",33.07,33.3,33.02,33.23,282600,31.98
"2007-04-09",33.26,33.28,32.94,32.96,635000,31.72
"2007-04-10",32.85,33.1,32.7,33.07,374100,31.82
"2007-04-11",32.95,33.37,32.75,32.98,692800,31.74
"2007-04-12",32.95,33.34,32.71,33.34,525200,32.08
"2007-04-13",33.37,33.4,33,33.29,401800,32.03
"2007-04-16",33.3,33.59,33.13,33.54,413700,32.27
"2007-04-17",33.49,33.58,33.28,33.46,460600,32.2
"2007-04-18",33.34,33.49,33.09,33.21,481500,31.96
"2007-04-19",33.06,33.06,32.5,32.83,591900,31.59
"2007-04-20",33.19,33.45,32.93,33.09,694200,31.84
"2007-04-23",33.02,33.18,32.87,33.05,850400,31.8
"2007-04-24",33.11,33.25,32.78,33.08,678400,31.83
"2007-04-25",33.07,33.49,32.91,33.25,627800,32
"2007-04-26",33.4,33.58,33.19,33.34,784000,32.08
"2007-04-27",33.33,33.57,32.55,33.46,969700,32.2
"2007-04-30",33.48,33.55,33.35,33.41,932800,32.15
"2007-05-01",34.08,36.61,34.03,36.04,3025900,34.68
