"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2007-01-03",17,17.1,16.77,16.9,4011700,14.91
"2007-01-04",16.9,16.94,16.66,16.89,2915400,14.9
"2007-01-05",16.89,16.99,16.65,16.73,2266200,14.76
"2007-01-08",16.7,17.13,16.54,17.01,5062000,15
"2007-01-09",17.02,17.07,16.85,16.96,2639300,14.96
"2007-01-10",16.97,17.03,16.74,16.96,3878100,14.96
"2007-01-11",16.99,17.3,16.97,17.28,6048400,15.24
"2007-01-12",17.24,17.25,16.92,17.01,4901200,15
"2007-01-16",17.1,17.25,17.07,17.21,4194900,15.18
"2007-01-17",17.14,17.2,16.98,17,2678500,15
"2007-01-18",17,17.09,16.83,16.84,3096200,14.85
"2007-01-19",16.84,17,16.71,16.87,2970400,14.88
"2007-01-22",16.84,16.93,16.5,16.7,3165300,14.73
"2007-01-23",16.7,16.7,16.12,16.53,5375400,14.58
"2007-01-24",16.54,17.04,16.5,16.98,4127000,14.98
"2007-01-25",16.98,17.09,16.87,16.91,3579900,14.92
"2007-01-26",16.92,17.11,16.88,17.03,4758200,15.02
"2007-01-29",17.08,17.2,16.96,17.02,4843700,15.01
"2007-01-30",16.81,17.21,16.81,17.17,5857200,15.15
"2007-01-31",17.2,17.21,17,17.2,5746900,15.17
"2007-02-01",17.25,17.37,17.19,17.25,4263300,15.22
"2007-02-02",17.23,17.27,17.13,17.23,3925900,15.2
"2007-02-05",17.28,17.38,17.22,17.29,4798500,15.25
"2007-02-06",17.29,17.37,17.18,17.27,3410300,15.23
"2007-02-07",17.27,17.38,17.27,17.33,3899900,15.29
"2007-02-08",17.26,17.36,17.22,17.33,4481500,15.29
"2007-02-09",17.35,17.51,17.3,17.41,4922300,15.36
"2007-02-12",17.4,17.45,17.28,17.38,3280400,15.33
"2007-02-13",17.45,17.69,17.44,17.68,4967600,15.6
"2007-02-14",17.68,18.04,17.67,17.93,7726700,15.82
"2007-02-15",17.89,18.16,17.85,18.05,4462700,15.92
"2007-02-16",17.97,18.17,17.91,18.09,4144900,15.96
"2007-02-20",18.09,18.19,18.01,18.06,3489800,15.93
"2007-02-21",17.97,18.08,17.92,17.97,3949500,15.85
"2007-02-22",17.97,18.06,17.95,17.99,3376500,15.87
"2007-02-23",18.1,18.32,17.8,17.88,4163100,15.77
"2007-02-26",17.84,18.23,17.73,17.91,3982100,15.8
"2007-02-27",17.47,17.77,17.14,17.23,5693500,15.2
"2007-02-28",17.12,17.38,17.1,17.27,5985000,15.23
"2007-03-01",16.93,17.4,16.87,17.17,5053200,15.15
"2007-03-02",17.1,17.15,16.83,16.88,4322500,14.89
"2007-03-05",16.72,17.02,16.42,16.76,3936100,14.78
"2007-03-06",16.81,16.95,16.65,16.89,3857100,14.9
"2007-03-07",16.93,16.96,16.7,16.8,3150300,14.82
"2007-03-08",16.87,17.05,16.8,16.87,2422000,14.88
"2007-03-09",16.99,17.11,16.92,17.05,2786500,15.04
"2007-03-12",17.05,17.35,16.9,17.28,3658700,15.24
"2007-03-13",17.14,17.25,16.76,16.82,3330200,14.84
"2007-03-14",16.88,16.94,16.45,16.84,4585300,14.85
"2007-03-15",16.81,17.04,16.77,16.87,2729600,14.88
"2007-03-16",16.94,17.04,16.61,16.75,5886400,14.78
"2007-03-19",16.84,16.96,16.75,16.85,2990700,14.86
"2007-03-20",16.87,16.99,16.78,16.96,3033500,14.96
"2007-03-21",16.99,17.19,16.83,17.08,3590200,15.07
"2007-03-22",16.6,17.5,16.6,17.42,4847600,15.37
"2007-03-23",17.4,17.45,17.26,17.34,3688300,15.3
"2007-03-26",17.34,17.41,17.15,17.19,4949800,15.16
"2007-03-27",17.15,17.35,17.07,17.24,4672300,15.21
"2007-03-28",17.1,17.11,16.91,16.93,4823700,14.93
"2007-03-29",17.1,17.16,16.87,17,3803300,15
"2007-03-30",16.6,17.04,16.53,16.89,3958600,14.9
"2007-04-02",17.02,17.19,16.89,17.08,3164800,15.07
"2007-04-03",17.21,17.27,17.03,17.16,4552000,15.14
"2007-04-04",17.11,17.37,17.05,17.37,2772500,15.32
"2007-04-05",17.18,17.5,17.18,17.34,2780100,15.3
"2007-04-09",17.4,17.47,17.28,17.3,1728500,15.26
"2007-04-10",17.3,17.4,17.24,17.36,2763800,15.31
"2007-04-11",17.37,17.42,17.25,17.37,3673500,15.32
"2007-04-12",17.38,17.56,17.25,17.45,4965400,15.39
"2007-04-13",18,18,17.43,17.66,4049400,15.58
"2007-04-16",17.18,17.93,17.18,17.92,3070200,15.81
"2007-04-17",17.89,18,17.78,17.98,3236700,15.86
"2007-04-18",17.88,18.19,17.7,18.14,4950500,16
"2007-04-19",18.03,18.13,17.75,18.08,5355600,15.95
"2007-04-20",18.7,18.74,18.32,18.6,10736200,16.41
"2007-04-23",18.6,18.6,17.95,17.99,5903200,15.87
"2007-04-24",17.95,18.32,17.94,18.17,7000100,16.03
"2007-04-25",18.26,18.37,18.16,18.37,6310500,16.2
"2007-04-26",18.26,18.5,18.2,18.47,4920900,16.29
"2007-04-27",18.4,18.61,18.11,18.22,5675300,16.07
"2007-04-30",18.25,18.73,18.25,18.5,6625900,16.32
"2007-05-01",19,19,18.23,18.43,5136200,16.26
"2007-05-02",18.39,18.49,18.24,18.3,2587200,16.14
"2007-05-03",18.37,18.4,18.06,18.08,6183700,15.95
"2007-05-04",18.12,18.3,18.05,18.09,4938200,15.96
"2007-05-07",18.18,18.25,18.09,18.15,4970000,16.01
