"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"2007-01-03",78.78,79.19,76.9,77.1,1792400,75.5
"2007-01-04",78.25,78.92,77.51,78.82,2053000,77.18
"2007-01-05",78.35,78.96,77.93,78.77,1220400,77.13
"2007-01-08",78.8,79,78.1,78.26,1806100,76.63
"2007-01-09",78.42,79.22,78.31,78.31,1170900,76.68
"2007-01-10",78.17,78.37,77.61,78.05,953800,76.43
"2007-01-11",78.4,78.85,78.12,78.5,1373800,76.87
"2007-01-12",78.4,79.53,78.4,78.68,1342600,77.04
"2007-01-16",78.65,78.9,78.39,78.7,1165300,77.06
"2007-01-17",78.88,79.5,78.44,79.31,1109000,77.66
"2007-01-18",79.5,79.9,78.7,79.32,1692900,77.67
"2007-01-19",79.48,79.48,78,78.67,1368500,77.04
"2007-01-22",78.67,79.23,78.26,78.77,1107900,77.13
"2007-01-23",78.87,79.84,78.52,78.77,855700,77.13
"2007-01-24",78.85,79.12,78.68,79.11,1182300,77.47
"2007-01-25",79.36,79.4,78.52,78.54,804800,76.91
"2007-01-26",78.5,79.04,78.29,78.73,1662500,77.09
"2007-01-29",78.7,80.34,78.51,80.13,2455500,78.46
"2007-01-30",82.05,85,81.65,84.87,5420200,83.11
"2007-01-31",83.15,84.9,83,84.22,3631000,82.47
"2007-02-01",83.4,84.12,82.93,83.1,3347800,81.37
"2007-02-02",83.1,83.71,82.44,82.75,1418200,81.03
"2007-02-05",82.8,83.98,82.59,83.77,2581100,82.03
"2007-02-06",83.45,84.13,83.22,83.99,1776100,82.24
"2007-02-07",83.67,85.16,83.52,85.11,2158500,83.34
"2007-02-08",85.65,85.94,84.96,85.09,3163000,83.32
"2007-02-09",84.35,84.95,83.44,83.76,1409300,82.02
"2007-02-12",83.75,83.75,82.66,83.25,938400,81.52
"2007-02-13",83.07,84.39,82.78,84.18,1249400,82.43
"2007-02-14",84.09,84.96,83.92,84.62,1472900,82.86
"2007-02-15",84.43,84.92,83.66,84.84,1435700,83.08
"2007-02-16",84.51,85.01,83.9,84.92,956800,83.16
"2007-02-20",85.45,87.27,84.98,86.79,2462100,84.99
"2007-02-21",86.1,86.65,85.52,86.1,1358700,84.31
"2007-02-22",85.88,86.21,85.25,85.97,1045300,84.18
"2007-02-23",85.65,85.85,85.08,85.51,688100,83.73
"2007-02-26",85.7,85.8,85.1,85.37,668200,83.6
"2007-02-27",84.8,87.14,81.74,83.74,2325000,82
"2007-02-28",83.73,84.95,83.31,84.27,1610500,82.52
"2007-03-01",83.29,84.49,82.76,83.92,1340600,82.18
"2007-03-02",83.95,84.66,83.51,83.91,1385800,82.17
"2007-03-05",82.9,83.47,82.72,83.15,1694100,81.42
"2007-03-06",83.4,84,82.8,83.77,1300300,82.03
"2007-03-07",83.75,84.51,83.32,83.55,807300,81.81
"2007-03-08",83.9,84.98,83.65,84.83,1428100,83.07
"2007-03-09",84.9,85,84.32,84.6,809900,82.84
"2007-03-12",84.65,85.5,83.91,85.33,1120200,83.56
"2007-03-13",84.59,86.19,84.59,84.93,1288600,83.16
"2007-03-14",85.03,85.96,84.7,85.48,1428600,83.7
"2007-03-15",85.28,85.77,84.93,85.67,717300,83.89
"2007-03-16",85.95,86.28,85.14,85.47,1265900,83.69
"2007-03-19",85.85,86.3,85.35,86.15,844100,84.36
"2007-03-20",86.6,88.18,86.21,87.81,1911600,85.99
"2007-03-21",87.44,87.44,86.01,87.02,2244100,85.21
"2007-03-22",87.2,87.23,86.58,86.98,1627000,85.17
"2007-03-23",87.05,87.15,86.32,86.86,911600,85.05
"2007-03-26",86.85,87.07,85.89,86.23,1236200,84.44
"2007-03-27",86,86.32,85.44,85.77,1032800,83.99
"2007-03-28",85.56,85.96,85,85.52,881000,83.74
"2007-03-29",86.15,86.39,85.3,85.73,810400,83.95
"2007-03-30",85.5,86,85.13,85.41,1107700,83.63
"2007-04-02",85.75,86.19,85.19,85.7,742100,83.92
"2007-04-03",85.95,87.37,85.93,87.2,1559800,85.39
"2007-04-04",86.99,88.36,86.71,88.16,1274800,86.33
"2007-04-05",88.1,88.21,87.52,88.05,768700,86.22
"2007-04-09",89.05,89.05,87.5,88.31,769700,86.47
"2007-04-10",88.31,88.98,88.16,88.49,1039000,86.65
"2007-04-11",88.64,88.64,87.51,88.2,989400,86.37
"2007-04-12",88.2,89.07,87.8,89,723600,87.15
"2007-04-13",89.06,89.36,87.77,87.96,965500,86.13
"2007-04-16",88.25,88.97,87.89,88.65,941100,86.81
"2007-04-17",88.45,89.94,88.32,89.49,1074000,87.63
"2007-04-18",88.95,89.16,87.91,88.85,1306200,87
"2007-04-19",88.38,88.79,86.21,86.99,1611400,85.18
"2007-04-20",88,88,86.65,87.05,1931300,85.24
"2007-04-23",87.25,88.04,86.71,87.83,889200,86
"2007-04-24",88.2,89.15,87.55,88.93,1469900,87.08
"2007-04-25",89.4,89.4,88.48,88.77,1011100,86.93
"2007-04-26",91.86,94.38,91.48,91.87,3483900,89.96
"2007-04-27",91.81,93.25,90.55,91,2252900,89.11
"2007-04-30",91.01,91.61,90.31,90.48,1303700,88.6
"2007-05-01",89.63,89.68,87.84,88.66,3571200,86.82
"2007-05-02",88.5,89.25,88.23,89,2693900,87.15
"2007-05-03",89.4,91,88.92,90.87,2192300,88.98
"2007-05-04",91,91.75,89.94,90.41,1577500,88.53
